round,seed,coop,exploit,exploit_,defect
1,8,29383,11742,17462,19413
2,8,30985,12141,16624,18250
3,8,30313,12366,16513,18808
4,8,30786,12142,16667,18405
5,8,28477,12111,16792,20620
6,8,28321,12099,17145,20435
7,8,27273,11658,17569,21500
8,8,27287,11540,17589,21584
9,8,29220,11687,17494,19599
10,8,29297,11537,17604,19562
11,8,27655,11312,18020,21013
12,8,25684,10804,18690,22822
13,8,25299,10917,18508,23276
14,8,25171,10942,18391,23496
15,8,25194,10964,18601,23241
16,8,26067,10506,19115,22312
17,8,26327,10516,19181,21976
18,8,23952,10087,19475,24486
19,8,26272,10424,18885,22419
20,8,25753,10493,18970,22784
21,8,24537,10597,19272,23594
22,8,24335,10682,19188,23795
23,8,26016,10294,19172,22518
24,8,24022,11289,18272,24417
25,8,23980,11458,18376,24186
26,8,24028,11463,18449,24060
27,8,25010,11770,17683,23537
28,8,26698,12074,17127,22101
29,8,27043,12016,17004,21937
30,8,24278,12860,16781,24081
31,8,23716,12256,16841,25187
32,8,25030,12170,16632,24168
33,8,25432,12258,16687,23623
34,8,25282,12284,16702,23732
35,8,26699,12724,16314,22263
36,8,26714,12544,16648,22094
37,8,24859,13229,15601,24311
38,8,26084,13765,15295,22856
39,8,27875,13460,15103,21562
40,8,25822,13975,14721,23482
41,8,28125,13497,15141,21237
42,8,27891,13784,15296,21029
43,8,26423,13916,14897,22764
44,8,25468,13592,15171,23769
45,8,27403,13127,15936,21534
46,8,25084,13692,15306,23918
47,8,26577,14500,14884,22039
48,8,26550,14491,14827,22132
49,8,26181,14200,14992,22627
50,8,27516,13931,15379,21174
51,8,26973,13930,15206,21891
52,8,27310,13867,15243,21580
53,8,27188,13820,15195,21797
54,8,27419,13646,15135,21800
55,8,26390,13901,15050,22659
56,8,26809,14023,15204,21964
57,8,27741,13694,15772,20793
58,8,26517,13764,15779,21940
59,8,26761,13624,15665,21950
60,8,27339,13626,15686,21349
61,8,28637,13436,15745,20182
62,8,27399,13367,15795,21439
63,8,26450,12777,16085,22688
64,8,27544,12524,16760,21172
65,8,25232,13238,15811,23719
66,8,23734,12494,16313,25459
67,8,23861,12511,16326,25302
68,8,23406,12612,16300,25682
69,8,22747,12672,16341,26240
70,8,23904,12871,15888,25337
71,8,25092,13021,15948,23939
72,8,26000,13044,15973,22983
73,8,24870,13440,15982,23708
74,8,24455,12969,15872,24704
75,8,25216,13447,16001,23336
76,8,26137,13358,15893,22612
77,8,26795,13350,15951,21904
78,8,26288,13422,15834,22456
79,8,24966,13733,15307,23994
80,8,22658,14234,15049,26059
81,8,24060,14481,14472,24987
82,8,24098,14634,14411,24857
83,8,25748,14840,14561,22851
84,8,27807,14498,15125,20570
85,8,26253,14568,14648,22531
86,8,26742,14449,14528,22281
87,8,26086,14465,14603,22846
88,8,24931,14067,14791,24211
89,8,23149,13835,14915,26101
90,8,22538,14012,15167,26283
91,8,22740,13862,15188,26210
92,8,21785,14187,15156,26872
93,8,22509,13984,15258,26249
94,8,20979,13559,15134,28328
95,8,21739,14142,15097,27022
96,8,23587,13720,15555,25138
97,8,25667,14424,14893,23016
98,8,27599,14727,14728,20946
99,8,25590,15161,14219,23030
100,8,26210,14965,13942,22883
101,8,28073,16145,13527,20255
102,8,27910,15892,13507,20691
103,8,27974,15725,13404,20897
104,8,27146,15752,13255,21847
105,8,29100,15960,13821,19119
106,8,29092,15738,13746,19424
107,8,31976,15871,13404,16749
108,8,31706,15942,13308,17044
109,8,31400,16011,13297,17292
110,8,28848,15400,14247,19505
111,8,29127,15379,14202,19292
112,8,27968,15333,14360,20339
113,8,28367,15438,14242,19953
114,8,26561,15666,13989,21784
115,8,25186,15706,13610,23498
116,8,24620,15925,13953,23502
117,8,26147,16149,13549,22155
118,8,25258,16394,13752,22596
119,8,25340,16353,13763,22544
120,8,25422,16220,13737,22621
121,8,24820,16300,13826,23054
122,8,25699,16229,13835,22237
123,8,24590,15963,14174,23273
124,8,25844,16337,13841,21978
125,8,26281,16219,13992,21508
126,8,26196,15729,13770,22305
127,8,25265,15830,13982,22923
128,8,26687,16072,14178,21063
129,8,27633,15699,14352,20316
130,8,29289,15369,13805,19537
131,8,27860,15610,14361,20169
132,8,27954,15253,14159,20634
133,8,26631,15462,14098,21809
134,8,26454,15457,14186,21903
135,8,27417,15445,13977,21161
136,8,26339,15095,14402,22164
137,8,26263,15289,14648,21800
138,8,25165,14705,14667,23463
139,8,23029,14725,14445,25801
140,8,21959,14520,14717,26804
141,8,21128,14105,14630,28137
142,8,19971,14262,14321,29446
143,8,19981,14388,14389,29242
144,8,21384,13997,14748,27871
145,8,22295,14059,14865,26781
146,8,20834,13863,15226,28077
147,8,20170,13462,15216,29152
148,8,20955,13699,15022,28324
149,8,21866,14026,15188,26920
150,8,21042,14044,14752,28162
151,8,20904,14071,15014,28011
152,8,21074,13824,14781,28321
153,8,22399,14316,14782,26503
154,8,20286,14268,14564,28882
155,8,19507,13589,14731,30173
156,8,19671,13688,14694,29947
157,8,18359,13375,15000,31266
158,8,18686,13385,14677,31252
159,8,17304,12956,15127,32613
160,8,17811,13357,15080,31752
161,8,18886,13060,15347,30707
162,8,19608,13684,15221,29487
163,8,20181,13465,14822,29532
164,8,19991,13452,14915,29642
165,8,21970,13653,15391,26986
166,8,21850,13691,15175,27284
167,8,21991,13471,15232,27306
168,8,22120,13560,15391,26929
169,8,22040,13592,15161,27207
170,8,23947,13631,15028,25394
171,8,25019,13638,15365,23978
172,8,25094,13755,15287,23864
173,8,26953,13892,15234,21921
174,8,25607,13616,15515,23262
175,8,23776,13811,14962,25451
176,8,22343,13977,14787,26893
177,8,23097,13959,14724,26220
178,8,21215,14559,14510,27716
179,8,22904,14714,14271,26111
180,8,22799,14805,14442,25954
181,8,21773,14699,13946,27582
182,8,21446,14797,14128,27629
183,8,19356,14069,14372,30203
184,8,19659,14027,14244,30070
185,8,17311,14021,14070,32598
186,8,17316,14062,14071,32551
187,8,16022,13487,14250,34241
188,8,17048,13728,14002,33222
189,8,15810,13524,14142,34524
190,8,16510,13748,13916,33826
191,8,16424,13804,13945,33827
192,8,15340,13341,13682,35637
193,8,16021,13487,13981,34511
194,8,16247,13644,14804,33305
195,8,18034,13313,15499,31154
