round,seed,coop,exploit,exploit_,defect
1,8,29383,11742,17462,19413
2,8,30985,12141,16624,18250
3,8,30313,12366,16513,18808
4,8,28568,12701,16337,20394
5,8,27605,12584,16160,21651
6,8,27521,12600,16500,21379
7,8,26302,12132,16938,22628
8,8,26495,12078,16979,22448
9,8,28187,12308,16865,20640
10,8,29753,11908,16890,19449
11,8,27967,11746,17261,21026
12,8,27386,11460,17339,21815
13,8,25638,11946,17108,23308
14,8,24368,12600,16594,24438
15,8,24225,12576,16772,24427
16,8,23363,12995,16077,25565
17,8,23309,13080,16324,25287
18,8,21298,12479,16496,27727
19,8,23551,12948,15939,25562
20,8,22877,13066,16142,25915
21,8,21679,13176,16208,26937
22,8,21584,13185,16067,27164
23,8,23188,12884,16338,25590
24,8,25236,11954,17523,23287
25,8,24149,11861,17769,24221
26,8,23900,11854,17971,24275
27,8,25180,12200,17161,23459
28,8,26666,12644,16833,21857
29,8,26562,12500,16532,22406
30,8,26290,12640,16784,22286
31,8,25451,12281,16940,23328
32,8,26758,12157,16629,22456
33,8,27314,12080,16820,21786
34,8,27080,12100,16676,22144
35,8,27111,12308,16831,21750
36,8,26751,12295,17000,21954
37,8,24980,12831,15897,24292
38,8,26315,13306,15569,22810
39,8,25331,13335,15655,23679
40,8,23456,13743,15191,25610
41,8,23060,13675,14994,26271
42,8,21933,13498,15552,27017
43,8,21781,13483,15404,27332
44,8,21248,12877,15382,28493
45,8,20910,13015,15368,28707
46,8,20817,13135,15667,28381
47,8,22246,13876,15153,26725
48,8,22101,14042,15265,26592
49,8,21946,13786,15334,26934
50,8,21638,14261,14808,27293
51,8,21451,14386,14430,27733
52,8,21545,14042,14366,28047
53,8,21373,14049,14290,28288
54,8,21308,14033,14445,28214
55,8,19799,13963,14060,30178
56,8,19880,14201,14199,29720
57,8,20818,13891,14668,28623
58,8,20953,13890,14721,28436
59,8,21291,13771,14695,28243
60,8,21343,13993,14889,27775
61,8,21171,13898,14528,28403
62,8,21140,14034,14595,28231
63,8,20462,13402,14698,29438
64,8,21357,13321,15403,27919
65,8,20322,13629,14919,29130
66,8,19149,12697,15221,30933
67,8,19446,12971,15092,30491
68,8,17989,13244,14602,32165
69,8,18002,13477,14552,31969
70,8,19731,13899,14234,30136
71,8,20528,14140,14326,29006
72,8,20977,14233,14189,28601
73,8,19951,14209,14259,29581
74,8,18395,13467,14344,31794
75,8,18493,13382,14415,31710
76,8,18343,13669,14506,31482
77,8,18342,13592,14584,31482
78,8,16878,13982,13872,33268
79,8,16448,13986,13706,33860
80,8,17365,14071,13975,32589
81,8,17580,14069,13784,32567
82,8,16181,13523,14034,34262
83,8,16048,13443,13972,34537
84,8,16473,13382,14281,33864
85,8,16167,13600,14327,33906
86,8,15903,13658,13944,34495
87,8,15699,13542,13728,35031
88,8,16445,13825,13547,34183
89,8,14711,13281,13595,36413
90,8,14651,13292,13734,36323
91,8,13866,13390,13609,37135
92,8,13617,13394,13556,37433
93,8,14051,13351,13536,37062
94,8,13986,13289,13529,37196
95,8,13623,13586,13864,36927
96,8,15405,12999,14018,35578
97,8,16174,13509,14155,34162
98,8,16792,14064,14305,32839
99,8,16588,14119,14473,32820
100,8,16257,13903,14097,33743
101,8,16963,14425,14231,32381
102,8,15517,13744,14102,34637
103,8,15793,13675,14109,34423
104,8,15266,13733,13680,35321
105,8,15451,13928,13939,34682
106,8,15185,13867,13912,35036
107,8,17512,14313,13715,32460
108,8,16818,14517,14039,32626
109,8,16676,14290,13890,33144
110,8,16641,14452,14068,32839
111,8,17759,14244,14501,31496
112,8,15473,14056,14142,34329
113,8,17317,14156,14567,31960
114,8,17165,14145,14454,32236
115,8,16360,13941,14198,33501
116,8,16806,14351,14465,32378
117,8,17150,14142,14065,32643
118,8,16394,14477,14430,32699
119,8,16658,14445,14503,32394
120,8,16864,14282,14647,32207
121,8,16827,13973,14430,32770
122,8,18082,14436,15135,30347
123,8,17807,14181,14868,31144
124,8,18658,14531,14828,29983
125,8,18250,14414,14576,30760
126,8,16428,14443,14080,33049
127,8,17250,14600,14387,31763
128,8,18157,15067,14802,29974
129,8,19162,14699,15271,28868
130,8,20891,14625,15262,27222
131,8,18825,14981,15860,28334
132,8,18986,14641,15652,28721
133,8,18346,14368,15317,29969
134,8,18766,14381,15174,29679
135,8,20577,14373,15313,27737
136,8,19281,14249,15415,29055
137,8,20573,14486,15388,27553
138,8,19689,14335,15669,28307
139,8,18125,14574,15525,29776
140,8,18385,14345,15394,29876
141,8,19174,14708,15544,28574
142,8,18933,14924,15907,28236
143,8,19259,14713,15627,28401
144,8,19677,14776,15704,27843
145,8,18227,14549,15289,29935
146,8,19278,15178,15540,28004
147,8,19160,15280,15328,28232
148,8,18447,14500,15348,29705
149,8,17043,14284,15210,31463
150,8,17314,14170,15270,31246
151,8,17565,14145,15104,31186
152,8,17853,14140,15129,30878
153,8,18262,14242,14964,30532
154,8,18494,14302,14943,30261
155,8,18907,14442,14803,29848
156,8,19346,14501,14706,29447
157,8,18870,14319,14736,30075
158,8,19389,14202,14559,29850
159,8,17740,13922,14961,31377
160,8,17237,13959,14917,31887
161,8,18203,14085,15461,30251
162,8,20064,14356,15188,28392
163,8,20168,14542,15285,28005
164,8,20202,14362,15192,28244
165,8,21110,14330,15471,27089
166,8,22117,14473,15084,26326
167,8,22911,14525,15184,25380
168,8,22928,14435,15247,25390
169,8,23844,14266,15095,24795
170,8,24038,14590,15432,23940
171,8,22987,14548,14984,25481
172,8,24215,14104,14886,24795
173,8,25172,14599,14942,23287
174,8,23748,14146,15169,24937
175,8,23088,14368,15054,25490
176,8,21238,14247,14640,27875
177,8,22556,14431,15146,25867
178,8,21275,14466,14601,27658
179,8,21693,14392,14516,27399
180,8,21548,14592,14522,27338
181,8,22966,14636,14907,25491
182,8,22798,14592,14990,25620
183,8,21459,14071,14971,27499
184,8,21600,14138,14893,27369
185,8,19339,14100,14750,29811
186,8,18597,14175,14671,30557
187,8,18621,14183,14681,30515
188,8,20015,14212,14481,29292
189,8,19802,14665,14598,28935
190,8,20600,14765,14478,28157
191,8,21632,15144,14363,26861
192,8,21848,15105,14355,26692
193,8,21208,14827,14010,27955
194,8,21927,14806,14736,26531
195,8,22184,14809,14964,26043
