round,seed,defect,coop,exploit,exploit_
1,990,19366,29419,17060,12155
2,990,19340,29412,17057,12191
3,990,17642,31571,16113,12674
4,990,17035,32100,15981,12884
5,990,16592,32470,16034,12904
6,990,17642,31573,16168,12617
7,990,16740,32371,15823,13066
8,990,16860,32204,15889,13047
9,990,17597,30980,15980,13443
10,990,16035,33076,14662,14227
11,990,17212,31342,15597,13849
12,990,18338,29841,16004,13817
13,990,16981,31821,15523,13675
14,990,17431,30994,15414,14161
15,990,19006,29362,16410,13222
16,990,19113,29110,16402,13375
17,990,20327,27653,16633,13387
18,990,21488,26875,15977,13660
19,990,19229,28961,15323,14487
20,990,19758,28820,14805,14617
21,990,20748,27293,15218,14741
22,990,21366,26748,15138,14748
23,990,22723,24950,15170,15157
24,990,23144,24757,14856,15243
25,990,25285,22727,13977,16011
26,990,24489,23196,14440,15875
27,990,23041,24868,13685,16406
28,990,23062,24872,13615,16451
29,990,24022,23439,14032,16507
30,990,22877,24342,13561,17220
31,990,20983,26228,14167,16622
32,990,20290,26784,14440,16486
33,990,20342,26763,14550,16345
34,990,19148,27254,14602,16996
35,990,18410,27819,14346,17425
36,990,18180,27738,14418,17664
37,990,17309,28503,15164,17024
38,990,15577,30450,14603,17370
39,990,14259,32409,14815,16517
40,990,15073,31797,15184,15946
41,990,15030,31982,15035,15953
42,990,14758,32097,14938,16207
43,990,15134,32115,14699,16052
44,990,15139,31702,14883,16276
45,990,13678,34120,14720,15482
46,990,13158,34367,14810,15665
47,990,13246,34411,14711,15632
48,990,13041,34387,14810,15762
49,990,11619,36713,13320,16348
50,990,12454,36103,13458,15985
51,990,10874,38382,13962,14782
52,990,11379,38162,14008,14451
53,990,11093,38184,14129,14594
54,990,10967,38337,14174,14522
55,990,12500,36084,14251,15165
56,990,10903,38566,13513,15018
57,990,10964,38646,13606,14784
58,990,11389,38036,13635,14940
59,990,10487,39720,13786,14007
60,990,10338,39987,13749,13926
61,990,8894,42443,13596,13067
62,990,8153,43256,13800,12791
63,990,9702,40561,13962,13775
64,990,11109,38313,14546,14032
65,990,11078,38198,14697,14027
66,990,12037,36504,15038,14421
67,990,12245,36284,15008,14463
68,990,12639,35714,15655,13992
69,990,13304,35053,15807,13836
70,990,12525,36943,15392,13140
71,990,10989,39425,14871,12715
72,990,9438,41763,13895,12904
73,990,9168,42218,13836,12778
74,990,8535,42813,13568,13084
75,990,8427,43130,13542,12901
76,990,9625,40485,14160,13730
77,990,9904,40288,14158,13650
78,990,10346,40221,13639,13794
79,990,10302,40154,13714,13830
80,990,11918,37637,15151,13294
81,990,12239,37236,15230,13295
82,990,13756,35071,16663,12510
83,990,15383,32714,16010,13893
84,990,15990,32415,15417,14178
85,990,15614,32833,15263,14290
86,990,17171,30492,15334,15003
87,990,17244,30689,15184,14883
88,990,17608,30097,15076,15219
89,990,19079,28448,14499,15974
90,990,20087,27542,14216,16155
91,990,21316,26134,13507,17043
92,990,21636,25823,13568,16973
93,990,22382,24505,13848,17265
94,990,20707,26485,14214,16594
95,990,20013,27016,14328,16643
96,990,19622,27092,14712,16574
97,990,18702,27683,15088,16527
98,990,17280,29303,14997,16420
99,990,19263,27459,14304,16974
100,990,19754,26944,14200,17102
101,990,18234,29086,14665,16015
102,990,16732,30835,14383,16050
103,990,17283,29418,15570,15729
104,990,16781,30787,14365,16067
105,990,17511,30319,13869,16301
