round,seed,defect,coop,exploit,exploit_
1,990,19366,29419,17060,12155
2,990,19340,29412,17057,12191
3,990,17642,31571,16113,12674
4,990,17035,32100,15981,12884
5,990,16592,32470,16034,12904
6,990,17229,32121,16021,12629
7,990,16418,32755,15731,13096
8,990,16478,32587,15841,13094
9,990,17294,31190,15928,13588
10,990,15641,33476,14564,14319
11,990,16794,31675,15552,13979
12,990,18338,29841,16004,13817
13,990,16981,31821,15523,13675
14,990,17431,30994,15414,14161
15,990,19006,29362,16410,13222
16,990,21008,27066,16416,13510
17,990,22225,25580,16638,13557
18,990,23567,24788,15861,13784
19,990,21183,26824,15315,14678
20,990,21753,26661,14752,14834
21,990,22674,25197,15167,14962
22,990,23359,24679,15004,14958
23,990,24701,23039,14987,15273
24,990,25173,22777,14673,15377
25,990,26375,21988,13975,15662
26,990,25643,22458,14465,15434
27,990,24173,24086,13724,16017
28,990,24197,24157,13658,15988
29,990,24106,23863,13986,16045
30,990,23171,24666,13449,16714
31,990,22257,26166,13347,16230
32,990,21492,26747,13709,16052
33,990,23592,24607,14855,14946
34,990,22325,25212,14889,15574
35,990,21540,25869,14709,15882
36,990,21205,25756,14832,16207
37,990,21086,26376,14855,15683
38,990,19114,28364,14538,15984
39,990,17327,30272,15047,15354
40,990,18277,29377,15406,14940
41,990,18500,29556,15157,14787
42,990,18309,29311,15406,14974
43,990,20256,27653,15087,15004
44,990,20242,27302,15257,15199
45,990,20099,27652,15179,15070
46,990,20360,27262,15345,15033
47,990,20029,27541,15583,14847
48,990,21087,26808,14777,15328
49,990,21020,27028,14875,15077
50,990,22059,26216,14947,14778
51,990,21967,26189,14944,14900
52,990,22301,26207,14824,14668
53,990,23092,24933,15113,14862
54,990,23139,24550,15351,14960
55,990,22005,26293,15161,14541
56,990,22056,26052,15238,14654
57,990,21974,26179,15156,14691
58,990,22692,25776,15115,14417
59,990,21763,27071,15190,13976
60,990,23768,24717,14794,14721
61,990,21883,26727,15057,14333
62,990,20639,27770,15681,13910
63,990,19035,29860,15878,13227
64,990,19257,29662,15856,13225
65,990,17685,31260,16023,13032
66,990,15988,33680,15659,12673
67,990,15256,34351,16176,12217
68,990,15563,33884,16334,12219
69,990,16046,33301,16438,12215
70,990,17040,32667,15923,12370
71,990,15187,34779,15881,12153
72,990,14216,35691,15917,12176
73,990,15541,33971,16201,12287
74,990,15180,34729,15840,12251
75,990,15086,34536,16057,12321
76,990,16959,31997,16163,12881
77,990,16757,32015,16323,12905
78,990,16691,32312,16225,12772
79,990,17533,31599,15933,12935
80,990,17405,31813,15970,12812
81,990,15591,34034,15737,12638
82,990,15541,33984,15704,12771
83,990,16995,32153,15247,13605
84,990,16941,32010,15330,13719
85,990,15069,34270,14757,13904
86,990,16939,32035,14489,14537
87,990,16827,32285,14615,14273
88,990,17747,30901,14510,14842
89,990,18614,30062,13922,15402
90,990,19548,29081,13808,15563
91,990,20856,27645,13343,16156
92,990,21130,27254,13391,16225
93,990,21076,27475,13318,16131
94,990,19424,29624,13453,15499
95,990,18660,30089,13607,15644
96,990,17667,30881,14050,15402
97,990,16858,31686,14153,15303
98,990,18392,29678,14287,15643
99,990,19181,28949,14126,15744
100,990,19085,28966,14126,15823
101,990,17789,30867,14444,14900
102,990,15908,33159,14191,14742
103,990,15904,32962,14406,14728
104,990,15268,34173,13424,15135
105,990,16849,31979,12907,16265
