round,seed,exploit,exploit_,defect,coop
1,9,50149,48019,59027,87805
2,9,49994,47803,59087,88116
3,9,50101,47831,58864,88204
4,9,50472,48123,59307,87098
5,9,49815,48349,58800,88036
6,9,49677,48163,55719,91441
7,9,48430,48286,57217,91067
8,9,48391,48578,57313,90718
9,9,47319,50572,62245,84864
10,9,48177,49461,63793,83569
11,9,48202,49220,63904,83674
12,9,48276,49020,63723,83981
13,9,48176,48912,63985,83927
14,9,49428,47818,65348,82406
15,9,49186,47683,66544,81587
16,9,49937,46865,64806,83392
17,9,49091,47232,64732,83945
18,9,48504,48201,69945,78350
19,9,48915,47089,68347,80649
20,9,50346,45984,72716,75954
21,9,50714,45613,73551,75122
22,9,51366,45875,74058,73701
23,9,50734,45164,72386,76716
24,9,51576,44971,69807,78646
25,9,51825,45098,69376,78701
26,9,51333,45815,68424,79428
27,9,50611,46638,70882,76869
28,9,51647,44853,74121,74379
29,9,51779,44680,74065,74476
30,9,51532,45094,75740,72634
31,9,52072,44762,71989,76177
32,9,51695,45108,71811,76386
33,9,52088,45356,72494,75062
34,9,52560,44414,74997,73029
35,9,54217,43355,78153,69275
36,9,54403,43376,76752,70469
37,9,53330,44191,73777,73702
38,9,53793,43711,71794,75702
39,9,54290,43834,74155,72721
40,9,54728,44193,73983,72096
41,9,55768,42642,76434,70156
42,9,54408,43703,73031,73858
43,9,53405,44165,76253,71177
44,9,53381,44411,73903,73305
45,9,53088,44538,73950,73424
46,9,52795,45248,70542,76415
47,9,52382,45098,68382,79138
48,9,50991,46381,65448,82180
49,9,50562,46255,68698,79485
50,9,50314,47172,72076,75438
