,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,26411871,6905,0.339,0.089
1,1024,defect,22212825,6734,0.285,0.086
2,1024,exploitation,29375304,967,0.377,0.013
3000,128,coop,32737786,7998,0.42,0.103
3001,128,defect,16546548,6575,0.212,0.084
3002,128,exploitation,28715666,2237,0.368,0.029
6000,16,coop,26078169,8462,0.334,0.108
6001,16,defect,23013875,9338,0.295,0.12
6002,16,exploitation,28907956,1598,0.371,0.021
9000,256,coop,19036437,8112,0.244,0.104
9001,256,defect,30507084,10038,0.391,0.129
9002,256,exploitation,28456479,2431,0.365,0.031
12000,2,coop,33249572,5966,0.426,0.076
12001,2,defect,16346904,5310,0.21,0.068
12002,2,exploitation,28403524,1059,0.364,0.014
15000,32,coop,23210190,6108,0.297,0.079
15001,32,defect,26321092,6623,0.337,0.085
15002,32,exploitation,28468718,915,0.365,0.012
18000,4,coop,10860496,10499,0.139,0.134
18001,4,defect,42512349,14132,0.545,0.181
18002,4,exploitation,24627155,4480,0.316,0.057
21000,512,coop,21099746,8665,0.27,0.111
21001,512,defect,27697054,8927,0.355,0.115
21002,512,exploitation,29203200,1596,0.374,0.021
24000,64,coop,28294615,10014,0.363,0.128
24001,64,defect,21302620,9856,0.273,0.126
24002,64,exploitation,28402765,1446,0.364,0.019
27000,8,coop,24506393,4976,0.314,0.064
27001,8,defect,23783855,5813,0.305,0.075
27002,8,exploitation,29709752,1416,0.381,0.018
