round,seed,strategy,count,percentage
1,1024,coop,29294,0.38
1,1024,defect,19473,0.25
1,1024,exploitation,29233,0.37
2,1024,coop,26975,0.35
2,1024,defect,21561,0.28
2,1024,exploitation,29464,0.38
3,1024,coop,26187,0.34
3,1024,defect,22441,0.29
3,1024,exploitation,29372,0.38
4,1024,coop,26857,0.34
4,1024,defect,21744,0.28
4,1024,exploitation,29399,0.38
5,1024,coop,25394,0.33
5,1024,defect,22499,0.29
5,1024,exploitation,30107,0.39
6,1024,coop,25373,0.33
6,1024,defect,22352,0.29
6,1024,exploitation,30275,0.39
7,1024,coop,25396,0.33
7,1024,defect,22746,0.29
7,1024,exploitation,29858,0.38
8,1024,coop,24998,0.32
8,1024,defect,22967,0.29
8,1024,exploitation,30035,0.39
9,1024,coop,24759,0.32
9,1024,defect,23444,0.3
9,1024,exploitation,29797,0.38
10,1024,coop,25116,0.32
10,1024,defect,22949,0.29
10,1024,exploitation,29935,0.38
11,1024,coop,25270,0.32
11,1024,defect,22444,0.29
11,1024,exploitation,30286,0.39
12,1024,coop,23709,0.3
12,1024,defect,24077,0.31
12,1024,exploitation,30214,0.39
13,1024,coop,25015,0.32
13,1024,defect,23001,0.29
13,1024,exploitation,29984,0.38
14,1024,coop,24252,0.31
14,1024,defect,23993,0.31
14,1024,exploitation,29755,0.38
15,1024,coop,26435,0.34
15,1024,defect,21877,0.28
15,1024,exploitation,29688,0.38
16,1024,coop,24893,0.32
16,1024,defect,23061,0.3
16,1024,exploitation,30046,0.39
17,1024,coop,24888,0.32
17,1024,defect,23225,0.3
17,1024,exploitation,29887,0.38
18,1024,coop,23658,0.3
18,1024,defect,24381,0.31
18,1024,exploitation,29961,0.38
19,1024,coop,23980,0.31
19,1024,defect,24444,0.31
19,1024,exploitation,29576,0.38
20,1024,coop,25099,0.32
20,1024,defect,23734,0.3
20,1024,exploitation,29167,0.37
21,1024,coop,25126,0.32
21,1024,defect,23203,0.3
21,1024,exploitation,29671,0.38
