,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,31645667,10769,0.406,0.138
1,1024,defect,18595710,9301,0.238,0.119
2,1024,exploitation,27758623,2420,0.356,0.031
3000,128,coop,25961084,9378,0.333,0.12
3001,128,defect,23642135,9891,0.303,0.127
3002,128,exploitation,28396781,1061,0.364,0.014
6000,16,coop,26860052,10350,0.344,0.133
6001,16,defect,22177670,9882,0.284,0.127
6002,16,exploitation,28962278,1704,0.371,0.022
9000,256,coop,35466042,8603,0.455,0.11
9001,256,defect,15040521,6721,0.193,0.086
9002,256,exploitation,27493437,2132,0.353,0.028
12000,2,coop,22940630,6177,0.294,0.079
12001,2,defect,26287995,6904,0.337,0.089
12002,2,exploitation,28771375,1074,0.369,0.014
15000,32,coop,23569376,6520,0.302,0.084
15001,32,defect,24499334,6515,0.314,0.084
15002,32,exploitation,29931290,1422,0.384,0.019
18000,4,coop,22869228,9696,0.293,0.124
18001,4,defect,25591498,9889,0.328,0.127
18002,4,exploitation,29539274,2248,0.379,0.029
21000,512,coop,19832361,7723,0.254,0.099
21001,512,defect,28438160,7912,0.365,0.101
21002,512,exploitation,29729479,1576,0.381,0.021
24000,64,coop,35015078,11221,0.449,0.144
24001,64,defect,15373345,9891,0.197,0.127
24002,64,exploitation,27611577,2259,0.354,0.029
27000,8,coop,23895908,8307,0.306,0.107
27001,8,defect,25037539,8175,0.321,0.105
27002,8,exploitation,29066553,1438,0.373,0.019
