round,seed,population_seed,strategy,count,percentage
1,536,35,coop,29145,0.37
1,536,35,defect,19493,0.25
1,536,35,exploitation,29362,0.38
2,536,35,coop,27830,0.36
2,536,35,defect,20405,0.26
2,536,35,exploitation,29765,0.38
3,536,35,coop,28986,0.37
3,536,35,defect,19651,0.25
3,536,35,exploitation,29363,0.38
4,536,35,coop,29701,0.38
4,536,35,defect,19156,0.25
4,536,35,exploitation,29143,0.37
5,536,35,coop,31975,0.41
5,536,35,defect,17163,0.22
5,536,35,exploitation,28862,0.37
6,536,35,coop,31820,0.41
6,536,35,defect,17296,0.22
6,536,35,exploitation,28884,0.37
7,536,35,coop,31800,0.41
7,536,35,defect,17084,0.22
7,536,35,exploitation,29116,0.37
8,536,35,coop,29464,0.38
8,536,35,defect,19189,0.25
8,536,35,exploitation,29347,0.38
9,536,35,coop,29917,0.38
9,536,35,defect,18526,0.24
9,536,35,exploitation,29557,0.38
10,536,35,coop,28996,0.37
10,536,35,defect,19524,0.25
10,536,35,exploitation,29480,0.38
11,536,35,coop,26967,0.35
11,536,35,defect,21479,0.28
11,536,35,exploitation,29554,0.38
12,536,35,coop,26870,0.34
12,536,35,defect,21412,0.27
12,536,35,exploitation,29718,0.38
13,536,35,coop,24798,0.32
13,536,35,defect,23442,0.3
13,536,35,exploitation,29760,0.38
14,536,35,coop,26715,0.34
14,536,35,defect,21961,0.28
14,536,35,exploitation,29324,0.38
15,536,35,coop,26177,0.34
15,536,35,defect,22004,0.28
15,536,35,exploitation,29819,0.38
16,536,35,coop,25806,0.33
16,536,35,defect,22434,0.29
16,536,35,exploitation,29760,0.38
17,536,35,coop,25921,0.33
17,536,35,defect,22647,0.29
17,536,35,exploitation,29432,0.38
18,536,35,coop,25611,0.33
18,536,35,defect,22511,0.29
18,536,35,exploitation,29878,0.38
19,536,35,coop,27845,0.36
19,536,35,defect,20738,0.27
19,536,35,exploitation,29417,0.38
20,536,35,coop,26150,0.34
20,536,35,defect,22723,0.29
20,536,35,exploitation,29127,0.37
21,536,35,coop,24652,0.32
21,536,35,defect,23391,0.3
21,536,35,exploitation,29957,0.38
22,536,35,coop,25069,0.32
22,536,35,defect,22863,0.29
22,536,35,exploitation,30068,0.39
23,536,35,coop,26693,0.34
23,536,35,defect,21477,0.28
23,536,35,exploitation,29830,0.38
24,536,35,coop,26364,0.34
24,536,35,defect,22246,0.29
24,536,35,exploitation,29390,0.38
25,536,35,coop,26496,0.34
25,536,35,defect,22173,0.28
25,536,35,exploitation,29331,0.38
26,536,35,coop,26669,0.34
26,536,35,defect,21661,0.28
26,536,35,exploitation,29670,0.38
27,536,35,coop,25282,0.32
27,536,35,defect,23281,0.3
27,536,35,exploitation,29437,0.38
28,536,35,coop,22876,0.29
28,536,35,defect,25199,0.32
28,536,35,exploitation,29925,0.38
29,536,35,coop,21026,0.27
29,536,35,defect,27252,0.35
29,536,35,exploitation,29722,0.38
30,536,35,coop,21086,0.27
30,536,35,defect,27274,0.35
30,536,35,exploitation,29640,0.38
31,536,35,coop,21213,0.27
31,536,35,defect,27428,0.35
31,536,35,exploitation,29359,0.38
32,536,35,coop,21020,0.27
32,536,35,defect,27281,0.35
32,536,35,exploitation,29699,0.38
33,536,35,coop,23077,0.3
33,536,35,defect,25336,0.32
33,536,35,exploitation,29587,0.38
34,536,35,coop,20899,0.27
34,536,35,defect,27301,0.35
34,536,35,exploitation,29800,0.38
35,536,35,coop,21380,0.27
35,536,35,defect,26797,0.34
35,536,35,exploitation,29823,0.38
36,536,35,coop,21902,0.28
36,536,35,defect,25645,0.33
36,536,35,exploitation,30453,0.39
37,536,35,coop,23746,0.3
37,536,35,defect,24309,0.31
37,536,35,exploitation,29945,0.38
38,536,35,coop,21634,0.28
38,536,35,defect,26401,0.34
38,536,35,exploitation,29965,0.38
39,536,35,coop,21488,0.28
39,536,35,defect,27218,0.35
39,536,35,exploitation,29294,0.38
40,536,35,coop,21190,0.27
40,536,35,defect,27076,0.35
40,536,35,exploitation,29734,0.38
41,536,35,coop,21113,0.27
41,536,35,defect,27216,0.35
41,536,35,exploitation,29671,0.38
42,536,35,coop,21434,0.27
42,536,35,defect,27055,0.35
42,536,35,exploitation,29511,0.38
43,536,35,coop,22828,0.29
43,536,35,defect,25460,0.33
43,536,35,exploitation,29712,0.38
44,536,35,coop,21236,0.27
44,536,35,defect,27174,0.35
44,536,35,exploitation,29590,0.38
