,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,25267419,5704,0.324,0.073
1,1024,defect,23570777,5427,0.302,0.07
2,1024,exploitation,29161804,798,0.374,0.011
3000,128,coop,30684465,7836,0.393,0.1
3001,128,defect,18086405,7525,0.232,0.096
3002,128,exploitation,29229130,1949,0.375,0.025
6000,16,coop,39529696,9594,0.507,0.123
6001,16,defect,11542121,5957,0.148,0.076
6002,16,exploitation,26928183,3799,0.345,0.049
9000,256,coop,19209392,7300,0.246,0.094
9001,256,defect,29870361,8862,0.383,0.114
9002,256,exploitation,28920247,2243,0.371,0.029
12000,2,coop,34190318,5259,0.438,0.067
12001,2,defect,15621072,4699,0.2,0.06
12002,2,exploitation,28188610,853,0.361,0.011
15000,32,coop,21276581,6692,0.273,0.086
15001,32,defect,28620641,7363,0.367,0.094
15002,32,exploitation,28102778,912,0.36,0.012
18000,4,coop,12022755,9897,0.154,0.127
18001,4,defect,39883584,12628,0.511,0.162
18002,4,exploitation,26093661,3630,0.334,0.046
21000,512,coop,39311308,7386,0.504,0.095
21001,512,defect,11695540,5336,0.15,0.069
21002,512,exploitation,26993152,2264,0.346,0.029
24000,64,coop,28883945,9621,0.37,0.123
24001,64,defect,20811288,9360,0.267,0.12
24002,64,exploitation,28304767,1090,0.363,0.014
27000,8,coop,24108651,4868,0.309,0.062
27001,8,defect,23832282,5398,0.306,0.069
27002,8,exploitation,30059067,1869,0.385,0.024
