round,seed,strategy,count,percentage
1,1024,coop,29294,0.38
1,1024,defect,19473,0.25
1,1024,exploitation,29233,0.37
2,1024,coop,26975,0.35
2,1024,defect,21561,0.28
2,1024,exploitation,29464,0.38
3,1024,coop,27498,0.35
3,1024,defect,21462,0.28
3,1024,exploitation,29040,0.37
4,1024,coop,28176,0.36
4,1024,defect,20811,0.27
4,1024,exploitation,29013,0.37
5,1024,coop,28811,0.37
5,1024,defect,19599,0.25
5,1024,exploitation,29590,0.38
6,1024,coop,30843,0.4
6,1024,defect,17676,0.23
6,1024,exploitation,29481,0.38
7,1024,coop,31229,0.4
7,1024,defect,17471,0.22
7,1024,exploitation,29300,0.38
8,1024,coop,30793,0.39
8,1024,defect,17883,0.23
8,1024,exploitation,29324,0.38
9,1024,coop,30590,0.39
9,1024,defect,18139,0.23
9,1024,exploitation,29271,0.38
10,1024,coop,29307,0.38
10,1024,defect,19195,0.25
10,1024,exploitation,29498,0.38
11,1024,coop,29335,0.38
11,1024,defect,18647,0.24
11,1024,exploitation,30018,0.38
12,1024,coop,31651,0.41
12,1024,defect,17027,0.22
12,1024,exploitation,29322,0.38
13,1024,coop,33873,0.43
13,1024,defect,15019,0.19
13,1024,exploitation,29108,0.37
14,1024,coop,33179,0.43
14,1024,defect,15929,0.2
14,1024,exploitation,28892,0.37
15,1024,coop,35203,0.45
15,1024,defect,14460,0.19
15,1024,exploitation,28337,0.36
16,1024,coop,33114,0.42
16,1024,defect,15759,0.2
16,1024,exploitation,29127,0.37
17,1024,coop,31114,0.4
17,1024,defect,17616,0.23
17,1024,exploitation,29270,0.38
18,1024,coop,29871,0.38
18,1024,defect,18548,0.24
18,1024,exploitation,29581,0.38
19,1024,coop,30222,0.39
19,1024,defect,18574,0.24
19,1024,exploitation,29204,0.37
20,1024,coop,31689,0.41
20,1024,defect,17692,0.23
20,1024,exploitation,28619,0.37
21,1024,coop,32039,0.41
21,1024,defect,17038,0.22
21,1024,exploitation,28923,0.37
