,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,23565505,9450,0.302,0.121
1,1024,defect,24885548,9535,0.319,0.122
2,1024,exploitation,29548947,1989,0.379,0.026
3000,128,coop,40957069,10267,0.525,0.132
3001,128,defect,11401858,7060,0.146,0.09
3002,128,exploitation,25641073,3376,0.329,0.043
6000,16,coop,24661786,7545,0.316,0.097
6001,16,defect,24036232,9168,0.308,0.118
6002,16,exploitation,29301982,2307,0.376,0.03
9000,256,coop,15104129,6964,0.194,0.089
9001,256,defect,35639035,9431,0.457,0.121
9002,256,exploitation,27256836,2723,0.35,0.035
12000,2,coop,25171048,7381,0.323,0.095
12001,2,defect,24130682,7545,0.309,0.097
12002,2,exploitation,28698270,883,0.368,0.012
15000,32,coop,17756638,11081,0.228,0.142
15001,32,defect,33310766,14177,0.427,0.182
15002,32,exploitation,26932596,3714,0.345,0.048
18000,4,coop,18413654,11574,0.236,0.148
18001,4,defect,33034821,12620,0.424,0.162
18002,4,exploitation,26551525,2270,0.341,0.029
21000,512,coop,22720541,8062,0.291,0.103
21001,512,defect,25636631,8731,0.329,0.112
21002,512,exploitation,29642828,2206,0.38,0.028
24000,64,coop,19545770,9794,0.251,0.125
24001,64,defect,30304691,11645,0.388,0.149
24002,64,exploitation,28149539,2809,0.361,0.036
27000,8,coop,25193417,7039,0.323,0.09
27001,8,defect,23981014,7404,0.308,0.095
27002,8,exploitation,28825569,1068,0.37,0.014
