,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,14738301,8884,0.189,0.114
1,1024,defect,35006272,11693,0.449,0.15
2,1024,exploitation,28255427,3431,0.362,0.044
3000,128,coop,33693749,14742,0.432,0.189
3001,128,defect,18089802,12781,0.232,0.164
3002,128,exploitation,26216449,2667,0.336,0.034
6000,16,coop,35135759,11275,0.45,0.145
6001,16,defect,15712773,9381,0.202,0.12
6002,16,exploitation,27151468,2248,0.348,0.029
9000,256,coop,23451125,13349,0.301,0.171
9001,256,defect,27822702,14604,0.357,0.187
9002,256,exploitation,26726173,2198,0.343,0.028
12000,2,coop,27919981,18099,0.358,0.232
12001,2,defect,24043488,16967,0.308,0.218
12002,2,exploitation,26036531,2960,0.334,0.038
15000,32,coop,35679842,7579,0.457,0.097
15001,32,defect,14133913,6048,0.181,0.078
15002,32,exploitation,28186245,1942,0.361,0.025
18000,4,coop,26908377,6651,0.345,0.085
18001,4,defect,21797641,6350,0.28,0.081
18002,4,exploitation,29293982,1258,0.375,0.016
21000,512,coop,38094275,6867,0.488,0.088
21001,512,defect,12722284,5325,0.163,0.068
21002,512,exploitation,27183441,1817,0.349,0.023
24000,64,coop,34980221,8067,0.448,0.104
24001,64,defect,14842684,7303,0.19,0.094
24002,64,exploitation,28177095,1649,0.361,0.021
27000,8,coop,43827825,9359,0.562,0.12
27001,8,defect,8902925,6196,0.114,0.079
27002,8,exploitation,25269250,3701,0.324,0.047
