round,seed,strategy,count,percentage
1,1024,coop,29294,0.38
1,1024,defect,19473,0.25
1,1024,exploitation,29233,0.37
2,1024,coop,26975,0.35
2,1024,defect,21561,0.28
2,1024,exploitation,29464,0.38
3,1024,coop,27901,0.36
3,1024,defect,20985,0.27
3,1024,exploitation,29114,0.37
4,1024,coop,26453,0.34
4,1024,defect,22400,0.29
4,1024,exploitation,29147,0.37
5,1024,coop,24962,0.32
5,1024,defect,23201,0.3
5,1024,exploitation,29837,0.38
6,1024,coop,24970,0.32
6,1024,defect,23028,0.3
6,1024,exploitation,30002,0.38
7,1024,coop,24987,0.32
7,1024,defect,23340,0.3
7,1024,exploitation,29673,0.38
8,1024,coop,24654,0.32
8,1024,defect,23590,0.3
8,1024,exploitation,29756,0.38
9,1024,coop,24387,0.31
9,1024,defect,24062,0.31
9,1024,exploitation,29551,0.38
10,1024,coop,24697,0.32
10,1024,defect,23591,0.3
10,1024,exploitation,29712,0.38
11,1024,coop,24494,0.31
11,1024,defect,23717,0.3
11,1024,exploitation,29789,0.38
12,1024,coop,24586,0.32
12,1024,defect,24091,0.31
12,1024,exploitation,29323,0.38
13,1024,coop,25864,0.33
13,1024,defect,22760,0.29
13,1024,exploitation,29376,0.38
14,1024,coop,24938,0.32
14,1024,defect,23844,0.31
14,1024,exploitation,29218,0.37
15,1024,coop,26486,0.34
15,1024,defect,22426,0.29
15,1024,exploitation,29088,0.37
16,1024,coop,24726,0.32
16,1024,defect,23925,0.31
16,1024,exploitation,29349,0.38
17,1024,coop,24834,0.32
17,1024,defect,24002,0.31
17,1024,exploitation,29164,0.37
18,1024,coop,23398,0.3
18,1024,defect,25298,0.32
18,1024,exploitation,29304,0.38
19,1024,coop,23851,0.31
19,1024,defect,25267,0.32
19,1024,exploitation,28882,0.37
20,1024,coop,24767,0.32
20,1024,defect,24494,0.31
20,1024,exploitation,28739,0.37
21,1024,coop,23166,0.3
21,1024,defect,25492,0.33
21,1024,exploitation,29342,0.38
