,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,27141932,6820,0.348,0.088
1,1024,defect,21612231,6580,0.277,0.084
2,1024,exploitation,29245837,977,0.375,0.013
3000,128,coop,30845824,10200,0.395,0.131
3001,128,defect,18939334,9166,0.243,0.118
3002,128,exploitation,28214842,1498,0.362,0.02
6000,16,coop,28005167,6595,0.359,0.085
6001,16,defect,20555335,6128,0.264,0.079
6002,16,exploitation,29439498,1559,0.378,0.02
9000,256,coop,27237225,11127,0.349,0.142
9001,256,defect,22357825,11333,0.287,0.146
9002,256,exploitation,28404950,2459,0.364,0.032
12000,2,coop,28831985,5620,0.37,0.072
12001,2,defect,19849027,5472,0.255,0.07
12002,2,exploitation,29318988,1136,0.376,0.015
15000,32,coop,26659221,7260,0.342,0.093
15001,32,defect,22194686,7195,0.284,0.092
15002,32,exploitation,29146093,1221,0.374,0.016
18000,4,coop,32247217,6016,0.413,0.077
18001,4,defect,16259715,4717,0.209,0.061
18002,4,exploitation,29493068,1841,0.378,0.024
21000,512,coop,35634675,8804,0.457,0.113
21001,512,defect,14522102,7678,0.186,0.098
21002,512,exploitation,27843223,1848,0.357,0.024
24000,64,coop,13358225,6697,0.171,0.086
24001,64,defect,37018807,9089,0.475,0.117
24002,64,exploitation,27622968,3259,0.354,0.042
27000,8,coop,24276998,7104,0.311,0.091
27001,8,defect,23680205,7709,0.304,0.099
27002,8,exploitation,30042797,1783,0.385,0.023
