round,seed,strategy,count,percentage
1,1024,coop,29294,0.38
1,1024,defect,19473,0.25
1,1024,exploitation,29233,0.37
2,1024,coop,26975,0.35
2,1024,defect,21561,0.28
2,1024,exploitation,29464,0.38
3,1024,coop,27901,0.36
3,1024,defect,20985,0.27
3,1024,exploitation,29114,0.37
4,1024,coop,28532,0.37
4,1024,defect,20368,0.26
4,1024,exploitation,29100,0.37
5,1024,coop,28649,0.37
5,1024,defect,19788,0.25
5,1024,exploitation,29563,0.38
6,1024,coop,28664,0.37
6,1024,defect,19650,0.25
6,1024,exploitation,29686,0.38
7,1024,coop,29553,0.38
7,1024,defect,19003,0.24
7,1024,exploitation,29444,0.38
8,1024,coop,29097,0.37
8,1024,defect,19274,0.25
8,1024,exploitation,29629,0.38
9,1024,coop,27037,0.35
9,1024,defect,21012,0.27
9,1024,exploitation,29951,0.38
10,1024,coop,27490,0.35
10,1024,defect,20546,0.26
10,1024,exploitation,29964,0.38
11,1024,coop,27718,0.36
11,1024,defect,20124,0.26
11,1024,exploitation,30158,0.39
12,1024,coop,27689,0.35
12,1024,defect,20360,0.26
12,1024,exploitation,29951,0.38
13,1024,coop,29137,0.37
13,1024,defect,19215,0.25
13,1024,exploitation,29648,0.38
14,1024,coop,28431,0.36
14,1024,defect,20079,0.26
14,1024,exploitation,29490,0.38
15,1024,coop,28432,0.36
15,1024,defect,19971,0.26
15,1024,exploitation,29597,0.38
16,1024,coop,26677,0.34
16,1024,defect,21366,0.27
16,1024,exploitation,29957,0.38
17,1024,coop,26877,0.34
17,1024,defect,21386,0.27
17,1024,exploitation,29737,0.38
18,1024,coop,25375,0.33
18,1024,defect,22578,0.29
18,1024,exploitation,30047,0.39
19,1024,coop,25873,0.33
19,1024,defect,22540,0.29
19,1024,exploitation,29587,0.38
20,1024,coop,27055,0.35
20,1024,defect,21781,0.28
20,1024,exploitation,29164,0.37
21,1024,coop,29293,0.38
21,1024,defect,19297,0.25
21,1024,exploitation,29410,0.38
