,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,27218673,9780,0.349,0.126
1,1024,defect,21991806,9318,0.282,0.12
2,1024,exploitation,28789521,1480,0.369,0.019
3000,128,coop,29838709,5707,0.382,0.073
3001,128,defect,18686629,4949,0.24,0.064
3002,128,exploitation,29474662,1742,0.378,0.023
6000,16,coop,33365925,5677,0.428,0.073
6001,16,defect,15862879,5141,0.203,0.066
6002,16,exploitation,28771196,1219,0.369,0.016
9000,256,coop,28868585,12270,0.37,0.157
9001,256,defect,21354890,10998,0.274,0.141
9002,256,exploitation,27776525,1770,0.356,0.023
12000,2,coop,19299445,8336,0.248,0.107
12001,2,defect,30436949,10831,0.39,0.139
12002,2,exploitation,28263606,2909,0.362,0.037
15000,32,coop,16330136,9375,0.209,0.12
15001,32,defect,33015595,11993,0.423,0.154
15002,32,exploitation,28654269,3838,0.367,0.05
18000,4,coop,30930707,10951,0.397,0.14
18001,4,defect,17978829,8242,0.231,0.106
18002,4,exploitation,29090464,3383,0.373,0.044
21000,512,coop,16277315,9669,0.209,0.124
21001,512,defect,35068694,12061,0.45,0.155
21002,512,exploitation,26653991,3343,0.342,0.043
24000,64,coop,21492781,11399,0.275,0.146
24001,64,defect,28910034,13947,0.371,0.179
24002,64,exploitation,27597185,3299,0.354,0.042
27000,8,coop,26059706,6918,0.334,0.089
27001,8,defect,22987166,7350,0.295,0.094
27002,8,exploitation,28953128,1298,0.371,0.017
