,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,33489292,8640,0.43,0.111
1,1024,defect,15196118,6189,0.195,0.079
2,1024,exploitation,29314590,2903,0.376,0.037
3000,128,coop,36483249,12443,0.468,0.16
3001,128,defect,14362878,11202,0.184,0.144
3002,128,exploitation,27153873,2511,0.348,0.032
6000,16,coop,14865299,8599,0.191,0.11
6001,16,defect,34114695,12471,0.437,0.16
6002,16,exploitation,29020006,4759,0.372,0.061
9000,256,coop,18881649,8298,0.242,0.106
9001,256,defect,30325276,9551,0.389,0.122
9002,256,exploitation,28793075,2002,0.369,0.026
12000,2,coop,18884907,12667,0.242,0.163
12001,2,defect,32454187,14958,0.416,0.192
12002,2,exploitation,26660906,3113,0.342,0.04
15000,32,coop,32981059,5970,0.423,0.077
15001,32,defect,16452065,5200,0.211,0.067
15002,32,exploitation,28566876,1384,0.366,0.018
18000,4,coop,21236654,8868,0.272,0.114
18001,4,defect,28780899,10038,0.369,0.129
18002,4,exploitation,27982447,1612,0.359,0.021
21000,512,coop,22525053,12334,0.289,0.158
21001,512,defect,28096297,13831,0.36,0.177
21002,512,exploitation,27378650,2617,0.351,0.034
24000,64,coop,24616750,9945,0.316,0.128
24001,64,defect,25317737,10096,0.324,0.129
24002,64,exploitation,28065513,1166,0.36,0.015
27000,8,coop,18162131,9012,0.233,0.116
27001,8,defect,31483672,11790,0.404,0.151
27002,8,exploitation,28354197,3428,0.364,0.044
