round,seed,strategy,count,percentage
1,1024,coop,29294,0.38
1,1024,defect,19473,0.25
1,1024,exploitation,29233,0.37
2,1024,coop,26975,0.35
2,1024,defect,21561,0.28
2,1024,exploitation,29464,0.38
3,1024,coop,27498,0.35
3,1024,defect,21462,0.28
3,1024,exploitation,29040,0.37
4,1024,coop,28176,0.36
4,1024,defect,20811,0.27
4,1024,exploitation,29013,0.37
5,1024,coop,26725,0.34
5,1024,defect,21557,0.28
5,1024,exploitation,29718,0.38
6,1024,coop,26587,0.34
6,1024,defect,21461,0.28
6,1024,exploitation,29952,0.38
7,1024,coop,26564,0.34
7,1024,defect,21782,0.28
7,1024,exploitation,29654,0.38
8,1024,coop,26257,0.34
8,1024,defect,22042,0.28
8,1024,exploitation,29701,0.38
9,1024,coop,25950,0.33
9,1024,defect,22421,0.29
9,1024,exploitation,29629,0.38
10,1024,coop,24778,0.32
10,1024,defect,23464,0.3
10,1024,exploitation,29758,0.38
11,1024,coop,24531,0.31
11,1024,defect,23526,0.3
11,1024,exploitation,29943,0.38
12,1024,coop,26322,0.34
12,1024,defect,22401,0.29
12,1024,exploitation,29277,0.38
13,1024,coop,27924,0.36
13,1024,defect,20750,0.27
13,1024,exploitation,29326,0.38
14,1024,coop,27578,0.35
14,1024,defect,21225,0.27
14,1024,exploitation,29197,0.37
15,1024,coop,29010,0.37
15,1024,defect,19972,0.26
15,1024,exploitation,29018,0.37
16,1024,coop,28464,0.36
16,1024,defect,20321,0.26
16,1024,exploitation,29215,0.37
17,1024,coop,28709,0.37
17,1024,defect,20461,0.26
17,1024,exploitation,28830,0.37
18,1024,coop,27298,0.35
18,1024,defect,21323,0.27
18,1024,exploitation,29379,0.38
19,1024,coop,27538,0.35
19,1024,defect,21461,0.28
19,1024,exploitation,29001,0.37
20,1024,coop,28903,0.37
20,1024,defect,20586,0.26
20,1024,exploitation,28511,0.37
21,1024,coop,29138,0.37
21,1024,defect,19746,0.25
21,1024,exploitation,29116,0.37
