,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,17096826,8474,0.219,0.109
1,1024,defect,30225325,9358,0.388,0.12
2,1024,exploitation,30677849,3358,0.393,0.043
3000,128,coop,36085566,11819,0.463,0.151
3001,128,defect,14373922,10721,0.184,0.137
3002,128,exploitation,27540512,3197,0.353,0.041
6000,16,coop,21541231,9835,0.276,0.126
6001,16,defect,25718726,9830,0.33,0.126
6002,16,exploitation,30740043,2133,0.394,0.027
9000,256,coop,29649088,8720,0.38,0.112
9001,256,defect,19409549,7642,0.249,0.098
9002,256,exploitation,28941363,2024,0.371,0.026
12000,2,coop,32280376,9563,0.414,0.123
12001,2,defect,17756371,8347,0.228,0.107
12002,2,exploitation,27963253,1828,0.358,0.023
15000,32,coop,24969684,8122,0.32,0.104
15001,32,defect,23802241,8075,0.305,0.104
15002,32,exploitation,29228075,1773,0.374,0.023
18000,4,coop,26306904,11436,0.337,0.147
18001,4,defect,23190846,12011,0.298,0.154
18002,4,exploitation,28502250,2108,0.365,0.027
21000,512,coop,17616981,9358,0.226,0.12
21001,512,defect,32036241,11579,0.411,0.148
21002,512,exploitation,28346778,3938,0.363,0.051
24000,64,coop,26009612,13276,0.334,0.17
24001,64,defect,24574206,14521,0.315,0.186
24002,64,exploitation,27416182,3092,0.351,0.04
27000,8,coop,22354602,8581,0.287,0.11
27001,8,defect,25114787,9004,0.322,0.115
27002,8,exploitation,30530611,3044,0.392,0.039
