round,seed,strategy,count,percentage
1,1024,coop,29294,0.38
1,1024,defect,19473,0.25
1,1024,exploitation,29233,0.37
2,1024,coop,26975,0.35
2,1024,defect,21561,0.28
2,1024,exploitation,29464,0.38
3,1024,coop,27901,0.36
3,1024,defect,20985,0.27
3,1024,exploitation,29114,0.37
4,1024,coop,28532,0.37
4,1024,defect,20368,0.26
4,1024,exploitation,29100,0.37
5,1024,coop,29143,0.37
5,1024,defect,19228,0.25
5,1024,exploitation,29629,0.38
6,1024,coop,29101,0.37
6,1024,defect,19102,0.24
6,1024,exploitation,29797,0.38
7,1024,coop,29915,0.38
7,1024,defect,18476,0.24
7,1024,exploitation,29609,0.38
8,1024,coop,29498,0.38
8,1024,defect,18705,0.24
8,1024,exploitation,29797,0.38
9,1024,coop,29213,0.37
9,1024,defect,19086,0.24
9,1024,exploitation,29701,0.38
10,1024,coop,29547,0.38
10,1024,defect,18667,0.24
10,1024,exploitation,29786,0.38
11,1024,coop,29746,0.38
11,1024,defect,18204,0.23
11,1024,exploitation,30050,0.39
12,1024,coop,28067,0.36
12,1024,defect,19735,0.25
12,1024,exploitation,30198,0.39
13,1024,coop,29587,0.38
13,1024,defect,18714,0.24
13,1024,exploitation,29699,0.38
14,1024,coop,28790,0.37
14,1024,defect,19612,0.25
14,1024,exploitation,29598,0.38
15,1024,coop,31071,0.4
15,1024,defect,17535,0.22
15,1024,exploitation,29394,0.38
16,1024,coop,29139,0.37
16,1024,defect,18919,0.24
16,1024,exploitation,29942,0.38
17,1024,coop,29287,0.38
17,1024,defect,18958,0.24
17,1024,exploitation,29755,0.38
18,1024,coop,28067,0.36
18,1024,defect,19953,0.26
18,1024,exploitation,29980,0.38
19,1024,coop,28496,0.37
19,1024,defect,20021,0.26
19,1024,exploitation,29483,0.38
20,1024,coop,29733,0.38
20,1024,defect,19256,0.25
20,1024,exploitation,29011,0.37
21,1024,coop,29755,0.38
21,1024,defect,18757,0.24
21,1024,exploitation,29488,0.38
