,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,25159722,7554,0.323,0.097
1,1024,defect,23276764,7455,0.298,0.096
2,1024,exploitation,29563514,1861,0.379,0.024
3000,128,coop,32893524,9620,0.422,0.123
3001,128,defect,16956269,8742,0.217,0.112
3002,128,exploitation,28150207,1434,0.361,0.019
6000,16,coop,23389722,8873,0.3,0.114
6001,16,defect,25421856,8802,0.326,0.113
6002,16,exploitation,29188422,1527,0.374,0.02
9000,256,coop,22383337,6682,0.287,0.086
9001,256,defect,26143946,6447,0.335,0.083
9002,256,exploitation,29472717,1444,0.378,0.019
12000,2,coop,16626379,9709,0.213,0.125
12001,2,defect,34105228,12787,0.437,0.164
12002,2,exploitation,27268393,3607,0.349,0.046
15000,32,coop,14736889,9229,0.189,0.119
15001,32,defect,36345226,11322,0.466,0.145
15002,32,exploitation,26917885,2847,0.345,0.037
18000,4,coop,19681168,8972,0.252,0.115
18001,4,defect,31002520,11163,0.397,0.143
18002,4,exploitation,27316312,2406,0.35,0.031
21000,512,coop,37078199,8462,0.475,0.109
21001,512,defect,13908962,6420,0.178,0.082
21002,512,exploitation,27012839,2307,0.346,0.03
24000,64,coop,28236891,10499,0.362,0.135
24001,64,defect,21859229,9428,0.28,0.121
24002,64,exploitation,27903880,1779,0.358,0.023
27000,8,coop,25095943,8859,0.321,0.113
27001,8,defect,22931986,9616,0.294,0.123
27002,8,exploitation,29972071,2511,0.384,0.032
