round,seed,strategy,count,percentage
1,1024,coop,29294,0.38
1,1024,defect,19473,0.25
1,1024,exploitation,29233,0.37
2,1024,coop,26975,0.35
2,1024,defect,21561,0.28
2,1024,exploitation,29464,0.38
3,1024,coop,26187,0.34
3,1024,defect,22441,0.29
3,1024,exploitation,29372,0.38
4,1024,coop,26857,0.34
4,1024,defect,21744,0.28
4,1024,exploitation,29399,0.38
5,1024,coop,27416,0.35
5,1024,defect,20538,0.26
5,1024,exploitation,30046,0.39
6,1024,coop,27392,0.35
6,1024,defect,20411,0.26
6,1024,exploitation,30197,0.39
7,1024,coop,28201,0.36
7,1024,defect,19778,0.25
7,1024,exploitation,30021,0.38
8,1024,coop,28143,0.36
8,1024,defect,19420,0.25
8,1024,exploitation,30437,0.39
9,1024,coop,27879,0.36
9,1024,defect,19867,0.25
9,1024,exploitation,30254,0.39
10,1024,coop,28186,0.36
10,1024,defect,19372,0.25
10,1024,exploitation,30442,0.39
11,1024,coop,27988,0.36
11,1024,defect,19530,0.25
11,1024,exploitation,30482,0.39
12,1024,coop,26354,0.34
12,1024,defect,20982,0.27
12,1024,exploitation,30664,0.39
13,1024,coop,26469,0.34
13,1024,defect,20847,0.27
13,1024,exploitation,30684,0.39
14,1024,coop,24573,0.32
14,1024,defect,22615,0.29
14,1024,exploitation,30812,0.4
15,1024,coop,26548,0.34
15,1024,defect,20678,0.27
15,1024,exploitation,30774,0.39
16,1024,coop,26836,0.34
16,1024,defect,20020,0.26
16,1024,exploitation,31144,0.4
17,1024,coop,26983,0.35
17,1024,defect,20084,0.26
17,1024,exploitation,30933,0.4
18,1024,coop,24689,0.32
18,1024,defect,21893,0.28
18,1024,exploitation,31418,0.4
19,1024,coop,24784,0.32
19,1024,defect,21958,0.28
19,1024,exploitation,31258,0.4
20,1024,coop,26686,0.34
20,1024,defect,20302,0.26
20,1024,exploitation,31012,0.4
21,1024,coop,26528,0.34
21,1024,defect,20315,0.26
21,1024,exploitation,31157,0.4
