,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,36521605,11219,0.468,0.144
1,1024,defect,14572419,9574,0.187,0.123
2,1024,exploitation,26905976,2280,0.345,0.029
3000,128,coop,25643781,9010,0.329,0.116
3001,128,defect,23604522,9209,0.303,0.118
3002,128,exploitation,28751697,1418,0.368,0.018
6000,16,coop,25178989,8029,0.323,0.103
6001,16,defect,24006833,8017,0.308,0.103
6002,16,exploitation,28814178,1283,0.369,0.017
9000,256,coop,31073489,10268,0.398,0.132
9001,256,defect,18539842,9456,0.238,0.121
9002,256,exploitation,28386669,2010,0.364,0.026
12000,2,coop,21447674,8320,0.275,0.107
12001,2,defect,27059279,8763,0.347,0.112
12002,2,exploitation,29493047,1987,0.378,0.026
15000,32,coop,25546035,7828,0.328,0.1
15001,32,defect,22073529,8004,0.283,0.103
15002,32,exploitation,30380436,2168,0.39,0.028
18000,4,coop,22710106,14602,0.291,0.187
18001,4,defect,28693882,16508,0.368,0.212
18002,4,exploitation,26596012,3372,0.341,0.043
21000,512,coop,17979637,9014,0.231,0.115
21001,512,defect,31028302,9938,0.398,0.128
21002,512,exploitation,28992061,2100,0.372,0.027
24000,64,coop,19963888,8055,0.256,0.103
24001,64,defect,28287780,9017,0.363,0.116
24002,64,exploitation,29748332,2392,0.381,0.031
27000,8,coop,18162564,5487,0.233,0.07
27001,8,defect,31701742,6843,0.406,0.088
27002,8,exploitation,28135694,1583,0.361,0.02
