round,seed,strategy,count,percentage
1,10,coop,88167,0.36
1,10,defect,58903,0.24
1,10,exploitation,97930,0.4
2,10,coop,88271,0.36
2,10,defect,58807,0.24
2,10,exploitation,97922,0.4
3,10,coop,93240,0.38
3,10,defect,54247,0.22
3,10,exploitation,97513,0.4
4,10,coop,89749,0.37
4,10,defect,57361,0.23
4,10,exploitation,97890,0.4
5,10,coop,92613,0.38
5,10,defect,55254,0.23
5,10,exploitation,97133,0.4
6,10,coop,94262,0.38
6,10,defect,53356,0.22
6,10,exploitation,97382,0.4
7,10,coop,99830,0.41
7,10,defect,48819,0.2
7,10,exploitation,96351,0.39
8,10,coop,102242,0.42
8,10,defect,47130,0.19
8,10,exploitation,95628,0.39
9,10,coop,100437,0.41
9,10,defect,49220,0.2
9,10,exploitation,95343,0.39
10,10,coop,97646,0.4
10,10,defect,50653,0.21
10,10,exploitation,96701,0.39
11,10,coop,97638,0.4
11,10,defect,50943,0.21
11,10,exploitation,96419,0.39
12,10,coop,97292,0.4
12,10,defect,51360,0.21
12,10,exploitation,96348,0.39
13,10,coop,95935,0.39
13,10,defect,51355,0.21
13,10,exploitation,97710,0.4
14,10,coop,99306,0.41
14,10,defect,48548,0.2
14,10,exploitation,97146,0.4
15,10,coop,99262,0.41
15,10,defect,48974,0.2
15,10,exploitation,96764,0.39
16,10,coop,98784,0.4
16,10,defect,49130,0.2
16,10,exploitation,97086,0.4
17,10,coop,99202,0.4
17,10,defect,48934,0.2
17,10,exploitation,96864,0.4
18,10,coop,101316,0.41
18,10,defect,46846,0.19
18,10,exploitation,96838,0.4
19,10,coop,99151,0.4
19,10,defect,48604,0.2
19,10,exploitation,97245,0.4
20,10,coop,104056,0.42
20,10,defect,44633,0.18
20,10,exploitation,96311,0.39
21,10,coop,109746,0.45
21,10,defect,39819,0.16
21,10,exploitation,95435,0.39
22,10,coop,110362,0.45
22,10,defect,39730,0.16
22,10,exploitation,94908,0.39
23,10,coop,106191,0.43
23,10,defect,42348,0.17
23,10,exploitation,96461,0.39
24,10,coop,109806,0.45
24,10,defect,39865,0.16
24,10,exploitation,95329,0.39
25,10,coop,110112,0.45
25,10,defect,39688,0.16
25,10,exploitation,95200,0.39
26,10,coop,108293,0.44
26,10,defect,41076,0.17
26,10,exploitation,95631,0.39
27,10,coop,109524,0.45
27,10,defect,39927,0.16
27,10,exploitation,95549,0.39
28,10,coop,109689,0.45
28,10,defect,40158,0.16
28,10,exploitation,95153,0.39
29,10,coop,108992,0.44
29,10,defect,40900,0.17
29,10,exploitation,95108,0.39
30,10,coop,109833,0.45
30,10,defect,39917,0.16
30,10,exploitation,95250,0.39
31,10,coop,108498,0.44
31,10,defect,40749,0.17
31,10,exploitation,95753,0.39
32,10,coop,106303,0.43
32,10,defect,41933,0.17
32,10,exploitation,96764,0.39
33,10,coop,103002,0.42
33,10,defect,44712,0.18
33,10,exploitation,97286,0.4
34,10,coop,102693,0.42
34,10,defect,44637,0.18
34,10,exploitation,97670,0.4
35,10,coop,103810,0.42
35,10,defect,44473,0.18
35,10,exploitation,96717,0.39
36,10,coop,100708,0.41
36,10,defect,46413,0.19
36,10,exploitation,97879,0.4
37,10,coop,102149,0.42
37,10,defect,45834,0.19
37,10,exploitation,97017,0.4
38,10,coop,102409,0.42
38,10,defect,45974,0.19
38,10,exploitation,96617,0.39
39,10,coop,101273,0.41
39,10,defect,46706,0.19
39,10,exploitation,97021,0.4
40,10,coop,106528,0.43
40,10,defect,42659,0.17
40,10,exploitation,95813,0.39
41,10,coop,105985,0.43
41,10,defect,42795,0.17
41,10,exploitation,96220,0.39
42,10,coop,105854,0.43
42,10,defect,42432,0.17
42,10,exploitation,96714,0.39
43,10,coop,107504,0.44
43,10,defect,41641,0.17
43,10,exploitation,95855,0.39
44,10,coop,107941,0.44
44,10,defect,42275,0.17
44,10,exploitation,94784,0.39
45,10,coop,105842,0.43
45,10,defect,42876,0.18
45,10,exploitation,96282,0.39
46,10,coop,104780,0.43
46,10,defect,43618,0.18
46,10,exploitation,96602,0.39
47,10,coop,103898,0.42
47,10,defect,44010,0.18
47,10,exploitation,97092,0.4
48,10,coop,104658,0.43
48,10,defect,43061,0.18
48,10,exploitation,97281,0.4
49,10,coop,104204,0.43
49,10,defect,43041,0.18
49,10,exploitation,97755,0.4
50,10,coop,105219,0.43
50,10,defect,42450,0.17
50,10,exploitation,97331,0.4
1,1,coop,89068,0.36
1,1,defect,58606,0.24
1,1,exploitation,97326,0.4
2,1,coop,84946,0.35
2,1,defect,61914,0.25
2,1,exploitation,98140,0.4
3,1,coop,80728,0.33
3,1,defect,66339,0.27
3,1,exploitation,97933,0.4
4,1,coop,76183,0.31
4,1,defect,70184,0.29
4,1,exploitation,98633,0.4
5,1,coop,71451,0.29
5,1,defect,75338,0.31
5,1,exploitation,98211,0.4
6,1,coop,73650,0.3
6,1,defect,72645,0.3
6,1,exploitation,98705,0.4
7,1,coop,74738,0.31
7,1,defect,72460,0.3
7,1,exploitation,97802,0.4
8,1,coop,71005,0.29
8,1,defect,75934,0.31
8,1,exploitation,98061,0.4
9,1,coop,71183,0.29
9,1,defect,75670,0.31
9,1,exploitation,98147,0.4
10,1,coop,76558,0.31
10,1,defect,70524,0.29
10,1,exploitation,97918,0.4
11,1,coop,77301,0.32
11,1,defect,69230,0.28
11,1,exploitation,98469,0.4
12,1,coop,80614,0.33
12,1,defect,66123,0.27
12,1,exploitation,98263,0.4
13,1,coop,79704,0.33
13,1,defect,67083,0.27
13,1,exploitation,98213,0.4
14,1,coop,77573,0.32
14,1,defect,69202,0.28
14,1,exploitation,98225,0.4
15,1,coop,79490,0.32
15,1,defect,66407,0.27
15,1,exploitation,99103,0.4
16,1,coop,76487,0.31
16,1,defect,69691,0.28
16,1,exploitation,98822,0.4
17,1,coop,76193,0.31
17,1,defect,69704,0.28
17,1,exploitation,99103,0.4
18,1,coop,74366,0.3
18,1,defect,72008,0.29
18,1,exploitation,98626,0.4
19,1,coop,73637,0.3
19,1,defect,72896,0.3
19,1,exploitation,98467,0.4
20,1,coop,73027,0.3
20,1,defect,72659,0.3
20,1,exploitation,99314,0.41
21,1,coop,72455,0.3
21,1,defect,72621,0.3
21,1,exploitation,99924,0.41
22,1,coop,70128,0.29
22,1,defect,76118,0.31
22,1,exploitation,98754,0.4
23,1,coop,75423,0.31
23,1,defect,70568,0.29
23,1,exploitation,99009,0.4
24,1,coop,70135,0.29
24,1,defect,75931,0.31
24,1,exploitation,98934,0.4
25,1,coop,73079,0.3
25,1,defect,72667,0.3
25,1,exploitation,99254,0.41
26,1,coop,71064,0.29
26,1,defect,75242,0.31
26,1,exploitation,98694,0.4
27,1,coop,71302,0.29
27,1,defect,74840,0.31
27,1,exploitation,98858,0.4
28,1,coop,72560,0.3
28,1,defect,72840,0.3
28,1,exploitation,99600,0.41
29,1,coop,69672,0.28
29,1,defect,75857,0.31
29,1,exploitation,99471,0.41
30,1,coop,73994,0.3
30,1,defect,72567,0.3
30,1,exploitation,98439,0.4
31,1,coop,71665,0.29
31,1,defect,74992,0.31
31,1,exploitation,98343,0.4
32,1,coop,73449,0.3
32,1,defect,73316,0.3
32,1,exploitation,98235,0.4
33,1,coop,75191,0.31
33,1,defect,71796,0.29
33,1,exploitation,98013,0.4
34,1,coop,74875,0.31
34,1,defect,73120,0.3
34,1,exploitation,97005,0.4
35,1,coop,70858,0.29
35,1,defect,76233,0.31
35,1,exploitation,97909,0.4
