,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,10,coop,5124205,5830,0.418,0.024
1,10,defect,2298794,5204,0.187,0.022
2,10,exploitation,4827001,897,0.394,0.005
150,1,coop,3758897,4893,0.307,0.02
151,1,defect,3572145,4878,0.292,0.02
152,1,exploitation,4918958,671,0.401,0.003
300,2,coop,3466705,10857,0.283,0.044
301,2,defect,3819655,11907,0.312,0.048
302,2,exploitation,4963640,1664,0.405,0.007
450,3,coop,3892619,4904,0.318,0.021
451,3,defect,3395072,4532,0.277,0.019
452,3,exploitation,4962309,686,0.405,0.005
600,4,coop,4571394,9945,0.373,0.041
601,4,defect,2807624,8645,0.23,0.036
602,4,exploitation,4870982,1415,0.397,0.005
750,5,coop,4278089,7294,0.35,0.03
751,5,defect,3097088,7227,0.253,0.03
752,5,exploitation,4874823,601,0.399,0.003
900,6,coop,4534274,5654,0.371,0.024
901,6,defect,2911694,5086,0.237,0.021
902,6,exploitation,4804032,1036,0.393,0.005
1050,7,coop,3927189,4810,0.321,0.02
1051,7,defect,3371147,4334,0.275,0.018
1052,7,exploitation,4951664,902,0.405,0.005
1200,8,coop,4185318,8914,0.342,0.036
1201,8,defect,3270145,8986,0.267,0.037
1202,8,exploitation,4794537,1026,0.392,0.005
1350,9,coop,3948650,6035,0.322,0.025
1351,9,defect,3436454,6089,0.28,0.025
1352,9,exploitation,4864896,675,0.398,0.004
