round,seed,strategy,count,percentage
1,1024,coop,29294,0.38
1,1024,defect,19473,0.25
1,1024,exploitation,29233,0.37
2,1024,coop,26975,0.35
2,1024,defect,21561,0.28
2,1024,exploitation,29464,0.38
3,1024,coop,27901,0.36
3,1024,defect,20985,0.27
3,1024,exploitation,29114,0.37
4,1024,coop,28532,0.37
4,1024,defect,20368,0.26
4,1024,exploitation,29100,0.37
5,1024,coop,29143,0.37
5,1024,defect,19228,0.25
5,1024,exploitation,29629,0.38
6,1024,coop,29101,0.37
6,1024,defect,19102,0.24
6,1024,exploitation,29797,0.38
7,1024,coop,29180,0.37
7,1024,defect,19399,0.25
7,1024,exploitation,29421,0.38
8,1024,coop,29170,0.37
8,1024,defect,19065,0.24
8,1024,exploitation,29765,0.38
9,1024,coop,28887,0.37
9,1024,defect,19495,0.25
9,1024,exploitation,29618,0.38
10,1024,coop,29194,0.37
10,1024,defect,19019,0.24
10,1024,exploitation,29787,0.38
11,1024,coop,29035,0.37
11,1024,defect,19125,0.25
11,1024,exploitation,29840,0.38
12,1024,coop,29044,0.37
12,1024,defect,19495,0.25
12,1024,exploitation,29461,0.38
13,1024,coop,30662,0.39
13,1024,defect,18267,0.23
13,1024,exploitation,29071,0.37
14,1024,coop,28371,0.36
14,1024,defect,20221,0.26
14,1024,exploitation,29408,0.38
15,1024,coop,30027,0.38
15,1024,defect,18952,0.24
15,1024,exploitation,29021,0.37
16,1024,coop,27969,0.36
16,1024,defect,20394,0.26
16,1024,exploitation,29637,0.38
17,1024,coop,28131,0.36
17,1024,defect,20362,0.26
17,1024,exploitation,29507,0.38
18,1024,coop,25528,0.33
18,1024,defect,22592,0.29
18,1024,exploitation,29880,0.38
19,1024,coop,26033,0.33
19,1024,defect,22496,0.29
19,1024,exploitation,29471,0.38
20,1024,coop,27170,0.35
20,1024,defect,21817,0.28
20,1024,exploitation,29013,0.37
21,1024,coop,27518,0.35
21,1024,defect,20809,0.27
21,1024,exploitation,29673,0.38
