,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,34267676,12933,0.439,0.166
1,1024,defect,16748144,10797,0.215,0.139
2,1024,exploitation,26984180,2857,0.346,0.037
3000,128,coop,35465768,6988,0.455,0.09
3001,128,defect,14299813,6402,0.183,0.082
3002,128,exploitation,28234419,1145,0.362,0.015
6000,16,coop,27081641,8092,0.347,0.104
6001,16,defect,21393476,6909,0.274,0.089
6002,16,exploitation,29524883,1968,0.378,0.025
9000,256,coop,14248558,6247,0.183,0.08
9001,256,defect,36718473,8120,0.471,0.104
9002,256,exploitation,27032969,2129,0.347,0.028
12000,2,coop,30861161,5801,0.396,0.074
12001,2,defect,17871463,5846,0.229,0.075
12002,2,exploitation,29267376,1195,0.375,0.015
15000,32,coop,21213899,9086,0.272,0.117
15001,32,defect,27580917,8636,0.354,0.111
15002,32,exploitation,29205184,1554,0.374,0.02
18000,4,coop,29561047,8057,0.379,0.103
18001,4,defect,18325596,6446,0.235,0.083
18002,4,exploitation,30113357,2241,0.386,0.029
21000,512,coop,21570923,6485,0.276,0.083
21001,512,defect,27253720,8349,0.349,0.107
21002,512,exploitation,29175357,2434,0.374,0.031
24000,64,coop,23194738,8883,0.297,0.114
24001,64,defect,26328572,9974,0.337,0.128
24002,64,exploitation,28476690,1811,0.365,0.023
27000,8,coop,26960233,9533,0.346,0.122
27001,8,defect,21943984,8356,0.281,0.107
27002,8,exploitation,29095783,2258,0.373,0.029
