,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,22389725,11793,0.287,0.151
1,1024,defect,28141157,13230,0.361,0.17
2,1024,exploitation,27469118,2450,0.352,0.031
3000,128,coop,32333272,7918,0.415,0.102
3001,128,defect,17465637,6620,0.224,0.085
3002,128,exploitation,28201091,1723,0.362,0.022
6000,16,coop,31057567,9648,0.398,0.124
6001,16,defect,18747292,10522,0.24,0.135
6002,16,exploitation,28195141,1975,0.361,0.026
9000,256,coop,31230305,5978,0.4,0.077
9001,256,defect,17522630,4954,0.225,0.064
9002,256,exploitation,29247065,1585,0.375,0.021
12000,2,coop,29740775,7166,0.381,0.092
12001,2,defect,18283206,5869,0.234,0.075
12002,2,exploitation,29976019,2309,0.384,0.03
15000,32,coop,31700911,8055,0.406,0.103
15001,32,defect,17850129,7446,0.229,0.096
15002,32,exploitation,28448960,1124,0.365,0.015
18000,4,coop,14116547,8055,0.181,0.103
18001,4,defect,36950317,10450,0.474,0.134
18002,4,exploitation,26933136,2722,0.345,0.035
21000,512,coop,24892748,6683,0.319,0.086
21001,512,defect,24635552,7079,0.316,0.091
21002,512,exploitation,28471700,807,0.365,0.01
24000,64,coop,20975167,10887,0.269,0.139
24001,64,defect,29213549,11805,0.375,0.151
24002,64,exploitation,27811284,2182,0.356,0.028
27000,8,coop,32306336,8954,0.414,0.115
27001,8,defect,16935888,7360,0.217,0.094
27002,8,exploitation,28757776,2922,0.369,0.038
