,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,48179731,8003,0.309,0.103
1,1024,defect,50246306,9686,0.322,0.124
2,1024,exploitation,57573963,2471,0.369,0.032
6000,128,coop,65799551,7698,0.422,0.099
6001,128,defect,33147751,6618,0.213,0.085
6002,128,exploitation,57052698,1818,0.366,0.023
12000,16,coop,42532596,8811,0.273,0.113
12001,16,defect,55604048,9842,0.356,0.126
12002,16,exploitation,57863356,1860,0.371,0.024
18000,256,coop,47143283,9529,0.302,0.122
18001,256,defect,50936896,10550,0.326,0.135
18002,256,exploitation,57919821,2327,0.371,0.03
24000,2,coop,63106274,6721,0.404,0.086
24001,2,defect,36179035,6420,0.232,0.082
24002,2,exploitation,56714691,890,0.364,0.012
30000,32,coop,44391168,6345,0.284,0.082
30001,32,defect,54987625,6998,0.352,0.09
30002,32,exploitation,56621207,963,0.363,0.013
36000,4,coop,27019838,9957,0.173,0.128
36001,4,defect,77013265,13067,0.494,0.167
36002,4,exploitation,51966897,3827,0.333,0.049
42000,512,coop,56670420,10432,0.363,0.134
42001,512,defect,42084814,9818,0.27,0.126
42002,512,exploitation,57244766,1660,0.367,0.022
48000,64,coop,53262453,9334,0.341,0.12
48001,64,defect,45526405,9642,0.292,0.124
48002,64,exploitation,57211142,1481,0.367,0.019
54000,8,coop,49674915,6712,0.318,0.086
54001,8,defect,47141691,7274,0.302,0.093
54002,8,exploitation,59183394,1458,0.379,0.019
