,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,21767860,8348,0.279,0.107
1,1024,defect,28033481,11200,0.36,0.144
2,1024,exploitation,28198659,3255,0.361,0.042
3000,128,coop,33061765,7387,0.424,0.095
3001,128,defect,16601203,6663,0.213,0.085
3002,128,exploitation,28337032,1240,0.363,0.016
6000,16,coop,16454427,6113,0.211,0.078
6001,16,defect,32590173,7792,0.418,0.1
6002,16,exploitation,28955400,2090,0.371,0.027
9000,256,coop,28106846,8644,0.36,0.111
9001,256,defect,20429812,8434,0.262,0.108
9002,256,exploitation,29463342,2102,0.378,0.027
12000,2,coop,29856702,7002,0.383,0.09
12001,2,defect,19832131,6942,0.254,0.089
12002,2,exploitation,28311167,677,0.363,0.009
15000,32,coop,21180978,6419,0.271,0.082
15001,32,defect,28666533,7168,0.367,0.092
15002,32,exploitation,28152489,984,0.361,0.013
18000,4,coop,16159342,8607,0.207,0.11
18001,4,defect,34500916,10478,0.442,0.134
18002,4,exploitation,27339742,2357,0.35,0.03
21000,512,coop,35570674,6155,0.456,0.079
21001,512,defect,14387760,4952,0.184,0.064
21002,512,exploitation,28041566,1513,0.36,0.02
24000,64,coop,24967838,8277,0.32,0.106
24001,64,defect,24223785,9198,0.311,0.118
24002,64,exploitation,28808377,1487,0.369,0.019
27000,8,coop,25168522,8073,0.323,0.104
27001,8,defect,23357836,8484,0.3,0.109
27002,8,exploitation,29473642,1490,0.378,0.019
