,seed,strategy,average_sum,sd_sum,average_percentage,sd_percentage
0,1024,coop,31029231,14570,0.398,0.187
1,1024,defect,18893268,11720,0.242,0.15
2,1024,exploitation,28077501,3646,0.36,0.047
3000,128,coop,32491001,6710,0.416,0.086
3001,128,defect,16360727,6536,0.21,0.084
3002,128,exploitation,29148272,1853,0.374,0.024
6000,16,coop,25354887,7632,0.325,0.098
6001,16,defect,23173845,8578,0.297,0.11
6002,16,exploitation,29471268,1700,0.378,0.022
9000,256,coop,14283995,7101,0.183,0.091
9001,256,defect,36448349,10012,0.467,0.128
9002,256,exploitation,27267656,3302,0.35,0.042
12000,2,coop,33262600,6627,0.426,0.085
12001,2,defect,16308244,5988,0.209,0.077
12002,2,exploitation,28429156,1048,0.365,0.014
15000,32,coop,22511421,6687,0.289,0.086
15001,32,defect,27209061,7252,0.349,0.093
15002,32,exploitation,28279518,805,0.363,0.011
18000,4,coop,11373129,10375,0.146,0.133
18001,4,defect,41839931,13718,0.537,0.176
18002,4,exploitation,24786940,3962,0.318,0.051
21000,512,coop,38791076,11368,0.497,0.146
21001,512,defect,12690531,8048,0.163,0.103
21002,512,exploitation,26518393,3460,0.34,0.045
24000,64,coop,13547820,5834,0.174,0.075
24001,64,defect,36930944,8681,0.474,0.111
24002,64,exploitation,27521236,3238,0.353,0.041
27000,8,coop,24108788,5462,0.309,0.07
27001,8,defect,24058596,5622,0.308,0.072
27002,8,exploitation,29832616,1353,0.382,0.017
