,GTFT: 0.33,Defector,Tit For Tat,Cooperator
0,10,10,10,10
1,10,11,10,9
2,10,12,9,9
3,10,12,8,10
4,10,13,7,10
5,10,13,7,10
6,9,13,8,10
7,9,13,8,10
8,10,13,8,9
9,11,13,7,9
10,10,13,7,10
11,9,14,7,10
12,9,13,8,10
13,9,13,9,9
14,9,12,9,10
15,8,13,9,10
16,8,13,9,10
17,8,13,10,9
18,8,13,10,9
19,8,12,11,9
20,8,12,11,9
21,8,12,10,10
22,8,11,10,11
23,8,12,9,11
24,9,11,9,11
25,9,10,10,11
26,9,10,10,11
27,9,10,9,12
28,9,11,8,12
29,8,11,8,13
30,8,11,7,14
31,8,11,7,14
32,8,10,8,14
33,9,10,8,13
34,10,10,7,13
35,9,10,7,14
36,8,10,7,15
37,8,9,8,15
38,8,8,8,16
39,8,8,8,16
40,8,8,7,17
41,8,8,6,18
42,8,7,7,18
43,8,7,7,18
44,7,8,7,18
45,6,8,8,18
46,6,9,8,17
47,6,9,9,16
48,6,10,9,15
49,6,9,9,16
50,5,9,9,17
51,5,8,9,18
52,5,8,9,18
53,5,8,10,17
54,6,8,10,16
55,6,9,10,15
56,6,10,9,15
57,6,10,8,16
58,6,9,9,16
59,6,8,9,17
60,6,8,10,16
61,6,8,10,16
62,6,7,11,16
63,7,6,11,16
64,7,6,11,16
65,7,7,11,15
66,7,8,11,14
67,7,8,10,15
68,7,9,10,14
69,7,9,11,13
70,8,9,11,12
71,8,10,11,11
72,8,9,12,11
73,8,10,11,11
74,8,10,10,12
75,8,10,10,12
76,8,10,9,13
77,8,11,9,12
78,8,12,8,12
79,9,12,7,12
80,9,13,7,11
81,9,13,7,11
82,9,13,7,11
83,9,14,7,10
84,9,13,7,11
85,9,13,6,12
86,9,13,7,11
87,9,12,8,11
88,9,13,8,10
89,9,13,8,10
90,9,13,8,10
91,10,12,8,10
92,10,12,9,9
93,10,12,9,9
94,10,13,9,8
95,11,13,8,8
96,12,12,8,8
97,11,12,8,9
98,11,13,8,8
99,12,12,8,8
100,12,12,8,8
101,12,12,8,8
102,12,12,8,8
103,12,13,7,8
104,12,13,7,8
105,13,13,6,8
106,14,13,5,8
107,14,13,5,8
108,14,13,6,7
109,14,12,6,8
110,15,12,5,8
111,15,11,5,9
112,15,11,5,9
113,15,11,5,9
114,15,12,4,9
115,15,12,4,9
116,16,11,4,9
117,15,12,4,9
118,14,12,5,9
119,13,13,5,9
120,13,13,5,9
121,13,12,6,9
122,13,12,6,9
123,14,11,6,9
124,15,10,6,9
125,14,11,6,9
126,15,11,6,8
127,14,11,7,8
128,15,11,7,7
129,15,11,8,6
130,15,11,8,6
131,15,10,9,6
132,16,10,8,6
133,15,10,8,7
134,16,10,8,6
135,16,10,8,6
136,17,10,8,5
137,18,10,8,4
138,18,10,7,5
139,17,11,7,5
140,17,11,6,6
141,17,11,6,6
142,16,11,7,6
143,15,12,7,6
144,15,12,7,6
145,15,12,7,6
146,14,13,7,6
147,13,13,7,7
148,13,13,7,7
