,GTFT: 0.33,Defector,Tit For Tat,Cooperator
0,10,10,10,10
1,10,10,10,10
2,10,11,10,9
3,10,10,11,9
4,10,10,11,9
5,10,9,12,9
6,10,9,12,9
7,9,9,13,9
8,10,9,13,8
9,9,10,13,8
10,9,10,12,9
11,9,9,13,9
12,9,9,13,9
13,9,9,13,9
14,9,8,13,10
15,9,7,14,10
16,9,7,13,11
17,9,7,13,11
18,9,7,12,12
19,9,7,12,12
20,9,8,11,12
21,10,8,10,12
22,10,8,9,13
23,11,8,9,12
24,12,8,8,12
25,12,7,9,12
26,12,7,9,12
27,13,7,9,11
28,14,7,9,10
29,14,7,9,10
30,14,7,8,11
31,13,7,9,11
32,13,7,9,11
33,13,7,10,10
34,14,7,9,10
35,14,7,9,10
36,14,6,10,10
37,14,6,10,10
38,13,7,10,10
39,13,6,11,10
40,13,6,10,11
41,13,5,11,11
42,14,5,11,10
43,14,4,11,11
44,14,4,11,11
45,14,4,11,11
46,15,4,10,11
47,15,4,10,11
48,16,4,9,11
49,15,4,10,11
50,15,4,10,11
51,16,4,10,10
52,16,4,9,11
53,16,4,9,11
54,16,5,8,11
55,16,5,8,11
56,17,5,8,10
57,17,5,9,9
58,17,5,9,9
59,17,5,9,9
60,17,5,9,9
61,16,5,9,10
62,15,5,9,11
63,14,5,10,11
64,15,5,10,10
65,15,5,10,10
66,16,5,9,10
67,16,4,9,11
68,17,4,8,11
69,18,3,8,11
70,18,3,8,11
71,18,3,8,11
72,18,3,9,10
73,17,4,9,10
74,17,4,9,10
75,17,4,9,10
76,17,4,9,10
77,16,4,10,10
78,17,3,10,10
79,17,4,9,10
80,17,4,9,10
81,17,4,9,10
82,17,4,9,10
83,17,4,9,10
84,16,4,10,10
85,17,4,9,10
86,18,4,8,10
87,18,4,8,10
88,19,4,7,10
89,19,4,8,9
90,19,4,8,9
91,18,4,8,10
92,18,4,8,10
93,19,4,8,9
94,19,4,8,9
95,18,4,8,10
96,18,4,8,10
97,19,4,7,10
98,19,4,7,10
99,19,4,8,9
100,19,3,8,10
101,19,2,8,11
102,19,2,7,12
103,19,2,7,12
104,18,2,7,13
105,18,3,7,12
106,19,3,6,12
107,18,3,6,13
108,17,3,6,14
109,18,3,6,13
110,17,3,6,14
111,18,3,6,13
112,18,3,6,13
113,18,3,5,14
114,19,2,5,14
115,20,2,5,13
116,21,2,5,12
117,21,2,5,12
118,21,2,5,12
119,22,1,5,12
120,21,1,6,12
121,21,1,5,13
122,21,1,5,13
123,20,1,6,13
124,20,0,6,14
125,20,0,6,14
126,19,0,6,15
127,19,0,6,15
128,19,0,6,15
129,19,0,6,15
130,19,0,6,15
131,18,0,6,16
132,18,0,5,17
133,18,0,5,17
134,17,0,5,18
135,17,0,5,18
136,16,0,5,19
137,17,0,5,18
138,17,0,6,17
139,18,0,5,17
140,17,0,5,18
141,17,0,5,18
142,17,0,5,18
143,16,0,5,19
144,16,0,5,19
145,16,0,5,19
146,16,0,5,19
147,17,0,5,18
148,16,0,6,18
149,16,0,6,18
150,15,0,6,19
151,15,0,6,19
152,15,0,6,19
153,15,0,6,19
154,15,0,6,19
155,14,0,6,20
156,14,0,7,19
157,14,0,7,19
158,14,0,7,19
159,14,0,7,19
160,13,0,7,20
161,14,0,7,19
162,14,0,7,19
163,14,0,7,19
164,14,0,6,20
165,15,0,6,19
166,15,0,6,19
167,14,0,6,20
168,13,0,7,20
169,13,0,6,21
170,12,0,7,21
171,11,0,8,21
172,11,0,8,21
173,11,0,8,21
174,11,0,8,21
175,12,0,8,20
176,13,0,8,19
177,13,0,8,19
178,12,0,9,19
179,13,0,8,19
180,14,0,8,18
181,14,0,8,18
182,15,0,8,17
183,15,0,8,17
184,15,0,8,17
185,14,0,9,17
186,14,0,8,18
187,13,0,8,19
188,14,0,8,18
189,15,0,7,18
190,15,0,7,18
191,16,0,6,18
192,16,0,5,19
193,15,0,6,19
194,15,0,5,20
195,15,0,5,20
196,15,0,6,19
197,14,0,6,20
198,15,0,6,19
199,15,0,6,19
200,16,0,6,18
201,15,0,6,19
202,15,0,5,20
203,15,0,5,20
204,15,0,5,20
205,16,0,5,19
206,16,0,6,18
207,15,0,7,18
208,15,0,7,18
209,14,0,7,19
210,14,0,8,18
211,15,0,8,17
212,15,0,7,18
213,15,0,6,19
214,15,0,5,20
215,16,0,5,19
216,17,0,5,18
217,17,0,5,18
218,17,1,5,17
219,17,1,5,17
220,16,1,5,18
221,16,1,5,18
222,17,1,5,17
223,18,1,5,16
224,18,1,5,16
225,18,2,5,15
226,17,2,5,16
227,17,2,5,16
228,17,2,5,16
229,16,2,5,17
230,16,2,5,17
231,16,2,5,17
232,16,2,6,16
233,16,2,6,16
234,15,2,6,17
235,16,2,6,16
236,16,2,5,17
237,16,2,5,17
238,17,2,5,16
239,17,2,5,16
240,17,2,5,16
241,17,2,5,16
242,17,2,4,17
243,17,2,4,17
244,16,2,4,18
245,15,3,4,18
246,16,3,4,17
247,16,3,4,17
248,16,3,4,17
249,17,3,4,16
250,17,2,5,16
251,17,2,5,16
252,18,2,5,15
253,19,2,5,14
254,19,2,6,13
255,18,3,6,13
256,18,2,7,13
257,18,2,8,12
258,18,2,8,12
259,17,2,8,13
260,18,2,8,12
261,18,2,9,11
262,17,2,10,11
263,17,2,10,11
264,17,2,10,11
265,17,2,10,11
266,17,2,11,10
267,18,1,11,10
268,18,2,10,10
269,18,2,10,10
270,17,2,11,10
271,17,2,11,10
272,17,2,11,10
273,18,2,11,9
274,18,2,11,9
275,17,3,11,9
276,17,3,11,9
277,16,3,12,9
278,16,4,11,9
279,16,4,12,8
280,16,4,12,8
281,15,4,13,8
282,15,4,13,8
283,15,3,14,8
284,15,3,14,8
285,15,3,13,9
286,15,3,13,9
287,14,3,14,9
288,14,3,13,10
289,14,4,13,9
290,15,4,12,9
291,16,3,12,9
292,17,3,11,9
293,17,3,10,10
294,18,3,9,10
295,18,3,9,10
296,19,3,8,10
297,19,3,8,10
298,19,3,8,10
299,19,4,8,9
300,18,5,8,9
301,17,5,8,10
302,18,5,7,10
303,19,5,7,9
304,20,4,7,9
305,20,4,8,8
306,19,4,8,9
307,18,4,8,10
308,17,4,9,10
309,16,4,9,11
310,16,3,9,12
311,15,3,9,13
312,16,3,8,13
313,17,3,8,12
314,17,3,8,12
315,16,4,8,12
316,16,4,8,12
317,16,4,9,11
318,16,4,10,10
319,15,5,10,10
320,15,5,10,10
321,15,4,11,10
322,15,4,11,10
