,GTFT: 0.33,Defector,Tit For Tat,Cooperator
0,10,10,10,10
1,10,9,10,11
2,9,10,10,11
3,9,10,10,11
4,9,10,9,12
5,9,10,8,13
6,8,11,8,13
7,8,12,8,12
8,8,12,8,12
9,9,11,8,12
10,8,12,8,12
11,8,12,8,12
12,8,12,8,12
13,8,11,8,13
14,8,11,9,12
15,8,12,8,12
16,8,12,9,11
17,8,11,10,11
18,8,12,9,11
19,8,12,9,11
20,8,12,8,12
21,8,12,8,12
22,7,13,8,12
23,7,12,8,13
24,7,13,8,12
25,7,12,9,12
26,7,13,8,12
27,7,12,8,13
28,7,12,8,13
29,7,13,7,13
30,7,14,7,12
31,8,14,7,11
32,9,14,7,10
33,9,14,7,10
34,10,13,7,10
35,11,13,6,10
36,10,14,6,10
37,10,15,6,9
38,10,15,6,9
39,10,15,5,10
40,11,14,5,10
41,12,13,5,10
42,13,13,5,9
43,14,12,5,9
44,14,12,5,9
45,14,11,6,9
46,13,12,6,9
47,13,12,6,9
48,14,12,5,9
49,14,13,4,9
50,15,12,4,9
51,15,12,4,9
52,16,12,4,8
53,17,11,4,8
54,17,11,4,8
55,18,10,4,8
56,19,10,4,7
57,19,10,4,7
58,19,10,4,7
59,18,10,4,8
60,17,11,4,8
61,17,11,4,8
62,16,12,4,8
63,15,13,4,8
64,15,12,5,8
65,15,12,5,8
66,15,12,5,8
67,15,12,5,8
68,15,12,4,9
69,14,13,4,9
70,13,13,4,10
71,13,13,4,10
72,12,13,4,11
73,11,14,4,11
74,11,14,5,10
75,10,15,5,10
76,9,15,6,10
77,10,14,6,10
78,9,15,6,10
79,9,15,6,10
80,9,14,7,10
81,9,13,7,11
82,9,14,7,10
83,8,15,7,10
84,8,14,7,11
85,9,13,7,11
86,8,13,8,11
87,7,14,8,11
88,7,14,9,10
89,7,13,10,10
90,7,14,10,9
91,6,15,10,9
92,6,14,11,9
93,7,14,10,9
94,7,14,10,9
95,6,14,10,10
96,6,14,11,9
97,6,13,11,10
98,5,13,11,11
99,5,13,11,11
100,5,13,11,11
101,5,13,10,12
102,5,14,9,12
103,4,14,9,13
104,4,14,8,14
105,4,14,8,14
106,4,15,8,13
107,4,15,8,13
108,4,14,8,14
109,4,15,7,14
110,4,14,7,15
111,4,14,7,15
112,5,14,6,15
113,5,14,5,16
114,5,13,6,16
115,5,13,6,16
116,5,13,6,16
117,5,13,6,16
118,5,13,7,15
119,5,13,7,15
120,4,13,8,15
121,4,14,7,15
122,4,14,8,14
123,4,14,8,14
124,5,14,7,14
125,5,14,7,14
126,5,14,8,13
127,5,14,8,13
128,5,14,8,13
129,5,15,8,12
130,6,15,7,12
131,6,15,7,12
132,6,16,6,12
133,6,17,5,12
134,5,17,5,13
135,4,17,5,14
136,4,17,5,14
137,4,17,5,14
138,5,17,5,13
139,4,17,5,14
140,4,16,5,15
141,4,16,5,15
142,4,16,5,15
143,5,16,5,14
144,5,16,5,14
145,4,16,5,15
146,3,17,5,15
147,3,17,5,15
148,3,16,6,15
149,3,16,6,15
150,3,16,5,16
151,3,15,6,16
152,3,16,5,16
153,3,15,5,17
154,3,15,5,17
155,3,15,5,17
156,2,15,6,17
157,2,16,6,16
158,2,16,6,16
159,2,15,6,17
160,2,16,6,16
161,2,15,6,17
162,2,14,7,17
163,2,13,7,18
164,2,13,6,19
165,2,12,7,19
166,2,12,7,19
167,2,12,7,19
168,2,12,7,19
169,2,11,7,20
170,2,11,8,19
171,3,11,8,18
172,3,10,8,19
173,3,9,9,19
174,3,9,9,19
175,3,10,9,18
176,3,11,9,17
177,3,11,9,17
178,3,11,9,17
179,3,11,8,18
180,3,12,7,18
181,3,12,6,19
182,3,12,6,19
183,3,12,6,19
184,3,11,6,20
185,3,11,6,20
186,3,11,6,20
187,3,11,6,20
188,3,12,6,19
189,3,12,7,18
190,3,13,6,18
191,3,14,6,17
192,3,14,6,17
193,3,15,5,17
194,3,16,5,16
195,3,15,5,17
196,2,16,5,17
197,2,17,4,17
198,2,16,4,18
199,2,15,5,18
200,2,15,6,17
201,2,15,6,17
202,1,15,7,17
203,1,15,8,16
204,1,14,8,17
205,1,14,9,16
206,1,15,9,15
207,1,14,9,16
208,1,15,9,15
209,1,15,9,15
210,0,15,9,16
211,0,14,10,16
212,0,14,10,16
213,0,14,10,16
214,0,15,10,15
215,0,15,10,15
216,0,15,10,15
217,0,15,9,16
218,0,15,8,17
219,0,14,9,17
220,0,14,9,17
221,0,15,9,16
222,0,15,9,16
223,0,15,9,16
224,0,14,9,17
225,0,14,9,17
226,0,13,9,18
227,0,13,9,18
228,0,14,9,17
229,0,15,9,16
230,0,15,9,16
231,0,14,9,17
232,0,14,8,18
233,0,15,8,17
234,0,15,8,17
235,0,15,9,16
236,0,14,9,17
237,0,13,10,17
238,1,12,10,17
239,1,12,10,17
240,1,13,9,17
241,1,14,9,16
242,1,14,9,16
243,1,14,9,16
244,1,14,9,16
245,2,14,9,15
246,2,15,9,14
247,3,15,9,13
248,3,16,9,12
249,3,17,9,11
250,3,16,9,12
251,3,16,9,12
252,3,16,9,12
253,3,16,9,12
254,4,16,9,11
255,5,15,9,11
256,5,15,9,11
257,5,15,9,11
258,5,15,9,11
259,5,14,10,11
260,5,13,11,11
261,5,13,11,11
262,5,13,10,12
263,5,13,11,11
264,5,12,11,12
265,5,11,12,12
266,5,11,12,12
267,5,10,13,12
268,5,10,14,11
269,5,11,14,10
270,5,11,15,9
271,5,12,15,8
272,6,12,14,8
273,6,12,14,8
274,6,12,14,8
275,6,13,14,7
276,7,13,14,6
277,7,13,14,6
278,6,13,14,7
279,6,12,14,8
280,5,13,14,8
281,5,13,14,8
282,5,13,14,8
283,5,13,13,9
284,5,13,13,9
285,6,12,13,9
286,7,12,13,8
287,7,11,14,8
288,7,11,14,8
289,7,11,15,7
290,7,11,15,7
291,7,11,14,8
292,6,12,14,8
293,6,12,13,9
294,6,13,12,9
295,6,13,12,9
296,6,13,12,9
297,6,13,11,10
298,6,14,11,9
299,5,15,11,9
300,6,14,11,9
301,5,15,11,9
302,5,15,10,10
303,5,14,11,10
304,5,13,11,11
305,5,12,12,11
306,5,13,12,10
307,6,13,12,9
308,6,12,12,10
309,6,11,13,10
310,6,12,13,9
311,6,12,12,10
312,6,12,12,10
313,6,12,12,10
314,6,12,12,10
315,7,12,12,9
316,7,13,11,9
317,7,13,11,9
318,6,13,12,9
319,6,14,12,8
320,6,14,12,8
321,6,13,12,9
322,6,12,13,9
323,7,11,13,9
324,7,10,14,9
325,7,9,15,9
326,6,9,16,9
327,6,9,16,9
328,6,8,17,9
329,6,7,17,10
330,6,8,16,10
331,6,7,17,10
332,7,7,16,10
333,6,7,17,10
334,6,7,18,9
335,6,7,19,8
336,6,7,18,9
337,6,7,18,9
338,6,8,17,9
339,6,8,17,9
340,7,8,16,9
341,7,8,16,9
342,7,8,17,8
343,7,9,17,7
344,7,9,17,7
345,7,8,18,7
346,7,9,17,7
347,6,9,18,7
348,6,10,17,7
349,5,10,18,7
350,4,11,18,7
351,4,11,18,7
352,4,12,18,6
353,4,12,17,7
354,4,12,17,7
355,3,12,18,7
