,GTFT: 0.33,Defector,Tit For Tat,Cooperator
0,10,10,10,10
1,11,9,10,10
2,10,10,10,10
3,11,10,9,10
4,11,11,8,10
5,11,11,8,10
6,11,11,8,10
7,11,12,8,9
8,11,13,8,8
9,11,13,8,8
10,10,14,8,8
11,10,13,8,9
12,9,13,9,9
13,8,13,9,10
14,9,13,9,9
15,9,14,8,9
16,10,13,8,9
17,10,13,8,9
18,10,12,8,10
19,10,13,8,9
20,10,14,7,9
21,10,14,7,9
22,11,13,7,9
23,11,13,7,9
24,11,13,7,9
25,11,12,7,10
26,11,12,7,10
27,11,11,8,10
28,11,11,7,11
29,12,11,6,11
30,12,12,6,10
31,13,11,6,10
32,14,10,6,10
33,14,10,6,10
34,15,9,6,10
35,16,9,5,10
36,15,10,5,10
37,16,10,5,9
38,15,10,5,10
39,15,11,5,9
40,16,10,5,9
41,16,9,5,10
42,17,9,5,9
43,16,9,6,9
44,16,9,6,9
45,16,8,7,9
46,16,8,7,9
47,17,8,6,9
48,16,8,6,10
49,16,9,5,10
50,17,8,5,10
51,18,7,5,10
52,18,7,5,10
53,18,7,5,10
54,19,6,5,10
55,20,5,5,10
56,20,5,5,10
57,20,5,4,11
58,21,4,4,11
59,20,5,4,11
60,21,5,4,10
61,22,5,4,9
62,22,5,4,9
63,22,5,4,9
64,21,5,5,9
65,21,5,5,9
66,21,5,6,8
67,20,5,6,9
68,21,5,6,8
69,22,4,6,8
70,21,4,6,9
71,22,4,6,8
72,21,4,6,9
73,20,5,6,9
74,19,5,6,10
75,19,5,6,10
76,18,5,6,11
77,19,4,6,11
78,18,4,7,11
79,18,4,7,11
80,17,4,7,12
81,17,4,7,12
82,17,4,7,12
83,17,4,7,12
84,17,4,7,12
85,17,4,8,11
86,16,4,9,11
87,17,4,8,11
88,17,4,9,10
89,16,4,10,10
90,17,3,10,10
91,17,3,10,10
92,17,2,11,10
93,18,2,10,10
94,18,2,11,9
95,17,2,11,10
96,16,2,12,10
97,16,2,12,10
98,16,2,12,10
99,16,2,12,10
100,16,2,13,9
101,17,2,12,9
102,17,2,12,9
103,17,2,12,9
104,18,2,11,9
105,18,2,10,10
106,17,2,10,11
107,17,2,11,10
108,17,2,11,10
109,17,2,11,10
110,18,2,10,10
111,19,2,9,10
112,20,2,8,10
113,19,2,8,11
114,20,2,7,11
115,21,2,7,10
116,21,2,7,10
117,22,2,7,9
118,23,1,7,9
119,24,1,6,9
120,24,1,6,9
121,25,1,5,9
122,25,1,6,8
123,25,1,6,8
124,25,1,6,8
125,26,1,5,8
126,26,1,5,8
127,26,1,5,8
128,26,1,5,8
129,26,1,5,8
130,26,1,5,8
131,25,2,5,8
132,25,2,5,8
133,26,2,4,8
134,25,2,4,9
135,24,2,4,10
136,24,2,4,10
137,25,2,4,9
138,24,3,4,9
139,23,3,4,10
140,23,3,4,10
141,24,3,4,9
142,24,3,4,9
143,25,3,4,8
144,24,4,4,8
