,GTFT: 0.33,Defector,Tit For Tat,Cooperator
0,10,10,10,10
1,10,9,10,11
2,9,10,10,11
3,9,10,10,11
4,9,10,9,12
5,9,11,8,12
6,8,12,8,12
7,8,13,8,11
8,8,14,8,10
9,8,13,9,10
10,7,13,9,11
11,7,12,10,11
12,8,12,9,11
13,8,11,9,12
14,8,11,9,12
15,8,11,8,13
16,8,11,9,12
17,8,10,10,12
18,8,11,9,12
19,8,11,9,12
20,8,11,8,13
21,8,12,8,12
22,8,13,7,12
23,8,12,7,13
24,8,13,7,12
25,9,12,7,12
26,9,13,6,12
27,9,13,6,12
28,9,13,6,12
29,8,13,6,13
30,8,14,6,12
31,9,14,6,11
32,10,14,6,10
33,10,14,6,10
34,11,13,6,10
35,12,13,5,10
36,11,14,5,10
37,11,15,5,9
38,11,15,5,9
39,10,16,5,9
40,11,15,5,9
41,12,14,5,9
42,13,14,5,8
43,14,13,5,8
44,14,13,5,8
45,14,12,6,8
46,13,13,6,8
47,13,13,6,8
48,14,13,5,8
49,14,14,4,8
50,14,14,4,8
51,14,15,4,7
52,15,15,4,6
53,16,14,4,6
54,16,14,4,6
55,17,13,4,6
56,18,13,4,5
57,18,13,4,5
58,18,13,4,5
59,17,14,4,5
60,16,15,4,5
61,15,16,4,5
62,14,17,4,5
63,13,18,4,5
64,13,18,5,4
65,13,18,5,4
66,13,18,5,4
67,13,18,5,4
68,13,19,4,4
69,12,20,4,4
70,11,21,4,4
71,11,21,4,4
72,10,22,4,4
73,9,22,5,4
74,9,22,6,3
75,9,22,6,3
76,8,22,7,3
77,9,21,7,3
78,8,21,8,3
79,7,22,8,3
80,7,22,8,3
81,7,22,8,3
82,7,22,8,3
83,7,22,8,3
84,7,22,8,3
85,7,22,8,3
86,6,22,9,3
87,5,23,9,3
88,5,22,10,3
89,5,21,11,3
90,5,21,11,3
91,4,21,12,3
92,4,21,12,3
93,4,22,11,3
94,4,22,11,3
95,3,23,11,3
96,3,22,12,3
97,3,21,12,4
98,2,21,13,4
99,2,21,13,4
100,2,21,13,4
101,2,21,12,5
102,2,22,11,5
103,1,22,12,5
104,1,23,11,5
105,1,23,10,6
106,1,24,10,5
107,1,24,10,5
108,1,24,10,5
109,1,24,9,6
110,1,24,9,6
111,1,25,8,6
112,1,26,7,6
113,1,27,6,6
114,2,26,6,6
115,2,27,6,5
116,2,27,6,5
117,2,27,6,5
118,2,27,6,5
119,1,28,6,5
120,1,28,6,5
121,1,29,5,5
122,1,29,6,4
123,1,28,7,4
124,0,29,7,4
125,0,30,6,4
126,0,30,6,4
127,0,29,7,4
128,0,29,7,4
129,0,29,8,3
130,0,29,8,3
131,0,29,8,3
132,0,28,9,3
133,0,29,8,3
134,0,29,8,3
135,0,29,8,3
136,0,29,8,3
137,0,29,8,3
138,1,28,8,3
139,1,28,8,3
140,1,28,8,3
141,1,28,8,3
142,1,28,8,3
143,1,28,8,3
144,1,28,7,4
145,1,28,7,4
146,1,27,8,4
147,1,27,8,4
148,1,26,9,4
149,1,26,9,4
150,1,26,9,4
151,1,26,9,4
152,1,26,9,4
153,1,27,9,3
154,1,28,9,2
155,1,28,9,2
156,2,27,9,2
157,2,26,9,3
158,2,26,9,3
159,2,25,9,4
160,2,24,10,4
161,2,24,9,5
162,2,23,10,5
163,2,24,9,5
164,2,24,8,6
165,2,24,9,5
166,3,23,9,5
167,3,22,10,5
168,3,22,11,4
169,3,21,12,4
170,3,21,12,4
171,3,20,13,4
172,3,19,14,4
173,3,19,14,4
174,3,18,15,4
175,3,17,15,5
176,3,17,16,4
177,3,16,17,4
178,3,15,18,4
179,3,16,17,4
180,2,17,17,4
181,2,18,16,4
182,2,19,15,4
183,2,18,16,4
184,2,17,16,5
185,2,17,16,5
186,2,18,16,4
187,2,18,16,4
188,2,18,16,4
189,2,17,17,4
190,2,18,16,4
191,2,18,15,5
192,2,19,14,5
193,2,19,14,5
194,2,18,15,5
195,2,18,14,6
196,2,18,14,6
197,2,18,14,6
198,2,19,13,6
199,2,19,14,5
200,2,18,15,5
201,2,18,15,5
202,1,18,15,6
203,1,17,16,6
204,1,17,16,6
205,1,16,17,6
206,1,16,17,6
207,1,15,17,7
208,2,14,17,7
209,2,14,18,6
210,1,15,18,6
211,1,15,18,6
212,1,16,18,5
213,1,16,18,5
214,1,15,19,5
215,1,14,20,5
216,1,14,20,5
217,1,14,19,6
218,1,15,19,5
219,1,14,20,5
220,1,13,21,5
221,1,13,21,5
222,1,14,21,4
223,1,15,20,4
224,1,15,19,5
225,1,16,18,5
226,1,16,18,5
227,1,17,17,5
228,1,16,18,5
229,1,16,18,5
230,1,15,19,5
231,1,16,18,5
232,1,17,17,5
233,1,16,18,5
234,1,17,18,4
235,1,16,18,5
236,1,17,17,5
237,1,17,17,5
238,1,18,16,5
239,1,18,16,5
240,1,18,16,5
241,1,19,16,4
242,1,19,16,4
243,1,19,16,4
244,1,19,16,4
245,2,18,16,4
246,2,18,16,4
247,2,19,16,3
248,2,19,16,3
249,2,18,16,4
250,2,18,15,5
251,3,18,14,5
252,3,18,14,5
253,3,19,14,4
254,4,19,14,3
255,5,18,14,3
256,5,18,14,3
257,5,18,14,3
258,5,18,14,3
259,5,17,14,4
260,5,17,14,4
261,4,18,14,4
262,4,19,13,4
263,4,19,13,4
264,5,19,12,4
265,5,20,11,4
266,5,20,10,5
267,4,20,11,5
268,4,20,11,5
269,4,20,11,5
270,4,20,11,5
271,5,19,11,5
272,5,19,11,5
273,5,19,10,6
274,5,18,11,6
275,5,19,11,5
276,5,20,11,4
277,5,20,11,4
278,5,20,11,4
279,5,21,11,3
280,5,21,11,3
281,5,21,11,3
282,5,20,12,3
283,5,20,11,4
284,5,21,10,4
285,5,20,11,4
286,6,19,11,4
287,6,19,11,4
288,6,20,10,4
289,6,20,10,4
290,6,20,10,4
291,6,21,9,4
292,6,21,9,4
293,6,22,9,3
294,6,22,9,3
295,6,22,9,3
296,6,22,9,3
297,6,23,9,2
298,6,23,9,2
299,6,23,9,2
300,6,22,10,2
301,5,23,10,2
302,5,24,9,2
303,5,23,10,2
304,4,24,10,2
305,4,23,11,2
306,4,22,12,2
307,4,21,13,2
308,4,21,13,2
309,4,21,13,2
310,5,20,13,2
311,5,20,13,2
312,5,19,14,2
313,5,19,14,2
314,4,20,14,2
315,4,19,15,2
316,4,19,15,2
317,5,18,15,2
318,5,18,15,2
319,5,17,16,2
320,5,18,15,2
321,5,19,14,2
322,4,20,14,2
323,4,19,15,2
324,4,18,16,2
325,4,18,16,2
326,4,19,15,2
327,4,18,16,2
328,3,19,16,2
329,3,20,15,2
330,3,20,15,2
331,3,20,15,2
332,3,20,15,2
333,3,19,16,2
334,3,18,17,2
335,3,17,17,3
336,3,18,16,3
337,3,18,16,3
338,3,18,16,3
339,2,19,16,3
340,2,19,16,3
341,2,19,16,3
342,2,19,16,3
343,2,20,15,3
344,2,20,15,3
345,2,21,14,3
346,2,21,14,3
347,2,21,14,3
348,2,21,13,4
349,2,22,12,4
350,2,23,11,4
351,2,23,11,4
352,2,23,11,4
353,2,23,11,4
354,2,24,10,4
355,1,24,11,4
