,GTFT: 0.33,Defector,Tit For Tat,Cooperator
0,10,10,10,10
1,10,9,10,11
2,9,10,10,11
3,9,10,10,11
4,9,10,9,12
5,9,10,8,13
6,8,11,8,13
7,8,12,8,12
8,8,13,8,11
9,9,12,8,11
10,8,12,8,12
11,8,11,8,13
12,8,11,8,13
13,8,10,8,14
14,8,10,9,13
15,8,10,9,13
16,8,10,10,12
17,8,9,11,12
18,8,9,10,13
19,8,9,10,13
20,8,9,9,14
21,8,10,8,14
22,7,10,8,15
23,7,9,8,16
24,7,10,8,15
25,7,9,9,15
26,7,9,8,16
27,7,8,8,17
28,7,8,8,17
29,7,9,7,17
30,7,10,7,16
31,8,10,7,15
32,9,10,7,14
33,9,10,7,14
34,10,9,7,14
35,11,9,6,14
36,10,10,6,14
37,11,10,6,13
38,11,10,6,13
39,11,11,5,13
40,12,10,5,13
41,13,9,5,13
42,14,9,5,12
43,15,9,5,11
44,15,10,4,11
45,15,9,5,11
46,15,9,5,11
47,15,9,5,11
48,16,9,4,11
49,16,10,3,11
50,16,9,3,12
51,16,10,3,11
52,17,10,3,10
53,17,10,3,10
54,17,10,3,10
55,18,9,3,10
56,19,9,3,9
57,19,9,3,9
58,19,9,3,9
59,18,10,3,9
60,17,11,3,9
61,16,11,3,10
62,15,12,3,10
63,14,12,3,11
64,14,11,4,11
65,15,10,4,11
66,15,10,4,11
67,15,9,5,11
68,15,9,4,12
69,15,9,4,12
70,14,9,4,13
71,14,9,4,13
72,13,9,4,14
73,12,10,4,14
74,12,10,5,13
75,12,11,5,12
76,11,11,6,12
77,12,10,6,12
78,11,10,7,12
79,10,10,7,13
80,10,10,8,12
81,10,9,8,13
82,11,9,8,12
83,11,9,8,12
84,11,8,8,13
85,11,8,8,13
86,10,8,9,13
87,10,8,9,13
88,10,8,10,12
89,9,8,11,12
90,9,8,11,12
91,8,9,11,12
92,8,8,12,12
93,9,8,11,12
94,9,8,10,13
95,8,8,10,14
96,8,8,11,13
97,7,8,11,14
98,6,8,12,14
99,6,9,12,13
100,6,9,12,13
101,6,10,11,13
102,6,10,10,14
103,5,10,11,14
104,5,10,10,15
105,5,11,9,15
106,5,11,9,15
107,5,11,9,15
108,5,11,9,15
109,5,12,8,15
110,5,12,8,15
111,5,12,7,16
112,5,12,6,17
113,5,13,5,17
114,6,13,5,16
115,6,12,5,17
116,6,12,5,17
117,6,13,5,16
118,6,12,5,17
119,5,12,5,18
120,5,12,5,18
121,5,13,4,18
122,5,13,5,17
123,5,13,5,17
124,4,14,5,17
125,4,15,4,17
126,4,15,4,17
127,4,15,4,17
128,4,16,3,17
129,4,16,3,17
130,4,16,3,17
131,4,16,3,17
132,4,16,4,16
133,4,16,4,16
134,4,15,4,17
135,4,15,4,17
136,4,16,4,16
137,4,15,4,17
138,5,15,4,16
139,4,15,4,17
140,4,15,4,17
141,4,15,4,17
142,4,16,4,16
143,4,17,4,15
144,4,17,4,15
145,4,16,4,16
146,4,17,4,15
147,4,18,4,14
148,4,17,5,14
149,4,17,5,14
150,4,17,5,14
151,4,16,6,14
152,4,17,5,14
153,4,16,5,15
154,4,16,5,15
155,3,16,5,16
156,3,16,6,15
157,3,16,6,15
158,3,16,6,15
159,3,15,6,16
160,3,16,6,15
161,3,15,6,16
162,2,16,6,16
163,2,15,6,17
164,2,15,6,17
165,2,15,7,16
166,3,15,7,15
167,3,15,8,14
168,3,15,9,13
169,3,16,9,12
170,3,16,9,12
171,4,15,9,12
172,4,14,10,12
173,4,13,11,12
174,5,13,11,11
175,5,14,11,10
176,5,15,10,10
177,5,14,11,10
178,5,14,12,9
179,5,14,11,10
180,5,14,10,11
181,5,15,9,11
182,5,15,9,11
183,5,15,10,10
184,5,14,10,11
185,5,14,10,11
186,5,13,10,12
187,5,14,9,12
188,5,13,9,13
189,5,13,9,13
190,5,14,8,13
191,5,15,7,13
192,5,15,6,14
193,5,15,6,14
194,5,16,6,13
195,5,15,7,13
196,4,15,7,14
197,4,15,7,14
198,4,14,7,15
199,4,14,7,15
200,4,15,7,14
201,4,15,7,14
202,3,16,7,14
203,3,17,7,13
204,3,17,7,13
205,3,18,7,12
206,3,18,8,11
207,3,18,8,11
208,3,19,8,10
209,3,18,9,10
210,2,18,9,11
211,2,18,9,11
212,2,19,9,10
213,2,19,9,10
214,2,18,10,10
215,3,18,9,10
216,3,18,9,10
217,3,18,9,10
218,4,17,9,10
219,4,18,9,9
220,5,17,9,9
221,5,17,8,10
222,6,17,8,9
223,6,18,7,9
224,6,18,6,10
225,6,18,5,11
226,6,18,5,11
227,6,19,4,11
228,6,20,4,10
229,6,21,4,9
230,6,21,5,8
231,7,20,5,8
232,8,19,5,8
233,7,20,5,8
234,8,20,5,7
235,8,20,5,7
236,8,19,5,8
237,8,19,5,8
238,7,20,5,8
239,7,20,5,8
240,8,19,5,8
241,9,18,5,8
242,9,18,5,8
243,9,18,6,7
244,10,18,6,6
245,10,18,7,5
246,9,19,7,5
247,9,19,7,5
248,9,19,7,5
249,9,20,7,4
250,8,20,7,5
251,9,19,7,5
252,9,19,6,6
253,9,19,6,6
254,10,19,6,5
255,11,18,6,5
256,11,19,5,5
257,11,18,5,6
258,11,17,6,6
259,11,16,7,6
260,10,17,7,6
261,9,18,7,6
262,9,18,7,6
263,9,19,7,5
264,9,19,7,5
265,9,20,6,5
266,9,20,6,5
267,8,20,7,5
268,8,20,7,5
269,7,21,7,5
270,7,22,7,4
271,7,22,7,4
272,7,21,8,4
273,6,21,8,5
274,5,21,9,5
275,5,21,10,4
276,5,22,10,3
277,5,21,11,3
278,5,20,12,3
279,5,20,12,3
280,5,20,12,3
281,5,21,11,3
282,5,20,12,3
283,5,19,12,4
284,6,19,11,4
285,7,18,11,4
286,7,17,12,4
287,7,18,11,4
288,7,19,10,4
289,7,20,10,3
290,8,19,10,3
291,8,19,10,3
292,9,18,10,3
293,9,17,10,4
294,9,16,11,4
295,8,17,11,4
296,7,17,12,4
297,8,16,12,4
298,8,15,13,4
299,8,15,13,4
300,8,14,14,4
301,8,15,13,4
302,8,16,12,4
303,8,16,12,4
304,7,16,12,5
305,7,16,12,5
306,7,16,13,4
307,7,16,14,3
308,7,16,14,3
309,7,17,13,3
310,7,16,14,3
311,7,15,15,3
312,7,15,15,3
313,7,15,15,3
314,7,15,15,3
315,6,15,16,3
316,6,15,16,3
317,6,16,15,3
318,6,17,14,3
319,6,16,15,3
320,6,16,15,3
321,6,17,14,3
322,5,18,14,3
323,5,18,14,3
324,5,19,13,3
325,5,19,13,3
326,5,20,12,3
327,5,20,12,3
328,5,19,13,3
329,5,20,12,3
330,5,20,12,3
331,4,21,12,3
332,4,20,13,3
333,4,20,12,4
334,4,21,12,3
335,4,21,13,2
336,4,22,13,1
337,4,23,12,1
338,4,23,12,1
339,4,24,12,0
340,4,23,13,0
341,4,23,13,0
342,4,23,13,0
343,4,24,12,0
344,4,24,12,0
345,4,25,11,0
346,4,24,12,0
347,4,24,12,0
348,4,24,12,0
349,3,25,12,0
350,3,25,12,0
351,3,25,12,0
352,3,25,12,0
353,3,24,13,0
354,2,25,13,0
355,2,26,12,0
