,GTFT: 0.33,Defector,Tit For Tat,Cooperator
0,10,10,10,10
1,9,10,10,11
2,9,11,10,10
3,9,12,10,9
4,8,12,11,9
5,8,11,12,9
6,9,11,11,9
7,10,11,10,9
8,10,12,9,9
9,9,13,9,9
10,9,13,10,8
11,9,13,10,8
12,10,13,10,7
13,11,13,10,6
14,12,13,9,6
15,13,13,8,6
16,13,13,8,6
17,14,13,8,5
18,14,14,8,4
19,14,15,8,3
20,13,16,8,3
21,12,17,8,3
22,12,17,8,3
23,12,17,8,3
24,12,17,8,3
25,12,18,7,3
26,12,18,7,3
27,11,18,8,3
28,12,17,8,3
29,12,17,8,3
30,12,17,8,3
31,11,17,9,3
32,11,17,9,3
33,11,17,9,3
34,10,18,9,3
35,10,18,9,3
36,9,18,9,4
37,9,19,8,4
38,10,18,8,4
39,10,17,8,5
40,10,16,9,5
41,10,15,10,5
42,10,14,11,5
43,10,15,10,5
44,10,14,11,5
45,11,14,11,4
46,11,14,11,4
47,11,13,12,4
48,11,12,12,5
49,12,12,11,5
50,13,12,11,4
51,13,13,11,3
52,13,13,12,2
53,13,12,12,3
54,14,12,11,3
55,15,11,11,3
56,16,11,10,3
57,16,11,10,3
58,16,10,11,3
59,15,10,12,3
60,15,9,13,3
61,15,9,13,3
62,16,9,12,3
63,16,9,12,3
64,16,9,12,3
65,16,8,13,3
66,17,8,12,3
67,17,8,12,3
68,17,8,12,3
69,16,8,13,3
70,17,8,12,3
71,17,8,12,3
72,17,8,13,2
73,18,7,13,2
74,18,7,13,2
75,18,8,12,2
76,18,7,12,3
77,19,7,11,3
78,18,8,11,3
79,19,7,11,3
80,20,7,10,3
81,20,6,11,3
82,20,5,12,3
83,20,5,12,3
84,20,5,12,3
85,21,5,12,2
86,21,5,12,2
87,21,5,12,2
88,21,5,12,2
89,21,4,13,2
90,20,4,13,3
91,19,4,14,3
92,19,4,14,3
93,18,4,15,3
94,19,4,14,3
95,19,4,14,3
96,20,4,13,3
97,19,4,13,4
98,20,3,13,4
99,19,3,14,4
100,20,3,13,4
101,19,3,14,4
102,18,3,14,5
103,19,3,14,4
104,20,3,13,4
105,20,3,13,4
106,19,3,14,4
107,18,3,15,4
108,18,3,15,4
109,17,4,15,4
110,18,4,14,4
111,18,5,14,3
112,19,5,13,3
113,19,5,14,2
114,19,5,14,2
115,18,5,15,2
116,18,5,15,2
117,18,5,15,2
118,17,5,16,2
119,17,5,16,2
120,17,6,15,2
121,18,6,15,1
122,18,7,14,1
123,17,7,15,1
124,16,8,15,1
125,15,9,15,1
126,15,9,16,0
127,16,9,15,0
128,16,9,15,0
129,16,9,15,0
130,15,9,15,1
131,16,9,14,1
132,15,9,15,1
133,15,10,14,1
