,GTFT: 0.33,Defector,Tit For Tat,Cooperator
0,10,10,10,10
1,10,11,9,10
2,9,11,9,11
3,9,11,8,12
4,8,11,8,13
5,8,10,8,14
6,8,10,8,14
7,9,10,7,14
8,9,11,7,13
9,9,12,7,12
10,9,11,7,13
11,9,11,7,13
12,8,11,7,14
13,8,11,8,13
14,9,11,8,12
15,9,10,9,12
16,9,10,9,12
17,8,10,9,13
18,9,10,9,12
19,9,10,10,11
20,9,10,11,10
21,10,10,11,9
22,10,10,11,9
23,9,10,11,10
24,8,10,11,11
25,8,9,11,12
26,8,8,12,12
27,8,9,11,12
28,8,9,11,12
29,8,8,11,13
30,7,8,12,13
31,7,9,11,13
32,7,8,11,14
33,7,8,12,13
34,7,8,12,13
35,7,8,12,13
36,8,8,12,12
37,8,8,12,12
38,8,9,12,11
39,8,9,11,12
40,8,9,10,13
41,8,9,9,14
42,8,8,9,15
43,8,8,9,15
44,8,9,8,15
45,8,9,8,15
46,8,9,8,15
47,8,8,8,16
48,8,8,8,16
49,8,8,9,15
50,9,7,9,15
51,10,7,9,14
52,10,7,9,14
53,10,7,9,14
54,11,7,8,14
55,10,7,9,14
56,10,6,10,14
57,9,7,10,14
58,9,7,10,14
59,9,7,10,14
60,9,7,10,14
61,10,7,9,14
62,10,7,9,14
63,10,7,9,14
64,10,6,9,15
65,10,7,9,14
66,10,7,9,14
67,10,7,9,14
68,10,7,9,14
69,9,7,10,14
70,9,8,9,14
71,9,8,9,14
72,9,9,9,13
73,9,10,9,12
74,8,10,9,13
75,8,10,8,14
76,8,11,8,13
77,8,11,8,13
78,8,10,9,13
79,7,10,9,14
80,7,9,9,15
81,7,9,8,16
82,7,9,7,17
83,8,9,7,16
84,8,10,7,15
85,8,10,6,16
86,8,10,6,16
87,7,10,6,17
88,7,10,6,17
89,8,10,5,17
90,8,10,5,17
91,8,10,5,17
92,8,10,5,17
93,9,10,5,16
94,9,10,5,16
95,9,10,5,16
96,9,10,5,16
97,8,10,5,17
98,8,10,5,17
99,8,10,6,16
100,9,9,6,16
101,9,9,6,16
102,9,9,6,16
103,9,10,6,15
104,9,9,6,16
105,10,9,6,15
106,9,9,7,15
107,9,8,8,15
108,8,8,8,16
109,8,7,9,16
110,8,7,10,15
111,8,7,9,16
112,9,7,9,15
113,9,7,9,15
114,8,8,9,15
115,8,8,10,14
116,9,8,10,13
117,8,9,10,13
118,7,9,11,13
119,7,10,11,12
120,7,11,10,12
