,GTFT: 0.33,Cooperator,Tit For Tat,Defector
0,10,10,10,10
1,10,9,10,11
2,10,9,9,12
3,10,10,9,11
4,10,9,10,11
5,10,10,9,11
6,10,10,9,11
7,10,11,9,10
8,11,10,9,10
9,11,11,8,10
10,11,11,8,10
11,12,11,7,10
12,11,11,7,11
13,11,11,7,11
14,11,11,7,11
15,11,11,6,12
16,11,11,6,12
17,10,11,6,13
18,10,10,6,14
19,9,10,7,14
20,8,11,7,14
21,8,10,8,14
22,8,9,8,15
23,8,10,7,15
24,8,10,7,15
25,8,11,7,14
26,8,11,6,15
27,8,11,6,15
28,7,11,6,16
29,7,11,6,16
30,8,10,6,16
31,8,11,6,15
32,8,10,6,16
33,8,10,6,16
34,9,10,5,16
35,8,10,6,16
36,8,10,6,16
37,8,10,5,17
38,8,10,4,18
39,9,10,4,17
40,10,10,4,16
41,9,11,4,16
42,8,11,4,17
43,8,10,4,18
44,8,9,4,19
45,8,9,4,19
46,9,9,4,18
47,10,9,4,17
48,10,9,4,17
49,11,9,3,17
50,11,8,4,17
51,12,8,4,16
52,12,8,3,17
53,12,8,4,16
54,13,7,4,16
55,13,7,4,16
56,13,7,4,16
57,12,7,4,17
58,12,7,4,17
59,13,7,4,16
60,14,7,4,15
61,13,7,5,15
62,13,6,5,16
63,13,7,4,16
64,13,7,4,16
65,12,7,4,17
66,13,6,4,17
67,13,6,3,18
68,13,6,4,17
69,13,6,4,17
70,13,6,3,18
71,13,6,3,18
72,12,7,3,18
73,12,7,3,18
74,12,7,3,18
75,12,7,3,18
76,11,7,4,18
77,11,8,4,17
78,11,9,4,16
79,11,10,4,15
80,11,10,4,15
81,11,10,4,15
82,11,11,4,14
83,10,11,5,14
84,10,11,5,14
85,9,11,5,15
86,9,10,5,16
87,9,9,5,17
88,9,9,4,18
89,9,9,4,18
90,9,10,3,18
91,9,10,3,18
92,9,9,3,19
93,9,9,3,19
94,9,9,3,19
95,9,10,3,18
96,9,10,3,18
97,9,10,3,18
98,10,10,3,17
99,11,10,3,16
100,11,10,2,17
101,11,9,2,18
102,11,9,3,17
103,12,9,3,16
104,12,9,3,16
105,12,9,3,16
106,13,8,3,16
107,13,8,3,16
108,12,8,3,17
109,12,7,3,18
110,11,8,3,18
111,12,8,3,17
112,12,8,3,17
113,12,8,4,16
114,12,8,5,15
115,12,9,5,14
116,13,9,4,14
117,12,9,4,15
118,12,9,4,15
119,11,9,4,16
120,11,8,4,17
121,10,9,4,17
122,10,10,3,17
123,10,10,4,16
124,10,10,4,16
125,11,10,4,15
126,12,10,3,15
127,12,10,4,14
128,12,11,4,13
129,13,11,3,13
130,14,11,3,12
131,14,11,3,12
132,14,11,3,12
133,13,12,3,12
134,14,12,3,11
135,13,12,3,12
136,13,12,3,12
137,14,11,3,12
138,14,11,3,12
139,14,12,3,11
140,15,11,3,11
141,15,11,3,11
142,15,10,3,12
143,15,9,3,13
144,15,9,2,14
145,15,9,2,14
146,14,9,2,15
147,14,9,2,15
148,15,8,2,15
149,15,7,2,16
150,15,6,2,17
151,15,5,2,18
152,15,5,2,18
153,15,5,2,18
154,15,5,2,18
155,16,5,2,17
156,16,5,2,17
157,16,5,2,17
158,16,5,3,16
159,16,4,3,17
160,17,4,3,16
161,17,4,3,16
162,18,4,3,15
163,18,4,3,15
164,19,3,3,15
165,19,2,3,16
166,18,3,3,16
167,17,3,3,17
168,16,3,3,18
169,15,3,3,19
170,15,3,2,20
171,15,3,2,20
172,15,3,2,20
173,16,3,2,19
174,16,3,3,18
175,17,3,3,17
176,17,3,3,17
177,16,3,3,18
178,17,3,3,17
179,17,3,3,17
180,18,3,3,16
181,18,3,3,16
182,17,3,4,16
183,17,4,3,16
184,16,4,3,17
185,16,4,3,17
186,15,4,3,18
187,15,4,3,18
188,15,4,3,18
189,15,4,3,18
190,15,4,3,18
191,15,4,3,18
192,16,4,2,18
193,16,4,2,18
194,17,4,2,17
195,18,4,1,17
196,18,4,1,17
197,17,5,1,17
198,18,4,1,17
199,17,4,1,18
200,16,4,1,19
201,16,3,1,20
202,16,3,1,20
203,16,3,1,20
204,15,3,2,20
205,15,3,2,20
206,14,3,2,21
207,15,3,1,21
208,15,3,1,21
209,15,3,1,21
210,15,3,1,21
211,14,3,1,22
212,14,3,1,22
213,15,3,1,21
214,15,3,1,21
215,15,3,2,20
216,16,3,2,19
217,15,3,2,20
218,16,3,1,20
219,17,3,1,19
220,17,3,1,19
221,17,3,1,19
222,17,3,1,19
223,16,3,1,20
224,17,3,1,19
225,18,3,1,18
226,19,3,1,17
227,19,3,1,17
228,19,3,2,16
229,20,3,2,15
230,21,3,2,14
231,21,3,2,14
232,21,2,2,15
233,20,2,3,15
234,20,2,4,14
235,21,2,4,13
236,20,2,5,13
237,20,2,5,13
238,20,2,5,13
239,20,2,5,13
240,20,3,5,12
241,19,3,5,13
242,19,3,5,13
243,20,2,5,13
244,21,2,5,12
245,22,2,5,11
246,23,2,4,11
247,24,2,4,10
248,24,2,4,10
249,24,2,5,9
250,24,2,5,9
251,23,3,5,9
252,23,3,5,9
253,24,3,5,8
254,24,2,6,8
255,23,2,6,9
256,23,2,6,9
257,23,3,5,9
258,23,3,5,9
259,22,3,5,10
260,22,3,5,10
261,23,3,4,10
262,24,3,4,9
263,25,3,4,8
264,24,3,5,8
265,24,3,4,9
266,25,2,4,9
267,25,2,4,9
268,25,2,5,8
269,25,2,5,8
270,25,2,5,8
271,26,2,5,7
272,25,3,5,7
273,24,3,5,8
274,24,3,5,8
275,24,3,5,8
276,25,3,5,7
277,24,4,5,7
278,23,4,6,7
279,23,4,6,7
280,23,4,7,6
281,24,3,7,6
282,25,3,6,6
283,25,3,6,6
284,24,3,6,7
285,23,3,7,7
286,22,3,7,8
287,22,3,7,8
288,22,3,6,9
289,21,3,6,10
290,20,3,7,10
291,20,3,8,9
292,19,4,8,9
293,18,4,9,9
294,17,4,9,10
295,16,4,9,11
296,16,4,9,11
297,16,4,9,11
298,16,4,9,11
299,17,4,9,10
300,17,4,10,9
301,17,4,10,9
302,16,4,11,9
303,16,4,11,9
304,16,5,11,8
305,15,5,11,9
306,16,5,10,9
307,16,5,10,9
308,16,5,11,8
309,16,5,11,8
310,15,6,11,8
311,14,6,12,8
312,14,6,12,8
313,15,6,11,8
314,14,6,12,8
315,14,6,12,8
316,15,6,12,7
317,14,6,13,7
318,13,7,13,7
319,13,6,14,7
320,13,6,14,7
321,13,6,13,8
322,14,6,13,7
323,15,5,13,7
324,14,5,13,8
325,13,5,14,8
326,14,5,14,7
327,15,5,13,7
328,15,5,12,8
329,15,6,12,7
330,15,6,11,8
331,15,7,11,7
332,14,7,11,8
333,14,7,11,8
334,14,8,11,7
335,14,9,10,7
336,14,9,9,8
337,14,9,10,7
338,15,8,10,7
339,16,8,9,7
340,15,9,9,7
341,15,8,9,8
342,15,7,10,8
343,15,7,10,8
344,15,7,11,7
345,14,8,11,7
346,13,9,11,7
347,13,9,11,7
348,13,9,11,7
349,12,9,12,7
350,12,8,13,7
351,12,7,14,7
352,12,6,15,7
353,11,6,15,8
354,10,6,16,8
355,10,6,16,8
