,GTFT: 0.33,Cooperator,Tit For Tat,Defector
0,10,10,10,10
1,10,10,10,10
2,9,10,11,10
3,9,9,12,10
4,9,9,12,10
5,9,9,12,10
6,9,8,12,11
7,9,8,12,11
8,9,8,12,11
9,9,7,12,12
10,9,8,11,12
11,10,8,10,12
12,11,7,10,12
13,10,7,10,13
14,10,7,10,13
15,11,7,9,13
16,11,7,9,13
17,11,7,9,13
18,11,7,9,13
19,10,7,9,14
20,10,7,9,14
21,10,7,9,14
22,10,6,9,15
23,11,6,8,15
24,11,6,8,15
25,11,7,7,15
26,10,7,8,15
27,9,7,9,15
28,8,7,10,15
29,8,8,9,15
30,8,8,9,15
31,8,8,9,15
32,7,8,10,15
33,7,8,10,15
34,7,8,10,15
35,7,8,10,15
36,7,7,11,15
37,7,7,10,16
38,7,7,10,16
39,7,7,10,16
40,6,7,10,17
41,6,7,11,16
42,6,7,11,16
43,5,7,11,17
44,5,7,12,16
45,5,7,11,17
46,6,7,11,16
47,6,7,11,16
48,5,7,12,16
49,5,7,13,15
50,6,6,13,15
51,6,6,13,15
52,6,5,14,15
53,6,5,15,14
54,6,4,16,14
55,6,4,15,15
56,6,4,15,15
57,6,4,16,14
58,6,4,17,13
59,6,3,18,13
60,6,3,18,13
61,6,3,19,12
62,6,3,19,12
63,6,3,20,11
64,6,3,20,11
65,6,3,20,11
66,5,4,20,11
67,5,4,19,12
68,5,4,19,12
69,4,4,20,12
70,4,4,20,12
71,4,4,20,12
72,4,4,19,13
73,3,4,19,14
74,3,4,19,14
75,3,4,19,14
76,4,4,19,13
77,4,5,18,13
78,4,5,17,14
79,4,5,17,14
80,3,5,18,14
81,3,5,18,14
82,3,5,19,13
83,3,5,20,12
84,3,5,20,12
85,3,5,20,12
86,3,5,21,11
87,3,5,21,11
88,3,5,21,11
89,4,5,20,11
90,4,5,20,11
91,4,5,20,11
92,4,4,20,12
93,4,4,20,12
94,5,4,20,11
95,5,4,21,10
96,5,4,21,10
97,5,4,20,11
98,5,4,21,10
99,5,4,22,9
100,5,3,23,9
101,5,3,23,9
102,5,3,23,9
103,5,3,23,9
104,5,3,23,9
105,5,3,23,9
106,5,3,22,10
107,5,4,21,10
108,6,4,21,9
109,5,4,22,9
110,4,4,23,9
111,4,3,23,10
112,4,3,23,10
113,4,4,22,10
114,4,4,22,10
115,4,4,22,10
116,4,5,22,9
117,4,5,22,9
118,4,6,21,9
119,4,7,20,9
120,4,7,21,8
121,4,7,21,8
122,4,6,22,8
123,5,6,21,8
124,5,6,21,8
125,5,6,21,8
126,5,6,21,8
127,5,7,20,8
128,5,6,21,8
129,5,5,22,8
130,4,5,23,8
131,3,5,23,9
132,3,5,24,8
133,3,5,23,9
134,3,5,23,9
135,3,5,23,9
136,3,5,23,9
137,3,5,22,10
138,3,5,22,10
139,3,5,21,11
140,3,5,22,10
141,3,5,22,10
142,3,5,21,11
143,3,6,20,11
144,2,6,21,11
145,2,6,21,11
146,2,6,21,11
147,1,6,22,11
148,1,7,21,11
149,1,7,20,12
150,1,7,21,11
151,1,7,21,11
152,1,7,21,11
153,1,7,21,11
154,1,7,21,11
155,1,7,21,11
156,1,8,21,10
157,1,9,20,10
158,1,9,20,10
159,1,10,19,10
160,1,10,20,9
161,1,9,20,10
162,1,9,21,9
163,1,8,21,10
164,0,8,21,11
165,0,8,22,10
166,0,7,23,10
167,0,6,24,10
168,0,6,24,10
169,0,5,25,10
170,0,6,24,10
171,0,5,25,10
172,0,5,24,11
173,0,5,23,12
174,0,5,23,12
175,0,6,22,12
176,0,6,22,12
177,0,6,21,13
178,0,6,21,13
179,0,6,20,14
180,0,6,19,15
181,0,6,19,15
182,0,6,19,15
183,0,6,18,16
184,0,6,18,16
185,0,6,17,17
186,0,5,18,17
187,0,5,19,16
188,0,4,19,17
189,0,4,18,18
190,0,4,19,17
191,0,4,19,17
192,0,4,20,16
193,0,5,19,16
194,0,6,18,16
195,0,6,18,16
196,0,6,19,15
197,0,7,18,15
198,0,7,18,15
199,0,7,18,15
200,0,7,18,15
201,0,7,17,16
202,0,7,17,16
203,0,7,17,16
204,0,7,17,16
205,0,7,17,16
206,0,8,16,16
207,0,9,15,16
208,0,8,15,17
209,0,8,15,17
210,0,8,14,18
211,0,9,14,17
212,1,9,13,17
213,1,9,13,17
214,1,10,12,17
215,1,9,12,18
216,1,9,12,18
217,1,10,12,17
218,1,10,11,18
219,1,11,10,18
220,1,11,11,17
221,1,11,10,18
222,1,12,10,17
223,1,11,10,18
224,1,10,10,19
225,0,11,10,19
226,0,11,10,19
227,0,11,10,19
228,0,11,10,19
229,0,11,10,19
230,0,11,10,19
231,0,10,11,19
232,0,10,12,18
233,0,10,12,18
234,0,10,12,18
235,0,10,12,18
236,0,10,13,17
237,0,11,13,16
238,0,11,13,16
239,0,11,13,16
240,0,10,14,16
241,0,11,14,15
242,0,10,14,16
243,0,9,14,17
244,0,9,15,16
245,0,9,15,16
246,0,10,14,16
247,0,11,14,15
248,0,11,13,16
249,0,11,13,16
250,0,10,13,17
251,0,10,13,17
252,0,10,13,17
253,0,10,13,17
254,0,10,12,18
255,1,10,11,18
256,1,10,11,18
257,1,10,11,18
258,1,11,10,18
259,1,11,11,17
260,1,11,12,16
261,1,10,13,16
262,1,10,12,17
263,1,11,12,16
264,1,10,13,16
265,1,10,12,17
266,1,11,12,16
267,1,11,11,17
268,1,12,11,16
269,1,13,11,15
270,1,14,10,15
271,1,13,11,15
272,1,13,10,16
273,1,14,10,15
274,1,14,11,14
275,1,14,11,14
276,1,15,11,13
277,1,15,10,14
278,1,14,11,14
279,1,15,11,13
280,1,14,11,14
281,1,13,11,15
282,1,12,11,16
283,1,12,12,15
284,1,12,12,15
285,1,12,13,14
286,1,12,14,13
287,1,13,14,12
288,1,13,14,12
289,1,13,14,12
290,1,12,14,13
291,1,13,13,13
292,1,14,12,13
293,1,14,12,13
294,1,14,12,13
295,1,15,12,12
296,1,15,12,12
297,1,15,12,12
298,1,15,11,13
299,1,14,11,14
300,1,14,11,14
301,1,15,11,13
302,1,15,11,13
303,1,16,10,13
304,1,16,9,14
305,1,15,9,15
306,1,15,8,16
307,1,14,9,16
308,1,14,8,17
309,1,14,8,17
310,1,14,8,17
311,1,15,8,16
312,1,16,8,15
313,1,15,8,16
314,1,15,8,16
315,1,15,8,16
316,1,15,7,17
317,1,15,7,17
318,1,14,7,18
319,1,14,7,18
320,1,13,7,19
321,1,12,8,19
322,1,13,8,18
