,GTFT: 0.33,Defector,Tit For Tat,Cooperator
0,10,10,10,10
1,10,9,10,11
2,10,9,10,11
3,9,9,11,11
4,9,9,11,11
5,9,8,11,12
6,10,8,11,11
7,10,9,10,11
8,9,9,10,12
9,9,10,10,11
10,9,10,11,10
11,9,9,12,10
12,8,10,12,10
13,9,10,12,9
14,9,10,13,8
15,9,10,13,8
16,9,11,13,7
17,8,12,13,7
18,8,13,12,7
19,8,13,11,8
20,8,14,10,8
21,8,14,9,9
22,9,14,9,8
23,9,14,8,9
24,10,13,8,9
25,10,13,8,9
26,10,12,8,10
27,10,12,8,10
28,10,12,8,10
29,10,12,8,10
30,9,12,8,11
31,9,12,8,11
32,9,11,9,11
33,9,11,10,10
34,9,11,10,10
35,9,11,11,9
36,10,11,11,8
37,11,11,10,8
38,11,10,10,9
39,10,11,10,9
40,11,11,9,9
41,12,10,9,9
42,11,10,9,10
43,11,10,9,10
44,12,10,8,10
45,11,10,8,11
46,12,10,8,10
47,11,10,9,10
48,11,10,8,11
49,12,9,8,11
50,11,9,9,11
51,11,8,9,12
52,11,9,9,11
53,11,9,8,12
54,11,9,8,12
55,11,9,9,11
56,10,9,10,11
57,11,8,10,11
58,10,8,10,12
59,10,7,11,12
60,10,8,10,12
61,9,9,10,12
62,10,9,9,12
63,10,9,9,12
64,9,9,10,12
65,9,10,9,12
66,9,9,9,13
67,9,9,10,12
68,9,9,10,12
69,9,9,10,12
70,9,10,9,12
71,9,9,9,13
72,10,8,9,13
73,10,8,9,13
74,10,8,9,13
75,11,8,9,12
76,10,8,9,13
77,10,9,9,12
78,10,9,10,11
79,10,8,11,11
80,10,8,11,11
81,10,8,11,11
82,10,8,11,11
83,10,8,12,10
84,11,8,12,9
85,11,8,12,9
86,11,9,12,8
87,11,8,13,8
88,11,8,14,7
89,11,8,14,7
90,12,8,13,7
91,13,7,13,7
92,14,7,12,7
93,14,7,12,7
94,14,7,12,7
95,14,7,12,7
96,14,7,12,7
97,14,7,12,7
98,14,7,12,7
99,14,7,13,6
100,15,7,12,6
101,15,7,12,6
102,14,8,12,6
103,13,9,12,6
104,12,10,12,6
105,11,10,13,6
106,11,11,13,5
107,11,10,13,6
108,10,11,13,6
109,10,11,12,7
110,11,11,12,6
111,11,12,12,5
112,11,12,12,5
113,11,12,13,4
114,12,12,12,4
115,12,12,12,4
116,13,12,12,3
117,13,13,11,3
118,13,13,11,3
119,12,13,11,4
120,13,12,11,4
121,12,12,11,5
122,12,11,12,5
123,13,11,11,5
124,14,10,11,5
125,13,11,11,5
126,14,11,11,4
127,14,11,11,4
128,15,11,10,4
129,16,10,10,4
130,17,10,10,3
131,18,10,9,3
132,18,9,10,3
133,18,10,9,3
134,19,9,9,3
135,19,9,9,3
136,20,9,9,2
137,20,9,9,2
138,21,9,9,1
139,21,9,9,1
140,21,9,9,1
141,21,9,9,1
142,21,9,9,1
143,22,9,8,1
144,23,8,8,1
145,23,8,8,1
146,23,8,8,1
147,23,8,8,1
148,23,9,7,1
149,23,8,8,1
150,22,9,8,1
151,21,10,8,1
152,21,11,8,0
153,21,11,8,0
154,21,11,8,0
155,21,11,8,0
156,21,11,8,0
157,22,11,7,0
158,23,10,7,0
159,24,10,6,0
160,25,9,6,0
161,25,9,6,0
162,26,8,6,0
163,25,9,6,0
164,24,10,6,0
165,25,10,5,0
166,25,10,5,0
167,24,10,6,0
168,24,10,6,0
169,24,10,6,0
170,25,10,5,0
171,25,10,5,0
172,25,10,5,0
173,25,10,5,0
174,25,10,5,0
175,25,10,5,0
176,25,10,5,0
177,26,9,5,0
178,26,9,5,0
179,26,9,5,0
180,27,8,5,0
181,27,8,5,0
182,27,8,5,0
183,27,8,5,0
184,27,8,5,0
185,26,8,6,0
186,27,8,5,0
187,26,8,5,1
188,25,8,6,1
189,25,8,6,1
190,25,8,6,1
191,24,9,6,1
192,23,10,6,1
193,22,11,6,1
194,23,11,6,0
195,23,11,6,0
196,23,11,6,0
197,23,12,5,0
198,23,12,5,0
199,24,11,5,0
200,25,10,5,0
201,25,10,5,0
202,26,10,4,0
203,25,10,5,0
204,25,10,5,0
205,24,10,6,0
206,24,9,7,0
207,24,9,7,0
208,23,10,7,0
209,23,10,7,0
210,22,10,8,0
211,21,11,8,0
212,21,11,8,0
213,20,11,9,0
214,20,12,8,0
215,21,11,8,0
216,22,11,7,0
217,23,11,6,0
218,22,11,7,0
219,21,12,7,0
220,21,12,7,0
221,21,12,7,0
222,22,11,7,0
223,21,11,8,0
224,20,12,8,0
225,21,11,8,0
226,21,10,9,0
227,21,10,9,0
228,22,10,8,0
229,21,11,8,0
230,22,10,8,0
231,22,9,9,0
232,22,8,10,0
233,21,9,10,0
234,21,9,10,0
235,21,9,10,0
236,21,9,10,0
237,22,9,9,0
238,22,9,9,0
239,22,9,9,0
240,23,9,8,0
241,22,9,8,1
242,23,9,7,1
243,22,9,8,1
244,21,9,9,1
245,21,8,10,1
246,21,8,10,1
247,21,8,10,1
248,21,8,10,1
249,20,8,11,1
250,19,8,12,1
251,19,8,12,1
252,18,8,13,1
253,17,9,13,1
254,18,9,13,0
255,19,8,13,0
256,18,9,13,0
257,18,9,13,0
258,17,9,14,0
259,17,9,14,0
260,17,10,13,0
261,18,9,13,0
262,19,9,12,0
263,18,9,12,1
264,17,9,13,1
265,17,8,14,1
266,17,8,14,1
267,17,8,14,1
268,18,7,14,1
269,17,7,15,1
270,18,7,14,1
271,17,7,15,1
272,16,7,16,1
273,15,8,16,1
274,14,8,17,1
275,14,8,17,1
276,14,8,17,1
277,14,9,16,1
278,14,10,15,1
279,15,9,15,1
280,15,9,15,1
281,15,8,16,1
282,16,8,15,1
283,16,8,15,1
284,16,8,15,1
285,16,8,15,1
286,17,7,15,1
287,17,7,15,1
288,17,6,16,1
289,17,6,16,1
290,17,7,15,1
291,18,6,15,1
292,17,6,15,2
293,16,6,15,3
294,17,6,14,3
295,17,6,15,2
296,18,6,14,2
297,17,6,15,2
298,17,6,15,2
299,17,6,14,3
300,17,5,15,3
301,17,5,15,3
302,17,5,15,3
303,16,5,15,4
304,16,5,15,4
305,16,5,16,3
306,16,4,17,3
307,15,4,18,3
308,14,4,19,3
309,14,4,19,3
310,15,4,18,3
311,15,4,18,3
312,16,3,18,3
313,16,3,18,3
314,16,3,18,3
315,16,3,18,3
316,15,3,19,3
317,15,4,19,2
318,15,4,19,2
319,15,4,19,2
320,15,3,20,2
321,14,3,20,3
322,14,3,20,3
323,14,3,20,3
324,14,3,20,3
325,15,3,19,3
326,16,3,18,3
327,16,3,18,3
328,15,3,18,4
329,15,3,18,4
330,15,3,18,4
331,15,3,18,4
332,15,4,17,4
333,15,5,17,3
334,15,5,17,3
335,16,5,16,3
336,16,6,15,3
337,16,6,15,3
338,16,6,15,3
339,17,6,14,3
340,18,6,13,3
341,18,6,13,3
342,18,6,13,3
343,19,6,12,3
344,20,6,11,3
345,20,7,10,3
346,21,6,10,3
347,21,6,10,3
348,21,6,11,2
349,21,7,10,2
350,22,6,10,2
351,21,6,11,2
352,21,5,12,2
353,21,5,12,2
354,21,5,12,2
355,20,5,13,2
