,GTFT: 0.33,Defector,Tit For Tat,Cooperator
0,10,10,10,10
1,10,9,11,10
2,10,10,11,9
3,9,10,12,9
4,9,10,13,8
5,9,9,13,9
6,10,8,13,9
7,10,9,12,9
8,9,9,12,10
9,9,9,12,10
10,10,9,12,9
11,11,8,12,9
12,10,9,12,9
13,11,9,12,8
14,12,9,12,7
15,11,9,12,8
16,11,10,12,7
17,10,11,12,7
18,10,11,12,7
19,10,11,11,8
20,9,12,11,8
21,9,12,11,8
22,9,12,10,9
23,9,12,9,10
24,9,12,9,10
25,9,12,9,10
26,9,11,10,10
27,9,11,10,10
28,9,11,10,10
29,8,11,10,11
30,7,11,10,12
31,7,11,10,12
32,8,10,10,12
33,8,10,10,12
34,8,10,10,12
35,8,10,11,11
36,8,10,12,10
37,9,10,11,10
38,9,9,12,10
39,8,10,12,10
40,7,10,12,11
41,7,10,12,11
42,7,10,12,11
43,7,11,11,11
44,8,11,10,11
45,7,11,11,11
46,8,11,10,11
47,8,11,11,10
48,8,12,10,10
49,9,11,10,10
50,8,11,11,10
51,8,10,12,10
52,8,10,13,9
53,8,10,12,10
54,8,11,12,9
55,8,11,12,9
56,8,12,11,9
57,9,11,11,9
58,9,11,11,9
59,9,11,11,9
60,9,11,11,9
61,9,10,11,10
62,9,9,11,11
63,9,9,10,12
64,9,8,11,12
65,9,7,11,13
66,9,7,10,14
67,9,7,10,14
68,9,6,10,15
69,9,6,10,15
70,9,6,9,16
71,9,6,9,16
72,10,5,9,16
73,9,5,9,17
74,9,5,9,17
75,9,5,9,17
76,8,5,9,18
77,8,5,9,18
78,8,6,9,17
79,9,6,9,16
80,9,6,9,16
81,9,6,9,16
82,8,6,9,17
83,9,6,9,16
84,9,6,8,17
85,9,6,8,17
86,9,6,8,17
87,10,6,7,17
88,11,6,7,16
89,11,6,8,15
90,11,6,8,15
91,11,6,8,15
92,11,6,8,15
93,11,6,8,15
94,10,6,8,16
95,10,6,7,17
96,9,6,7,18
97,9,6,7,18
98,9,6,7,18
99,10,6,6,18
100,11,5,6,18
101,11,5,6,18
102,11,5,7,17
103,10,5,7,18
104,9,6,7,18
105,9,7,7,17
106,9,8,6,17
107,9,8,6,17
108,9,8,5,18
109,9,8,5,18
110,9,7,5,19
111,9,7,5,19
112,8,8,5,19
113,8,8,6,18
114,7,8,6,19
115,7,8,6,19
116,7,7,6,20
117,8,7,5,20
118,8,7,5,20
119,8,8,5,19
120,8,8,4,20
121,8,8,5,19
122,8,9,4,19
123,8,9,4,19
124,8,8,5,19
125,8,8,5,19
126,8,8,4,20
127,8,8,4,20
128,8,8,3,21
129,9,8,3,20
130,9,8,3,20
131,9,9,2,20
132,10,9,2,19
133,10,9,3,18
134,10,9,3,18
135,11,9,3,17
136,11,10,3,16
137,11,9,4,16
138,11,8,4,17
139,12,8,4,16
140,13,7,4,16
141,13,7,4,16
142,14,7,4,15
143,13,7,4,16
144,13,7,4,16
145,14,7,4,15
146,15,7,4,14
147,14,7,4,15
148,15,7,3,15
149,15,8,2,15
150,14,8,2,16
151,13,8,2,17
152,14,8,2,16
153,13,9,2,16
154,12,9,2,17
155,13,9,2,16
156,13,9,2,16
157,13,9,2,16
158,13,9,2,16
159,13,9,2,16
160,13,9,2,16
161,12,10,2,16
162,12,10,2,16
163,13,10,2,15
164,14,10,2,14
165,14,9,2,15
166,15,8,2,15
167,15,8,2,15
168,15,8,2,15
169,15,8,2,15
170,15,7,2,16
171,15,7,1,17
172,16,7,1,16
173,16,7,1,16
174,17,6,1,16
175,16,6,1,17
176,15,6,1,18
177,14,6,1,19
178,14,6,1,19
179,13,6,1,20
180,13,6,1,20
181,13,6,1,20
182,13,6,1,20
183,13,7,0,20
184,13,7,0,20
185,13,7,0,20
186,13,7,0,20
187,13,8,0,19
188,13,8,0,19
189,13,7,0,20
190,13,7,0,20
191,12,8,0,20
192,12,8,0,20
193,13,8,0,19
194,13,7,0,20
195,14,6,0,20
196,15,6,0,19
197,16,6,0,18
198,16,6,0,18
199,15,6,0,19
200,16,5,0,19
201,17,5,0,18
202,17,4,0,19
203,17,4,0,19
204,17,3,0,20
205,18,3,0,19
206,18,3,1,18
207,18,3,1,18
208,19,3,1,17
209,19,3,1,17
210,19,3,1,17
211,18,3,1,18
212,17,4,1,18
213,17,4,2,17
214,16,5,2,17
215,16,5,2,17
216,15,5,2,18
217,16,4,2,18
218,16,4,2,18
219,16,4,2,18
220,16,4,2,18
221,16,5,2,17
222,15,6,2,17
223,14,6,2,18
224,14,6,2,18
225,13,6,3,18
226,13,6,3,18
227,13,6,3,18
228,13,6,3,18
229,13,7,3,17
230,14,6,3,17
231,15,6,3,16
232,15,6,3,16
233,14,7,3,16
234,15,7,3,15
235,15,8,2,15
236,14,8,2,16
237,15,8,1,16
238,15,8,1,16
239,14,8,1,17
240,14,8,0,18
241,14,8,0,18
242,14,8,0,18
243,14,8,1,17
244,14,8,1,17
245,14,8,1,17
246,14,9,1,16
247,15,8,1,16
248,16,7,1,16
249,16,7,1,16
250,15,7,2,16
251,15,7,2,16
252,16,7,2,15
253,16,7,2,15
254,16,6,2,16
255,17,5,2,16
256,17,5,2,16
257,17,6,2,15
258,17,6,3,14
259,17,6,3,14
260,18,6,2,14
261,19,6,2,13
262,19,7,2,12
263,18,7,2,13
264,18,7,2,13
265,17,7,3,13
266,18,7,3,12
267,18,7,3,12
268,17,7,3,13
269,17,6,4,13
270,17,6,4,13
271,17,6,4,13
272,17,6,5,12
273,18,5,5,12
274,18,5,5,12
275,19,4,5,12
276,19,4,5,12
277,18,4,5,13
278,17,4,5,14
279,17,4,5,14
280,18,4,5,13
281,17,4,5,14
282,18,4,4,14
283,18,3,5,14
284,18,3,5,14
285,19,3,5,13
286,19,4,5,12
287,19,4,5,12
288,18,4,5,13
289,18,4,5,13
290,17,5,5,13
291,17,4,5,14
292,18,4,4,14
293,17,4,4,15
294,17,5,3,15
295,16,5,4,15
296,16,5,4,15
297,16,4,4,16
298,16,4,4,16
299,16,4,4,16
300,15,5,4,16
301,15,5,3,17
302,15,5,3,17
303,16,5,3,16
304,15,5,3,17
305,14,6,3,17
306,13,6,3,18
307,12,6,3,19
308,13,5,3,19
309,13,5,3,19
310,14,5,3,18
311,15,5,2,18
312,14,6,2,18
313,15,6,2,17
314,15,7,2,16
315,15,7,2,16
316,15,7,2,16
317,15,7,3,15
318,15,7,3,15
319,15,7,3,15
320,15,8,3,14
321,15,8,3,14
322,16,8,3,13
323,17,8,3,12
324,16,8,3,13
325,16,9,3,12
326,16,9,3,12
327,16,9,3,12
328,15,9,3,13
329,15,9,3,13
330,16,9,3,12
331,17,8,3,12
332,17,9,3,11
333,17,10,3,10
334,16,10,3,11
335,16,10,3,11
336,16,10,4,10
337,17,9,4,10
338,17,9,4,10
339,16,9,4,11
340,16,10,4,10
341,15,10,4,11
342,14,11,4,11
343,14,12,4,10
344,14,13,4,9
345,14,13,4,9
346,14,12,5,9
347,15,12,4,9
348,14,12,4,10
349,14,12,4,10
350,14,12,4,10
351,14,11,4,11
352,15,10,4,11
353,14,10,5,11
354,14,10,5,11
355,14,9,5,12
356,14,10,5,11
357,14,10,5,11
358,14,11,5,10
359,13,12,5,10
360,12,12,5,11
361,12,12,5,11
362,13,12,5,10
363,13,12,4,11
364,13,12,4,11
365,13,12,4,11
366,13,13,4,10
367,13,14,4,9
368,13,14,4,9
369,13,13,4,10
370,13,14,4,9
371,13,14,4,9
372,12,15,4,9
373,12,15,4,9
374,11,15,4,10
375,11,15,4,10
376,12,14,4,10
377,12,15,4,9
378,12,15,4,9
379,12,15,4,9
380,13,15,3,9
381,13,15,3,9
382,13,15,3,9
383,14,15,2,9
384,13,15,2,10
385,14,14,2,10
386,15,13,2,10
387,15,13,2,10
388,14,13,2,11
389,14,13,2,11
390,14,13,1,12
391,15,12,1,12
392,15,12,1,12
393,16,12,1,11
394,15,13,1,11
395,14,14,1,11
396,13,15,1,11
397,13,15,1,11
398,13,15,1,11
399,14,14,1,11
400,15,14,1,10
401,15,15,1,9
402,15,14,1,10
403,16,13,1,10
404,16,13,1,10
405,16,13,1,10
406,16,13,1,10
407,16,13,1,10
408,16,13,2,9
409,17,12,2,9
410,18,11,2,9
411,18,11,2,9
412,17,11,3,9
413,16,11,3,10
414,17,10,3,10
415,18,10,2,10
416,18,10,2,10
417,19,10,2,9
418,19,10,2,9
419,18,11,2,9
420,18,12,2,8
421,18,12,2,8
422,18,13,2,7
423,18,13,2,7
424,18,13,2,7
425,18,13,2,7
426,18,13,2,7
427,18,13,2,7
428,19,12,2,7
429,20,12,2,6
430,20,13,2,5
431,21,12,2,5
432,21,11,2,6
433,21,11,2,6
434,21,11,2,6
435,20,11,2,7
436,21,11,2,6
437,20,12,2,6
438,20,13,2,5
439,20,13,2,5
440,20,13,2,5
441,20,13,2,5
442,20,13,2,5
443,19,13,3,5
444,19,14,2,5
445,20,13,2,5
446,19,14,2,5
447,19,13,2,6
448,19,14,2,5
449,18,14,3,5
450,17,14,3,6
451,18,13,3,6
452,18,13,3,6
453,19,13,3,5
454,19,14,3,4
455,19,14,3,4
456,20,13,3,4
