,GTFT: 0.33,Defector,Tit For Tat,Cooperator
0,10,10,10,10
1,10,9,11,10
2,10,10,11,9
3,9,10,12,9
4,9,10,13,8
5,9,9,13,9
6,10,8,13,9
7,10,9,12,9
8,9,9,12,10
9,9,9,12,10
10,10,9,12,9
11,11,8,12,9
12,10,9,12,9
13,11,9,12,8
14,11,10,12,7
15,10,11,12,7
16,10,11,12,7
17,9,12,12,7
18,9,12,12,7
19,9,12,11,8
20,8,13,11,8
21,8,13,11,8
22,8,13,10,9
23,8,13,9,10
24,8,13,9,10
25,8,13,9,10
26,8,12,9,11
27,8,12,9,11
28,7,12,10,11
29,6,12,10,12
30,5,12,10,13
31,5,12,10,13
32,5,11,11,13
33,5,11,12,12
34,5,10,12,13
35,6,10,12,12
36,6,10,13,11
37,6,10,13,11
38,6,9,13,12
39,6,9,13,12
40,5,9,13,13
41,4,10,13,13
42,4,10,13,13
43,4,10,12,14
44,4,10,12,14
45,4,10,12,14
46,4,10,13,13
47,5,10,13,12
48,4,11,13,12
49,4,10,13,13
50,3,10,14,13
51,3,9,15,13
52,3,9,16,12
53,3,9,15,13
54,3,10,15,12
55,3,9,15,13
56,3,9,14,14
57,4,9,14,13
58,5,9,14,12
59,5,8,14,13
60,5,8,14,13
61,5,8,14,13
62,5,8,14,13
63,5,9,13,13
64,5,9,13,13
65,5,9,13,13
66,5,9,12,14
67,5,10,11,14
68,6,9,11,14
69,6,9,11,14
70,6,9,10,15
71,6,10,10,14
72,6,11,10,13
73,6,11,9,14
74,6,11,9,14
75,6,10,9,15
76,5,11,9,15
77,5,12,9,14
78,5,12,9,14
79,6,12,9,13
80,6,12,9,13
81,6,12,9,13
82,6,13,8,13
83,7,13,8,12
84,7,13,7,13
85,7,13,7,13
86,6,13,8,13
87,6,13,8,13
88,7,13,8,12
89,7,12,9,12
90,7,12,9,12
91,7,12,9,12
92,7,12,9,12
93,7,12,9,12
94,8,12,8,12
95,8,12,8,12
96,7,13,8,12
97,7,14,8,11
98,7,14,8,11
99,7,14,8,11
100,7,14,9,10
101,7,14,9,10
102,7,13,10,10
103,8,12,10,10
104,8,13,9,10
105,8,13,9,10
106,8,13,8,11
107,8,13,8,11
108,8,13,8,11
109,7,13,9,11
110,7,12,9,12
111,8,12,8,12
112,7,13,8,12
113,7,13,9,11
114,7,13,8,12
115,7,14,8,11
116,7,14,8,11
117,7,14,8,11
118,7,14,8,11
119,7,13,8,12
120,7,13,7,13
121,7,13,8,12
122,7,14,7,12
123,8,14,7,11
124,8,14,8,10
125,8,14,8,10
126,8,14,7,11
127,8,13,7,12
128,8,14,6,12
129,7,14,6,13
130,7,14,6,13
131,7,14,5,14
132,8,13,5,14
133,8,12,6,14
134,8,12,6,14
135,8,13,6,13
136,8,12,6,14
137,8,12,7,13
138,8,13,7,12
139,8,13,7,12
140,8,13,7,12
141,8,12,8,12
142,9,12,8,11
143,8,12,8,12
144,7,12,9,12
145,7,12,9,12
146,8,12,9,11
147,8,12,9,11
148,8,12,9,11
149,8,12,8,12
150,7,12,8,13
151,6,12,8,14
152,6,12,9,13
153,5,12,9,14
154,5,12,9,14
155,5,13,9,13
156,6,12,9,13
157,6,12,9,13
158,5,13,9,13
159,4,13,9,14
160,4,13,9,14
161,4,14,9,13
162,4,14,10,12
163,4,13,11,12
164,4,13,11,12
165,4,13,11,12
166,4,12,11,13
167,4,12,12,12
168,4,13,12,11
169,4,13,12,11
170,4,14,12,10
171,4,14,11,11
172,4,13,12,11
173,4,13,12,11
174,4,13,13,10
175,5,12,13,10
176,5,13,13,9
177,5,13,12,10
178,5,13,12,10
179,5,12,12,11
180,5,12,12,11
181,5,13,11,11
182,4,13,11,12
183,4,14,10,12
184,4,14,11,11
185,4,14,11,11
186,3,15,11,11
187,3,15,11,11
188,3,14,12,11
189,3,15,12,10
190,3,15,12,10
191,3,15,11,11
192,3,16,11,10
193,4,16,11,9
194,4,16,11,9
195,4,16,12,8
196,4,15,13,8
197,4,15,13,8
198,4,15,13,8
199,3,16,13,8
200,4,15,13,8
201,5,14,13,8
202,5,14,13,8
203,5,14,13,8
204,5,14,13,8
205,5,15,12,8
206,6,15,12,7
207,6,15,12,7
208,6,14,13,7
209,7,14,12,7
210,7,13,13,7
211,7,14,12,7
212,7,14,12,7
213,7,13,13,7
214,7,13,13,7
215,7,13,13,7
216,7,14,12,7
217,7,15,12,6
218,7,16,12,5
219,7,16,12,5
220,7,15,13,5
221,7,15,13,5
222,7,15,13,5
223,7,16,12,5
224,7,16,13,4
225,8,16,12,4
226,8,16,12,4
227,8,16,12,4
228,9,16,11,4
229,9,16,11,4
230,9,17,11,3
231,9,16,12,3
232,8,17,12,3
233,7,18,12,3
234,7,18,13,2
235,6,19,13,2
236,6,18,13,3
237,5,18,14,3
238,5,18,14,3
239,5,18,14,3
240,5,18,13,4
241,4,18,13,5
242,4,18,13,5
243,5,18,13,4
244,5,19,12,4
245,5,19,11,5
246,5,20,11,4
247,4,21,11,4
248,4,21,11,4
249,4,21,11,4
250,5,21,10,4
251,4,22,10,4
252,4,21,11,4
253,4,21,11,4
254,4,21,12,3
255,4,20,13,3
256,4,21,12,3
257,5,20,12,3
258,6,19,12,3
259,6,19,12,3
260,5,20,12,3
261,5,21,11,3
262,5,21,11,3
263,5,20,11,4
264,5,20,11,4
265,5,19,11,5
266,5,20,10,5
267,5,20,10,5
268,4,21,10,5
269,4,21,10,5
270,4,21,10,5
271,4,20,11,5
272,4,19,12,5
273,4,18,13,5
274,4,17,14,5
275,4,16,15,5
276,4,15,16,5
277,4,15,15,6
278,4,16,14,6
279,4,16,14,6
280,4,16,14,6
281,4,16,13,7
282,4,17,13,6
283,4,16,14,6
284,3,16,15,6
285,3,17,15,5
286,3,18,15,4
287,3,17,16,4
288,3,17,15,5
289,3,16,16,5
290,3,16,15,6
291,3,17,15,5
292,3,17,15,5
293,3,16,16,5
294,2,17,16,5
295,3,17,15,5
296,3,18,14,5
297,3,18,14,5
298,3,19,13,5
299,3,19,13,5
300,3,19,13,5
301,3,20,12,5
302,3,21,11,5
303,3,20,12,5
304,3,21,11,5
305,3,22,10,5
306,3,23,9,5
307,3,24,8,5
308,3,24,8,5
309,3,24,8,5
310,3,24,8,5
311,2,25,8,5
312,2,25,7,6
313,2,26,7,5
314,2,26,7,5
315,2,27,6,5
316,2,27,6,5
317,3,27,6,4
318,3,27,6,4
319,3,26,7,4
320,3,26,7,4
321,3,25,7,5
322,3,25,7,5
323,3,25,7,5
324,4,24,7,5
325,4,24,7,5
326,5,23,7,5
327,5,24,6,5
328,5,24,6,5
329,5,24,6,5
330,5,24,6,5
331,5,23,6,6
332,5,22,6,7
333,6,22,6,6
334,6,23,6,5
335,6,22,6,6
336,7,21,6,6
337,8,20,6,6
338,8,19,6,7
339,8,19,6,7
340,8,19,6,7
341,8,19,6,7
342,8,19,5,8
343,8,18,5,9
344,8,18,5,9
345,9,18,4,9
346,9,18,4,9
347,8,18,4,10
348,8,18,3,11
349,8,17,4,11
350,9,16,4,11
351,9,15,4,12
352,9,16,4,11
353,9,15,5,11
354,9,15,5,11
355,10,15,5,10
356,10,15,5,10
357,10,15,6,9
358,11,15,6,8
359,12,15,5,8
360,12,15,5,8
361,12,15,5,8
362,12,16,5,7
363,11,17,5,7
364,11,17,5,7
365,10,17,6,7
366,10,16,6,8
367,10,15,6,9
368,10,16,6,8
369,10,16,6,8
370,9,16,6,9
371,10,15,6,9
372,11,14,6,9
373,12,14,6,8
374,12,13,6,9
375,12,13,6,9
376,12,14,6,8
377,12,14,7,7
378,12,14,7,7
379,12,15,7,6
380,11,16,7,6
381,10,16,8,6
382,9,16,9,6
383,9,17,8,6
384,9,18,7,6
385,9,19,6,6
386,9,20,5,6
387,9,20,4,7
388,9,20,4,7
389,9,21,4,6
390,8,22,4,6
391,7,23,4,6
392,7,23,4,6
393,7,23,4,6
394,7,23,4,6
395,7,23,4,6
396,7,22,5,6
397,7,22,5,6
398,7,22,5,6
399,6,23,5,6
400,6,24,5,5
401,6,24,5,5
402,6,23,5,6
403,6,23,5,6
404,5,24,5,6
405,5,24,5,6
406,5,24,5,6
407,5,25,5,5
408,5,24,6,5
409,5,25,6,4
410,6,25,5,4
411,6,25,5,4
412,7,24,5,4
413,7,24,5,4
414,7,24,5,4
415,7,25,4,4
416,7,25,4,4
417,7,25,4,4
418,7,24,4,5
419,7,24,4,5
420,7,24,4,5
421,7,25,3,5
422,7,25,3,5
423,7,26,2,5
424,6,27,2,5
425,6,26,2,6
426,7,25,2,6
427,7,25,2,6
428,8,25,1,6
429,9,25,1,5
430,9,26,1,4
431,9,26,1,4
432,9,26,1,4
433,9,26,1,4
434,9,26,1,4
435,9,25,1,5
436,9,25,1,5
437,9,25,1,5
438,9,26,1,4
439,9,26,1,4
440,9,26,1,4
441,9,26,1,4
442,8,27,1,4
443,8,26,2,4
444,8,27,1,4
445,7,28,1,4
446,6,29,1,4
447,6,29,1,4
448,6,30,1,3
449,7,29,1,3
450,7,29,1,3
451,7,29,1,3
452,7,29,1,3
453,7,29,2,2
454,7,29,2,2
455,7,29,2,2
456,7,28,3,2
