,Tit For Tat,Defector,Cooperator,Win-Stay Lose-Shift,GTFT: 0.33
0,10,10,10,10,10
1,10,10,11,9,10
2,10,10,11,9,10
3,10,10,12,9,9
4,11,10,12,9,8
5,10,11,12,9,8
6,9,11,12,9,9
7,9,11,12,9,9
8,9,10,12,9,10
9,9,10,12,9,10
10,9,10,12,9,10
11,9,10,12,9,10
12,8,10,12,9,11
13,8,10,12,8,12
14,9,10,12,8,11
15,10,10,11,8,11
16,11,9,11,8,11
17,12,9,11,8,10
18,13,9,10,8,10
19,13,10,10,8,9
20,12,10,11,8,9
21,12,10,10,9,9
22,12,10,11,9,8
23,11,10,11,9,9
24,11,10,11,9,9
25,11,10,11,9,9
26,11,10,11,9,9
27,12,10,11,9,8
28,12,10,11,8,9
29,12,10,10,8,10
30,11,10,10,9,10
31,12,10,10,9,9
32,13,10,10,9,8
33,13,10,9,10,8
34,14,10,9,9,8
35,14,10,9,9,8
36,14,11,9,8,8
37,15,11,8,8,8
38,14,11,9,8,8
39,13,12,9,8,8
40,13,12,9,8,8
41,13,12,9,8,8
42,13,12,9,7,9
43,13,13,8,7,9
44,13,14,8,7,8
45,13,14,8,7,8
46,12,14,8,8,8
47,12,13,8,9,8
48,13,13,8,8,8
49,14,13,8,7,8
50,14,13,8,7,8
