,GTFT: 0.33,Defector,Tit For Tat,Cooperator
0,10,10,10,10
1,11,10,9,10
2,11,11,9,9
3,12,11,9,8
4,11,11,10,8
5,11,12,10,7
6,11,13,9,7
7,11,13,9,7
8,11,14,9,6
9,11,13,9,7
10,12,13,8,7
11,11,13,8,8
12,10,13,9,8
13,9,13,9,9
14,9,13,9,9
15,9,14,9,8
16,8,14,10,8
17,8,13,11,8
18,8,12,12,8
19,8,13,11,8
20,8,14,11,7
21,8,14,12,6
22,8,14,12,6
23,7,15,12,6
24,8,15,12,5
25,8,15,12,5
26,8,14,13,5
27,8,14,13,5
28,7,15,13,5
29,6,16,13,5
30,6,16,13,5
31,6,16,14,4
32,6,17,13,4
33,6,16,14,4
34,6,16,14,4
35,6,16,14,4
36,6,17,13,4
37,5,18,13,4
38,5,18,14,3
39,5,18,13,4
40,5,17,14,4
41,5,18,13,4
42,5,18,13,4
43,5,18,13,4
44,5,19,13,3
45,6,18,13,3
46,7,18,12,3
47,7,18,12,3
48,7,17,13,3
49,7,17,13,3
50,8,17,12,3
51,8,18,11,3
52,9,17,11,3
53,10,17,11,2
54,10,17,11,2
55,10,16,11,3
56,10,17,10,3
57,10,18,9,3
58,10,17,9,4
59,11,17,8,4
60,11,16,9,4
61,10,16,10,4
62,9,16,11,4
63,9,16,11,4
64,9,16,10,5
65,9,16,10,5
66,9,16,11,4
67,9,16,11,4
68,9,16,11,4
69,8,17,11,4
70,8,17,11,4
71,9,16,11,4
72,9,15,12,4
73,10,14,12,4
74,9,15,12,4
75,9,14,12,5
76,8,15,12,5
77,8,15,13,4
78,8,14,14,4
79,8,13,14,5
80,8,13,13,6
81,9,12,13,6
82,9,11,14,6
83,10,11,14,5
84,10,11,14,5
85,11,11,13,5
86,11,10,14,5
87,11,9,14,6
88,11,9,15,5
89,10,10,15,5
90,11,10,14,5
91,12,9,14,5
92,11,10,14,5
93,10,10,15,5
94,10,10,15,5
95,10,10,15,5
96,9,10,16,5
97,9,9,17,5
98,10,9,16,5
99,11,8,16,5
100,11,9,15,5
101,11,10,14,5
