,GTFT: 0.33,Defector,Tit For Tat,Cooperator
0,10,10,10,10
1,11,10,9,10
2,11,11,9,9
3,12,11,9,8
4,11,11,10,8
5,11,12,10,7
6,11,13,9,7
7,11,13,9,7
8,11,14,9,6
9,11,14,9,6
10,12,14,8,6
11,11,14,8,7
12,11,14,8,7
13,10,14,8,8
14,10,14,8,8
15,10,15,8,7
16,9,15,9,7
17,9,14,10,7
18,10,13,10,7
19,11,13,9,7
20,11,13,10,6
21,11,13,11,5
22,11,13,11,5
23,11,13,11,5
24,11,13,12,4
25,11,13,12,4
26,12,12,12,4
27,12,12,12,4
28,11,13,12,4
29,10,13,13,4
30,10,13,13,4
31,11,13,13,3
32,11,13,13,3
33,11,12,14,3
34,11,12,14,3
35,11,12,14,3
36,11,12,14,3
37,10,13,14,3
38,11,13,14,2
39,11,14,13,2
40,11,13,14,2
41,10,14,14,2
42,9,14,15,2
43,9,13,15,3
44,9,13,15,3
45,9,14,14,3
46,8,14,15,3
47,8,14,15,3
48,7,14,15,4
49,7,15,14,4
50,8,15,13,4
51,8,16,12,4
52,8,16,13,3
53,8,16,14,2
54,8,15,15,2
55,8,15,15,2
56,7,15,16,2
57,7,15,16,2
58,7,15,16,2
59,7,15,16,2
60,7,15,16,2
61,7,15,16,2
62,7,15,16,2
63,8,15,15,2
64,8,16,15,1
65,8,16,15,1
66,9,15,15,1
67,9,15,15,1
68,9,16,14,1
69,8,17,14,1
70,8,18,13,1
71,8,17,14,1
72,9,17,13,1
73,10,16,13,1
74,9,16,14,1
75,9,15,15,1
76,8,15,16,1
77,8,14,17,1
78,8,13,18,1
79,8,12,18,2
80,8,12,18,2
81,9,12,17,2
82,9,11,18,2
83,9,10,18,3
84,9,10,18,3
85,9,10,17,4
86,9,10,17,4
87,9,10,17,4
88,9,11,17,3
89,8,12,17,3
90,8,13,16,3
91,8,12,16,4
92,8,12,16,4
93,7,12,17,4
94,7,12,17,4
95,7,11,18,4
96,7,11,18,4
97,7,11,18,4
98,8,11,17,4
99,8,11,17,4
100,9,10,17,4
101,9,10,17,4
