,GTFT: 0.33,Defector,Tit For Tat,Cooperator
0,10,10,10,10
1,11,10,9,10
2,11,11,9,9
3,12,11,9,8
4,11,11,9,9
5,11,12,9,8
6,11,13,8,8
7,10,14,8,8
8,10,15,8,7
9,10,14,8,8
10,11,14,7,8
11,10,14,7,9
12,9,14,8,9
13,8,14,8,10
14,8,14,8,10
15,9,14,8,9
16,8,14,8,10
17,8,13,9,10
18,8,12,10,10
19,8,13,9,10
20,8,13,9,10
21,8,13,10,9
22,8,13,10,9
23,7,14,10,9
24,7,14,11,8
25,7,14,11,8
26,8,13,11,8
27,8,13,11,8
28,7,14,11,8
29,6,14,11,9
30,6,14,11,9
31,6,14,11,9
32,6,15,10,9
33,5,15,11,9
34,5,14,12,9
35,4,15,12,9
36,4,15,11,10
37,3,16,11,10
38,3,16,12,9
39,3,17,12,8
40,3,16,12,9
41,2,17,12,9
42,2,16,12,10
43,2,16,12,10
44,2,16,12,10
45,3,16,12,9
46,3,16,11,10
47,3,16,11,10
48,3,16,11,10
49,3,16,11,10
50,3,17,10,10
51,3,18,9,10
52,4,18,8,10
53,4,18,8,10
54,4,17,8,11
55,4,17,8,11
56,4,17,8,11
57,4,17,7,12
58,4,17,7,12
59,5,17,6,12
60,5,17,6,12
61,5,17,6,12
62,5,17,6,12
63,4,18,6,12
64,4,17,7,12
65,4,17,7,12
66,5,16,7,12
67,5,16,7,12
68,4,16,7,13
69,3,17,7,13
70,3,17,7,13
71,4,16,7,13
72,4,17,7,12
73,4,17,7,12
74,4,17,7,12
75,4,17,7,12
76,3,18,7,12
77,3,18,8,11
78,3,17,8,12
79,3,18,8,11
80,3,19,7,11
81,4,19,7,10
82,4,18,7,11
83,4,19,6,11
84,4,19,6,11
85,4,19,6,11
86,4,18,7,11
87,4,19,7,10
88,4,20,7,9
89,5,19,7,9
90,5,20,6,9
91,5,20,6,9
92,5,20,6,9
93,4,21,6,9
94,4,22,6,8
95,4,22,6,8
96,3,22,6,9
97,3,21,7,9
98,3,21,7,9
99,3,20,7,10
100,3,21,6,10
101,3,22,5,10
