,GTFT: 0.33,Defector,Tit For Tat,Cooperator
0,10,10,10,10
1,11,9,10,10
2,11,9,10,10
3,10,10,10,10
4,11,10,10,9
5,11,10,10,9
6,11,11,9,9
7,11,12,8,9
8,11,11,8,10
9,11,11,8,10
10,11,11,8,10
11,12,11,8,9
12,12,11,8,9
13,13,11,7,9
14,13,11,7,9
15,13,12,6,9
16,12,12,7,9
17,12,12,8,8
18,13,12,7,8
19,13,12,7,8
20,14,12,6,8
21,14,12,6,8
22,15,11,6,8
23,15,10,6,9
24,14,11,6,9
25,14,11,6,9
26,14,10,6,10
27,13,10,7,10
28,13,10,7,10
29,13,11,7,9
30,13,12,7,8
31,12,12,7,9
32,12,12,8,8
33,11,12,9,8
34,10,12,10,8
35,11,12,9,8
36,11,13,9,7
37,11,13,9,7
38,11,13,9,7
39,10,13,10,7
40,11,12,10,7
41,11,11,10,8
42,11,11,10,8
43,10,11,11,8
44,10,12,10,8
45,10,12,10,8
46,11,11,10,8
47,12,11,9,8
48,12,11,9,8
49,12,11,10,7
50,12,11,11,6
51,12,11,11,6
52,11,12,11,6
53,11,12,11,6
54,10,12,12,6
55,10,12,12,6
56,11,11,12,6
57,11,11,12,6
58,10,11,12,7
59,9,11,13,7
60,8,11,14,7
61,8,12,13,7
62,8,13,13,6
63,8,12,14,6
64,8,13,14,5
65,7,14,14,5
66,7,14,14,5
67,7,14,14,5
68,6,14,15,5
69,7,14,15,4
70,7,15,14,4
71,7,14,15,4
72,7,15,15,3
73,6,15,15,4
74,6,14,16,4
75,6,14,16,4
76,6,14,16,4
77,7,14,15,4
78,7,15,14,4
79,7,15,14,4
80,7,14,15,4
81,8,14,14,4
82,8,13,15,4
83,8,12,16,4
84,7,13,16,4
85,7,13,16,4
86,7,13,17,3
87,7,14,17,2
88,7,14,17,2
89,7,14,16,3
90,7,14,15,4
91,7,15,14,4
92,7,14,15,4
93,6,14,16,4
94,7,13,16,4
95,7,13,16,4
96,8,12,16,4
97,8,11,17,4
98,8,12,16,4
99,8,12,16,4
100,9,11,16,4
101,9,11,16,4
102,9,10,17,4
103,9,9,18,4
104,10,8,18,4
105,10,8,18,4
106,10,7,18,5
107,10,7,18,5
108,9,7,18,6
109,8,7,19,6
110,8,7,19,6
111,8,7,20,5
112,9,7,19,5
113,9,7,19,5
114,8,8,19,5
115,8,8,19,5
116,8,8,18,6
117,8,9,17,6
118,8,10,16,6
119,8,10,16,6
120,8,10,16,6
121,9,10,15,6
122,9,11,15,5
123,9,11,15,5
124,10,11,14,5
125,9,11,14,6
126,9,12,13,6
127,9,11,14,6
128,9,11,14,6
129,10,10,14,6
130,10,11,14,5
131,10,12,13,5
132,10,11,13,6
133,10,11,13,6
134,10,10,14,6
135,9,10,15,6
136,9,9,16,6
137,9,9,16,6
138,9,10,15,6
139,9,9,16,6
140,9,9,16,6
141,9,9,16,6
142,9,10,15,6
143,9,9,16,6
144,9,8,16,7
