,GTFT: 0.33,Cooperator,Tit For Tat,Defector
0,10,10,10,10
1,10,10,10,10
2,10,10,11,9
3,10,10,11,9
4,10,10,10,10
5,10,10,10,10
6,10,11,9,10
7,9,11,10,10
8,9,11,9,11
9,9,12,9,10
10,9,12,9,10
11,9,11,9,11
12,10,11,9,10
13,9,11,10,10
14,9,10,10,11
15,9,10,10,11
16,8,10,10,12
17,8,9,11,12
18,8,10,11,11
19,8,9,12,11
20,8,9,11,12
21,7,9,12,12
22,6,9,12,13
23,6,9,12,13
24,6,8,12,14
25,5,9,12,14
26,6,9,12,13
27,6,9,12,13
28,6,9,11,14
29,6,9,11,14
30,6,9,12,13
31,5,10,12,13
32,5,10,12,13
33,5,11,11,13
34,5,12,10,13
35,5,13,10,12
36,5,14,9,12
37,5,15,9,11
38,5,16,9,10
39,5,15,10,10
40,5,15,10,10
41,6,15,9,10
42,7,14,9,10
43,7,15,9,9
44,7,14,9,10
45,6,14,10,10
46,6,14,10,10
47,6,13,11,10
48,6,13,11,10
49,6,13,11,10
50,6,13,12,9
51,5,13,13,9
52,5,13,13,9
53,5,13,12,10
54,5,12,13,10
55,5,12,13,10
56,5,12,13,10
57,6,11,13,10
58,6,11,14,9
59,6,10,15,9
60,6,11,15,8
61,6,12,14,8
62,6,12,14,8
63,6,12,14,8
64,7,12,14,7
65,6,12,15,7
66,6,13,15,6
67,6,12,16,6
68,7,11,16,6
69,7,11,16,6
70,7,12,16,5
71,7,12,17,4
72,6,13,17,4
73,6,14,16,4
74,7,14,15,4
75,7,14,15,4
76,7,13,16,4
77,7,13,16,4
78,6,14,16,4
79,6,13,17,4
80,6,12,18,4
81,6,12,18,4
82,6,11,19,4
83,6,11,19,4
84,6,11,19,4
85,6,10,19,5
86,6,10,19,5
87,6,9,20,5
88,6,8,21,5
89,6,7,22,5
90,6,7,21,6
91,5,7,22,6
92,5,7,21,7
93,5,8,21,6
94,4,9,21,6
95,4,9,21,6
96,4,10,20,6
97,5,10,19,6
98,5,9,20,6
99,5,9,20,6
100,5,9,20,6
101,6,9,19,6
102,6,9,19,6
103,6,9,20,5
104,6,8,21,5
105,6,8,21,5
106,6,9,20,5
107,6,10,20,4
108,7,10,19,4
109,7,10,19,4
110,7,9,20,4
111,7,8,21,4
112,8,8,20,4
113,8,8,20,4
114,8,8,20,4
115,8,8,20,4
116,8,8,20,4
117,8,8,20,4
118,7,8,21,4
119,8,8,20,4
120,9,8,20,3
121,9,8,20,3
122,9,8,20,3
123,9,9,19,3
124,9,8,20,3
125,9,9,19,3
126,8,9,20,3
127,8,10,19,3
128,8,9,20,3
129,9,9,19,3
130,9,9,19,3
131,9,9,19,3
132,9,9,19,3
133,9,9,19,3
134,8,9,20,3
135,8,9,20,3
136,8,9,20,3
137,8,9,20,3
138,8,10,20,2
139,8,11,19,2
140,8,12,18,2
141,8,12,19,1
142,8,12,19,1
143,7,12,20,1
144,7,12,20,1
145,7,12,20,1
146,7,12,20,1
147,7,12,20,1
148,7,11,21,1
149,7,11,21,1
150,8,10,21,1
151,8,9,22,1
152,8,9,22,1
153,9,9,21,1
154,9,9,21,1
155,9,10,20,1
156,9,10,20,1
157,9,10,20,1
158,9,10,19,2
159,9,10,19,2
160,9,10,19,2
161,9,9,20,2
162,9,9,20,2
163,9,9,20,2
164,9,9,20,2
165,9,8,21,2
166,8,8,22,2
167,8,8,21,3
168,8,7,22,3
169,8,7,22,3
170,8,7,22,3
171,7,7,22,4
172,7,7,22,4
173,7,8,21,4
174,7,8,22,3
175,7,8,22,3
176,7,8,22,3
177,7,7,23,3
178,7,7,23,3
179,7,8,23,2
180,8,8,22,2
181,8,8,22,2
182,9,8,21,2
183,8,8,21,3
184,8,9,20,3
185,8,10,19,3
186,8,10,19,3
187,7,11,19,3
188,7,12,19,2
189,7,12,19,2
190,7,12,19,2
191,7,12,19,2
192,8,12,18,2
193,8,13,18,1
194,8,13,18,1
195,8,12,19,1
196,8,12,19,1
197,7,13,19,1
198,7,14,18,1
199,7,15,17,1
200,7,14,18,1
201,7,14,18,1
202,6,14,19,1
203,6,14,18,2
204,5,14,19,2
205,5,14,19,2
206,5,14,19,2
207,6,13,19,2
208,6,13,19,2
209,6,13,19,2
210,6,13,19,2
211,6,14,18,2
212,6,15,17,2
213,6,14,18,2
214,6,13,19,2
215,6,13,19,2
216,7,12,19,2
217,7,12,18,3
218,7,13,18,2
219,8,13,17,2
220,8,13,17,2
221,8,13,17,2
222,8,12,18,2
223,8,11,19,2
224,8,12,18,2
225,8,11,19,2
226,8,11,19,2
227,8,11,19,2
228,8,10,20,2
229,8,9,21,2
230,9,9,21,1
231,9,9,21,1
232,9,8,21,2
233,10,8,20,2
234,9,8,21,2
235,9,8,21,2
236,9,7,22,2
237,8,7,23,2
238,8,6,24,2
239,8,5,25,2
240,8,5,25,2
241,8,5,25,2
242,8,5,25,2
243,8,5,25,2
244,8,4,26,2
245,8,5,25,2
246,8,5,25,2
247,7,5,26,2
248,7,6,25,2
249,7,6,25,2
250,7,5,26,2
251,8,5,25,2
252,9,5,24,2
253,9,6,23,2
254,9,6,23,2
255,9,7,22,2
256,9,8,22,1
257,9,8,22,1
258,8,8,22,2
259,9,8,21,2
260,9,8,21,2
261,9,8,21,2
262,10,8,20,2
263,10,8,20,2
264,10,7,21,2
265,10,7,21,2
266,10,7,21,2
267,11,7,20,2
268,12,7,19,2
269,12,8,18,2
270,12,8,18,2
271,12,7,19,2
272,11,7,20,2
273,10,7,21,2
274,11,7,20,2
275,11,8,19,2
276,11,7,20,2
277,11,7,20,2
278,11,7,20,2
279,11,7,20,2
280,12,7,19,2
281,13,7,18,2
282,12,7,19,2
283,12,7,19,2
284,12,7,19,2
285,12,6,19,3
286,12,6,19,3
287,12,6,19,3
288,11,6,20,3
289,11,6,21,2
290,11,5,22,2
291,12,5,21,2
292,13,4,21,2
293,14,4,20,2
294,14,4,20,2
295,14,4,20,2
296,13,4,21,2
297,14,3,21,2
298,13,3,22,2
299,14,3,21,2
300,13,3,22,2
301,12,3,23,2
302,13,3,22,2
303,13,2,23,2
304,12,2,24,2
305,13,2,23,2
306,14,2,23,1
307,14,2,23,1
308,15,1,23,1
309,15,1,22,2
310,16,1,22,1
311,16,1,22,1
312,15,1,23,1
313,14,1,24,1
314,14,1,24,1
315,14,2,23,1
316,14,2,23,1
317,14,2,23,1
318,15,2,22,1
319,16,2,21,1
320,15,2,22,1
321,15,1,23,1
322,16,0,23,1
