,player_id,player_strategy,mass,independence,ratio
0,1,GTFT: 0.33,0.75,1,0.75
1,2,Defector,0.75,1,0.75
2,3,Defector,0.75,1,0.75
3,4,Defector,2.0,1,2.0
4,5,Tit For Tat,0.75,1,0.75
5,6,Defector,0.75,1,0.75
6,7,Cooperator,0.75,1,0.75
7,8,Cooperator,2.0,1,2.0
8,9,GTFT: 0.33,0.75,1,0.75
9,10,Cooperator,0.75,1,0.75
10,11,Defector,0.75,1,0.75
11,12,Tit For Tat,0.75,1,0.75
12,13,GTFT: 0.33,0.75,1,0.75
13,14,Tit For Tat,2.0,1,2.0
14,15,Defector,0.75,1,0.75
15,16,Cooperator,0.75,1,0.75
16,17,Defector,0.75,1,0.75
17,18,Defector,0.75,1,0.75
18,19,Cooperator,0.75,1,0.75
19,20,Tit For Tat,0.75,1,0.75
20,21,GTFT: 0.33,0.75,1,0.75
21,22,Cooperator,0.75,1,0.75
22,23,Defector,0.75,1,0.75
23,24,GTFT: 0.33,0.75,1,0.75
24,25,Tit For Tat,0.75,1,0.75
25,26,GTFT: 0.33,0.75,1,0.75
26,27,Tit For Tat,0.75,1,0.75
27,28,GTFT: 0.33,2.0,1,2.0
28,29,Defector,0.75,1,0.75
29,30,Cooperator,0.75,1,0.75
30,31,GTFT: 0.33,2.0,1,2.0
31,32,GTFT: 0.33,2.0,1,2.0
32,33,Tit For Tat,0.75,1,0.75
33,34,Cooperator,0.75,1,0.75
34,35,GTFT: 0.33,0.75,1,0.75
35,36,Tit For Tat,0.75,1,0.75
36,37,Cooperator,0.75,1,0.75
37,38,Cooperator,0.75,1,0.75
38,39,Tit For Tat,0.75,1,0.75
39,40,Tit For Tat,0.75,1,0.75
