,player_id,player_strategy,mass,independence,ratio
0,1,GTFT: 0.33,1,1,1
1,2,Defector,1,1,1
2,3,Defector,1,1,1
3,4,Defector,1,1,1
4,5,Tit For Tat,1,1,1
5,6,Defector,1,1,1
6,7,Cooperator,1,1,1
7,8,Cooperator,1,1,1
8,9,GTFT: 0.33,1,1,1
9,10,Cooperator,1,1,1
10,11,Defector,1,1,1
11,12,Tit For Tat,1,1,1
12,13,GTFT: 0.33,1,1,1
13,14,Tit For Tat,1,1,1
14,15,Defector,1,1,1
15,16,Cooperator,1,1,1
16,17,Defector,1,1,1
17,18,Defector,1,1,1
18,19,Cooperator,1,1,1
19,20,Tit For Tat,1,1,1
20,21,GTFT: 0.33,1,1,1
21,22,Cooperator,1,1,1
22,23,Defector,1,1,1
23,24,GTFT: 0.33,1,1,1
24,25,Tit For Tat,1,1,1
25,26,GTFT: 0.33,1,1,1
26,27,Tit For Tat,1,1,1
27,28,GTFT: 0.33,1,1,1
28,29,Defector,1,1,1
29,30,Cooperator,1,1,1
30,31,GTFT: 0.33,1,1,1
31,32,GTFT: 0.33,1,1,1
32,33,Tit For Tat,1,1,1
33,34,Cooperator,1,1,1
34,35,GTFT: 0.33,1,1,1
35,36,Tit For Tat,1,1,1
36,37,Cooperator,1,1,1
37,38,Cooperator,1,1,1
38,39,Tit For Tat,1,1,1
39,40,Tit For Tat,1,1,1
