,player_id,player_strategy,mass,independence,ratio
0,1,GTFT: 0.33,1,1,1
1,2,Cooperator,1,1,1
2,3,Cooperator,1,1,1
3,4,Tit For Tat,1,1,1
4,5,Cooperator,1,1,1
5,6,Tit For Tat,1,1,1
6,7,GTFT: 0.33,1,1,1
7,8,Cooperator,1,1,1
8,9,Cooperator,1,1,1
9,10,GTFT: 0.33,1,1,1
10,11,Defector,1,1,1
11,12,Tit For Tat,1,1,1
12,13,GTFT: 0.33,1,1,1
13,14,Defector,1,1,1
14,15,Tit For Tat,1,1,1
15,16,Defector,1,1,1
16,17,Defector,1,1,1
17,18,GTFT: 0.33,1,1,1
18,19,GTFT: 0.33,1,1,1
19,20,Cooperator,1,1,1
20,21,Cooperator,1,1,1
21,22,Defector,1,1,1
22,23,GTFT: 0.33,1,1,1
23,24,Defector,1,1,1
24,25,GTFT: 0.33,1,1,1
25,26,Tit For Tat,1,1,1
26,27,GTFT: 0.33,1,1,1
27,28,Tit For Tat,1,1,1
28,29,Cooperator,1,1,1
29,30,GTFT: 0.33,1,1,1
30,31,Tit For Tat,1,1,1
31,32,Defector,1,1,1
32,33,Defector,1,1,1
33,34,Cooperator,1,1,1
34,35,Tit For Tat,1,1,1
35,36,Cooperator,1,1,1
36,37,Tit For Tat,1,1,1
37,38,Defector,1,1,1
38,39,Defector,1,1,1
39,40,Tit For Tat,1,1,1
