,player_id,player_strategy,mass,independence,ratio
0,1,GTFT: 0.33,1,0.35,0.35
1,2,Defector,1,0.8,0.8
2,3,Defector,1,1.68,1.68
3,4,Defector,1,1.13,1.13
4,5,Tit For Tat,1,1.13,1.13
5,6,Defector,1,0.77,0.77
6,7,Cooperator,1,0.86,0.86
7,8,Cooperator,1,1.27,1.27
8,9,GTFT: 0.33,1,0.71,0.71
9,10,Cooperator,1,0.64,0.64
10,11,Defector,1,1.04,1.04
11,12,Tit For Tat,1,0.23,0.23
12,13,GTFT: 0.33,1,1.5,1.5
13,14,Tit For Tat,1,1.21,1.21
14,15,Defector,1,1.46,1.46
15,16,Cooperator,1,0.99,0.99
16,17,Defector,1,1.21,1.21
17,18,Defector,1,0.9,0.9
18,19,Cooperator,1,0.28,0.28
19,20,Tit For Tat,1,0.68,0.68
20,21,GTFT: 0.33,1,1.33,1.33
21,22,Cooperator,1,0.63,0.63
22,23,Defector,1,1.05,1.05
23,24,GTFT: 0.33,1,0.82,0.82
24,25,Tit For Tat,1,1.39,1.39
25,26,GTFT: 0.33,1,1.16,1.16
26,27,Tit For Tat,1,1.34,1.34
27,28,GTFT: 0.33,1,1.85,1.85
28,29,Defector,1,1.38,1.38
29,30,Cooperator,1,1.7,1.7
30,31,GTFT: 0.33,1,0.44,0.44
31,32,GTFT: 0.33,1,1.16,1.16
32,33,Tit For Tat,1,1.17,1.17
33,34,Cooperator,1,1.64,1.64
34,35,GTFT: 0.33,1,1.06,1.06
35,36,Tit For Tat,1,0.8,0.8
36,37,Cooperator,1,1.27,1.27
37,38,Cooperator,1,1.01,1.01
38,39,Tit For Tat,1,0.6,0.6
39,40,Tit For Tat,1,1.69,1.69
