,player_id,player_strategy,mass,independence,ratio
0,1,GTFT: 0.33,1,1.11,1.11
1,2,Defector,1,1.16,1.16
2,3,Defector,1,0.84,0.84
3,4,Defector,1,2.75,2.75
4,5,Tit For Tat,1,0.86,0.86
5,6,Defector,1,0.74,0.74
6,7,Cooperator,1,0.91,0.91
7,8,Cooperator,1,0.77,0.77
8,9,GTFT: 0.33,1,1.13,1.13
9,10,Cooperator,1,0.78,0.78
10,11,Defector,1,0.73,0.73
11,12,Tit For Tat,1,0.75,0.75
12,13,GTFT: 0.33,1,1.16,1.16
13,14,Tit For Tat,1,1.06,1.06
14,15,Defector,1,1.82,1.82
15,16,Cooperator,1,0.74,0.74
16,17,Defector,1,0.82,0.82
17,18,Defector,1,0.85,0.85
18,19,Cooperator,1,1.22,1.22
19,20,Tit For Tat,1,0.73,0.73
20,21,GTFT: 0.33,1,0.78,0.78
21,22,Cooperator,1,0.88,0.88
22,23,Defector,1,0.71,0.71
23,24,GTFT: 0.33,1,1.0,1.0
24,25,Tit For Tat,1,1.41,1.41
25,26,GTFT: 0.33,1,0.89,0.89
26,27,Tit For Tat,1,0.81,0.81
27,28,GTFT: 0.33,1,0.86,0.86
28,29,Defector,1,1.27,1.27
29,30,Cooperator,1,0.71,0.71
30,31,GTFT: 0.33,1,0.87,0.87
31,32,GTFT: 0.33,1,0.76,0.76
32,33,Tit For Tat,1,0.98,0.98
33,34,Cooperator,1,0.83,0.83
34,35,GTFT: 0.33,1,1.06,1.06
35,36,Tit For Tat,1,0.71,0.71
36,37,Cooperator,1,1.13,1.13
37,38,Cooperator,1,1.09,1.09
38,39,Tit For Tat,1,0.81,0.81
39,40,Tit For Tat,1,0.82,0.82
