,player_id,player_strategy,mass,independence,ratio
0,1,GTFT: 0.33,1,0.5,0.5
1,2,Defector,1,0.5,0.5
2,3,Defector,1,0.5,0.5
3,4,Defector,1,0.5,0.5
4,5,Tit For Tat,1,0.5,0.5
5,6,Defector,1,0.5,0.5
6,7,Cooperator,1,0.5,0.5
7,8,Cooperator,1,0.5,0.5
8,9,GTFT: 0.33,1,1.5,1.5
9,10,Cooperator,1,1.5,1.5
10,11,Defector,1,1.5,1.5
11,12,Tit For Tat,1,0.5,0.5
12,13,GTFT: 0.33,1,1.5,1.5
13,14,Tit For Tat,1,1.5,1.5
14,15,Defector,1,0.5,0.5
15,16,Cooperator,1,1.5,1.5
16,17,Defector,1,0.5,0.5
17,18,Defector,1,1.5,1.5
18,19,Cooperator,1,0.5,0.5
19,20,Tit For Tat,1,1.5,1.5
20,21,GTFT: 0.33,1,0.5,0.5
21,22,Cooperator,1,0.5,0.5
22,23,Defector,1,0.5,0.5
23,24,GTFT: 0.33,1,1.5,1.5
24,25,Tit For Tat,1,1.5,1.5
25,26,GTFT: 0.33,1,1.5,1.5
26,27,Tit For Tat,1,1.5,1.5
27,28,GTFT: 0.33,1,1.5,1.5
28,29,Defector,1,0.5,0.5
29,30,Cooperator,1,0.5,0.5
30,31,GTFT: 0.33,1,0.5,0.5
31,32,GTFT: 0.33,1,0.5,0.5
32,33,Tit For Tat,1,1.5,1.5
33,34,Cooperator,1,0.5,0.5
34,35,GTFT: 0.33,1,0.5,0.5
35,36,Tit For Tat,1,1.5,1.5
36,37,Cooperator,1,0.5,0.5
37,38,Cooperator,1,1.5,1.5
38,39,Tit For Tat,1,0.5,0.5
39,40,Tit For Tat,1,1.5,1.5
