,player_id,player_strategy,mass,independence,ratio
0,1,GTFT: 0.33,1,-4.12,-4.12
1,2,Defector,1,1.44,1.44
2,3,Defector,1,1.48,1.48
3,4,Defector,1,0.82,0.82
4,5,Tit For Tat,1,0.39,0.39
5,6,Defector,1,-1.13,-1.13
6,7,Cooperator,1,0.08,0.08
7,8,Cooperator,1,0.04,0.04
8,9,GTFT: 0.33,1,0.86,0.86
9,10,Cooperator,1,-1.58,-1.58
10,11,Defector,1,-0.05,-0.05
11,12,Tit For Tat,1,1.16,1.16
12,13,GTFT: 0.33,1,-0.03,-0.03
13,14,Tit For Tat,1,1.4,1.4
14,15,Defector,1,2.49,2.49
15,16,Cooperator,1,-4.56,-4.56
16,17,Defector,1,1.79,1.79
17,18,Defector,1,0.48,0.48
18,19,Cooperator,1,-0.42,-0.42
19,20,Tit For Tat,1,2.57,2.57
20,21,GTFT: 0.33,1,1.79,1.79
21,22,Cooperator,1,-0.05,-0.05
22,23,Defector,1,1.62,1.62
23,24,GTFT: 0.33,1,-3.03,-3.03
24,25,Tit For Tat,1,-0.05,-0.05
25,26,GTFT: 0.33,1,0.22,0.22
26,27,Tit For Tat,1,1.37,1.37
27,28,GTFT: 0.33,1,-2.06,-2.06
28,29,Defector,1,1.57,1.57
29,30,Cooperator,1,0.22,0.22
30,31,GTFT: 0.33,1,-0.89,-0.89
31,32,GTFT: 0.33,1,-0.83,-0.83
32,33,Tit For Tat,1,-0.34,-0.34
33,34,Cooperator,1,-1.03,-1.03
34,35,GTFT: 0.33,1,3.22,3.22
35,36,Tit For Tat,1,-0.95,-0.95
36,37,Cooperator,1,-1.73,-1.73
37,38,Cooperator,1,0.38,0.38
38,39,Tit For Tat,1,0.14,0.14
39,40,Tit For Tat,1,-4.35,-4.35
