,player_id,player_strategy,mass,independence,ratio
0,1,GTFT: 0.33,0.73,1,0.73
1,2,Defector,0.88,1,0.88
2,3,Defector,0.86,1,0.86
3,4,Defector,0.2,1,0.2
4,5,Tit For Tat,1.46,1,1.46
5,6,Defector,0.73,1,0.73
6,7,Cooperator,1.06,1,1.06
7,8,Cooperator,0.04,1,0.04
8,9,GTFT: 0.33,0.91,1,0.91
9,10,Cooperator,1.26,1,1.26
10,11,Defector,1.13,1,1.13
11,12,Tit For Tat,1.24,1,1.24
12,13,GTFT: 0.33,1.39,1,1.39
13,14,Tit For Tat,1.26,1,1.26
14,15,Defector,1.55,1,1.55
15,16,Cooperator,1.37,1,1.37
16,17,Defector,1.2,1,1.2
17,18,Defector,0.43,1,0.43
18,19,Cooperator,0.97,1,0.97
19,20,Tit For Tat,0.84,1,0.84
20,21,GTFT: 0.33,0.98,1,0.98
21,22,Cooperator,0.21,1,0.21
22,23,Defector,1.26,1,1.26
23,24,GTFT: 0.33,0.96,1,0.96
24,25,Tit For Tat,1.98,1,1.98
25,26,GTFT: 0.33,1.46,1,1.46
26,27,Tit For Tat,0.52,1,0.52
27,28,GTFT: 0.33,0.3,1,0.3
28,29,Defector,0.74,1,0.74
29,30,Cooperator,0.88,1,0.88
30,31,GTFT: 0.33,1.24,1,1.24
31,32,GTFT: 0.33,0.21,1,0.21
32,33,Tit For Tat,1.31,1,1.31
33,34,Cooperator,0.87,1,0.87
34,35,GTFT: 0.33,1.14,1,1.14
35,36,Tit For Tat,1.75,1,1.75
36,37,Cooperator,1.66,1,1.66
37,38,Cooperator,1.9,1,1.9
38,39,Tit For Tat,0.13,1,0.13
39,40,Tit For Tat,1.12,1,1.12
