,player_id,player_strategy,mass,independence,ratio
0,1,GTFT: 0.33,0.91,1,0.91
1,2,Cooperator,0.73,1,0.73
2,3,Cooperator,1.55,1,1.55
3,4,Tit For Tat,0.47,1,0.47
4,5,Cooperator,0.7,1,0.7
5,6,Tit For Tat,0.43,1,0.43
6,7,GTFT: 0.33,0.41,1,0.41
7,8,Cooperator,1.28,1,1.28
8,9,Cooperator,1.32,1,1.32
9,10,GTFT: 0.33,1.07,1,1.07
10,11,Defector,1.06,1,1.06
11,12,Tit For Tat,1.02,1,1.02
12,13,GTFT: 0.33,1.26,1,1.26
13,14,Defector,0.83,1,0.83
14,15,Tit For Tat,0.62,1,0.62
15,16,Defector,0.74,1,0.74
16,17,Defector,0.44,1,0.44
17,18,GTFT: 0.33,1.12,1,1.12
18,19,GTFT: 0.33,1.02,1,1.02
19,20,Cooperator,1.12,1,1.12
20,21,Cooperator,0.9,1,0.9
21,22,Defector,1.12,1,1.12
22,23,GTFT: 0.33,0.96,1,0.96
23,24,Defector,1.2,1,1.2
24,25,GTFT: 0.33,1.01,1,1.01
25,26,Tit For Tat,1.6,1,1.6
26,27,GTFT: 0.33,0.81,1,0.81
27,28,Tit For Tat,1.95,1,1.95
28,29,Cooperator,1.62,1,1.62
29,30,GTFT: 0.33,1.06,1,1.06
30,31,Tit For Tat,1.7,1,1.7
31,32,Defector,1.24,1,1.24
32,33,Defector,0.11,1,0.11
33,34,Cooperator,0.71,1,0.71
34,35,Tit For Tat,1.16,1,1.16
35,36,Cooperator,1.15,1,1.15
36,37,Tit For Tat,1.97,1,1.97
37,38,Defector,1.15,1,1.15
38,39,Defector,1.62,1,1.62
39,40,Tit For Tat,1.29,1,1.29
