,player_id,player_strategy,mass,independence,ratio
0,1,GTFT: 0.33,0.73,0.35,0.26
1,2,Defector,0.88,0.8,0.7
2,3,Defector,0.86,1.68,1.44
3,4,Defector,0.2,1.13,0.23
4,5,Tit For Tat,1.46,1.13,1.65
5,6,Defector,0.73,0.77,0.56
6,7,Cooperator,1.06,0.86,0.91
7,8,Cooperator,0.04,1.27,0.05
8,9,GTFT: 0.33,0.91,0.71,0.65
9,10,Cooperator,1.26,0.64,0.81
10,11,Defector,1.13,1.04,1.18
11,12,Tit For Tat,1.24,0.23,0.29
12,13,GTFT: 0.33,1.39,1.5,2.08
13,14,Tit For Tat,1.26,1.21,1.52
14,15,Defector,1.55,1.46,2.26
15,16,Cooperator,1.37,0.99,1.36
16,17,Defector,1.2,1.21,1.45
17,18,Defector,0.43,0.9,0.39
18,19,Cooperator,0.97,0.28,0.27
19,20,Tit For Tat,0.84,0.68,0.57
20,21,GTFT: 0.33,0.98,1.33,1.3
21,22,Cooperator,0.21,0.63,0.13
22,23,Defector,1.26,1.05,1.32
23,24,GTFT: 0.33,0.96,0.82,0.79
24,25,Tit For Tat,1.98,1.39,2.75
25,26,GTFT: 0.33,1.46,1.16,1.69
26,27,Tit For Tat,0.52,1.34,0.7
27,28,GTFT: 0.33,0.3,1.85,0.56
28,29,Defector,0.74,1.38,1.02
29,30,Cooperator,0.88,1.7,1.5
30,31,GTFT: 0.33,1.24,0.44,0.55
31,32,GTFT: 0.33,0.21,1.16,0.24
32,33,Tit For Tat,1.31,1.17,1.53
33,34,Cooperator,0.87,1.64,1.43
34,35,GTFT: 0.33,1.14,1.06,1.21
35,36,Tit For Tat,1.75,0.8,1.4
36,37,Cooperator,1.66,1.27,2.11
37,38,Cooperator,1.9,1.01,1.92
38,39,Tit For Tat,0.13,0.6,0.08
39,40,Tit For Tat,1.12,1.69,1.89
