,player_id,player_strategy,mass,independence,ratio
0,1,GTFT: 0.33,0.73,1.11,0.81
1,2,Defector,0.88,1.16,1.02
2,3,Defector,0.86,0.84,0.72
3,4,Defector,0.2,2.75,0.55
4,5,Tit For Tat,1.46,0.86,1.26
5,6,Defector,0.73,0.74,0.54
6,7,Cooperator,1.06,0.91,0.96
7,8,Cooperator,0.04,0.77,0.03
8,9,GTFT: 0.33,0.91,1.13,1.03
9,10,Cooperator,1.26,0.78,0.98
10,11,Defector,1.13,0.73,0.82
11,12,Tit For Tat,1.24,0.75,0.93
12,13,GTFT: 0.33,1.39,1.16,1.61
13,14,Tit For Tat,1.26,1.06,1.34
14,15,Defector,1.55,1.82,2.82
15,16,Cooperator,1.37,0.74,1.01
16,17,Defector,1.2,0.82,0.98
17,18,Defector,0.43,0.85,0.37
18,19,Cooperator,0.97,1.22,1.18
19,20,Tit For Tat,0.84,0.73,0.61
20,21,GTFT: 0.33,0.98,0.78,0.76
21,22,Cooperator,0.21,0.88,0.18
22,23,Defector,1.26,0.71,0.89
23,24,GTFT: 0.33,0.96,1.0,0.96
24,25,Tit For Tat,1.98,1.41,2.79
25,26,GTFT: 0.33,1.46,0.89,1.3
26,27,Tit For Tat,0.52,0.81,0.42
27,28,GTFT: 0.33,0.3,0.86,0.26
28,29,Defector,0.74,1.27,0.94
29,30,Cooperator,0.88,0.71,0.62
30,31,GTFT: 0.33,1.24,0.87,1.08
31,32,GTFT: 0.33,0.21,0.76,0.16
32,33,Tit For Tat,1.31,0.98,1.28
33,34,Cooperator,0.87,0.83,0.72
34,35,GTFT: 0.33,1.14,1.06,1.21
35,36,Tit For Tat,1.75,0.71,1.24
36,37,Cooperator,1.66,1.13,1.88
37,38,Cooperator,1.9,1.09,2.07
38,39,Tit For Tat,0.13,0.81,0.11
39,40,Tit For Tat,1.12,0.82,0.92
