,player_id,player_strategy,mass,independence,ratio
0,1,GTFT: 0.33,0.87,1,0.87
1,2,Cooperator,0.81,1,0.81
2,3,Cooperator,1.34,1,1.34
3,4,Tit For Tat,0.73,1,0.73
4,5,Cooperator,0.77,1,0.77
5,6,Tit For Tat,1.3,1,1.3
6,7,GTFT: 0.33,1.56,1,1.56
7,8,Cooperator,0.7,1,0.7
8,9,Cooperator,0.73,1,0.73
9,10,GTFT: 0.33,0.94,1,0.94
10,11,Defector,0.75,1,0.75
11,12,Tit For Tat,1.0,1,1.0
12,13,GTFT: 0.33,0.85,1,0.85
13,14,Defector,1.06,1,1.06
14,15,Tit For Tat,0.8,1,0.8
15,16,Defector,1.57,1,1.57
16,17,Defector,0.94,1,0.94
17,18,GTFT: 0.33,0.75,1,0.75
18,19,GTFT: 0.33,0.85,1,0.85
19,20,Cooperator,1.01,1,1.01
20,21,Cooperator,0.83,1,0.83
21,22,Defector,0.85,1,0.85
22,23,GTFT: 0.33,1.06,1,1.06
23,24,Defector,1.94,1,1.94
24,25,GTFT: 0.33,2.49,1,2.49
25,26,Tit For Tat,1.48,1,1.48
26,27,GTFT: 0.33,0.72,1,0.72
27,28,Tit For Tat,1.03,1,1.03
28,29,Cooperator,0.73,1,0.73
29,30,GTFT: 0.33,0.99,1,0.99
30,31,Tit For Tat,0.73,1,0.73
31,32,Defector,0.88,1,0.88
32,33,Defector,0.74,1,0.74
33,34,Cooperator,0.74,1,0.74
34,35,Tit For Tat,0.8,1,0.8
35,36,Cooperator,0.72,1,0.72
36,37,Tit For Tat,0.72,1,0.72
37,38,Defector,1.02,1,1.02
38,39,Defector,0.71,1,0.71
39,40,Tit For Tat,0.8,1,0.8
