,player_id,player_strategy,mass,independence,ratio
0,1,GTFT: 0.33,0.76,0.35,0.27
1,2,Defector,0.8,0.8,0.64
2,3,Defector,0.96,1.68,1.61
3,4,Defector,0.76,1.13,0.86
4,5,Tit For Tat,1.22,1.13,1.38
5,6,Defector,1.19,0.77,0.92
6,7,Cooperator,0.73,0.86,0.63
7,8,Cooperator,1.32,1.27,1.68
8,9,GTFT: 0.33,1.56,0.71,1.11
9,10,Cooperator,0.75,0.64,0.48
10,11,Defector,0.83,1.04,0.86
11,12,Tit For Tat,0.74,0.23,0.17
12,13,GTFT: 0.33,0.7,1.5,1.05
13,14,Tit For Tat,0.75,1.21,0.91
14,15,Defector,0.73,1.46,1.07
15,16,Cooperator,0.98,0.99,0.97
16,17,Defector,0.75,1.21,0.91
17,18,Defector,2.14,0.9,1.93
18,19,Cooperator,0.72,0.28,0.2
19,20,Tit For Tat,0.75,0.68,0.51
20,21,GTFT: 0.33,0.74,1.33,0.98
21,22,Cooperator,0.95,0.63,0.6
22,23,Defector,0.84,1.05,0.88
23,24,GTFT: 0.33,1.07,0.82,0.88
24,25,Tit For Tat,0.79,1.39,1.1
25,26,GTFT: 0.33,0.78,1.16,0.9
26,27,Tit For Tat,0.95,1.34,1.27
27,28,GTFT: 0.33,1.15,1.85,2.13
28,29,Defector,0.8,1.38,1.1
29,30,Cooperator,0.76,1.7,1.29
30,31,GTFT: 0.33,1.04,0.44,0.46
31,32,GTFT: 0.33,0.82,1.16,0.95
32,33,Tit For Tat,0.99,1.17,1.16
33,34,Cooperator,0.93,1.64,1.53
34,35,GTFT: 0.33,0.83,1.06,0.88
35,36,Tit For Tat,1.0,0.8,0.8
36,37,Cooperator,0.78,1.27,0.99
37,38,Cooperator,0.98,1.01,0.99
38,39,Tit For Tat,0.83,0.6,0.5
39,40,Tit For Tat,0.79,1.69,1.34
